lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.010434,-81.018102,310,260,9193,46273595,,1938,1,1,UMTS,,,,,,
34.011066,-81.018486,310,410,10508,21539849,,1000,1,1,LTE,,,10508,,,
34.011974,-81.01841,310,410,8996,218042421,,1000,1,1,UMTS,,,,,,
34.012799,-81.014775,310,410,10508,21539864,,2610,1,1,LTE,,,10508,,,
34.012901,-81.015656,310,120,68,418,,1000,1,1,LTE,,,68,,,
34.012985229492,-81.015243530273,310,260,9193,46312595,,1000,1,1,UMTS,,,,,,
34.012985229492,-81.015243530273,310,410,8996,218042413,,1000,1,1,UMTS,,,,,,
34.013119,-81.014275,311,870,31598,36342579,,1000,1,1,LTE,,,31598,,,
34.013119,-81.014275,311,870,31598,36342066,,1000,1,1,LTE,,,31598,,,
34.013119,-81.014275,311,870,31598,36341553,,1000,1,1,LTE,,,31598,,,
34.013329,-81.012154,310,260,9193,46273589,,1000,1,1,UMTS,,,,,,
34.013519,-81.008537,310,260,9191,59381121,,1000,1,1,UMTS,,,,,,
34.013742,-81.016914,310,410,10508,21539857,,2812,1,1,LTE,,,10508,,,
34.013939,-81.010193,310,260,9191,59377695,,1000,1,1,UMTS,,,,,,
34.013989,-81.015667,310,410,10508,21544970,,1000,1,1,LTE,,,10508,,,
34.01413,-81.009064,311,480,39424,39428887,,1000,1,1,LTE,,,39424,,,
34.014147,-81.009156,310,260,31598,17520159,,1000,1,1,LTE,,,31598,,,
34.014248,-81.009762,310,260,31598,40514305,,4988,1,1,LTE,,,31598,,,
34.014288,-81.01046,310,260,31598,17520161,,1000,1,1,LTE,,,31598,,,
34.014358520508,-81.015243530273,310,260,9193,5173,,1000,1,1,CDMA,,,,260,9193,5173
34.014358520508,-81.013870239258,310,299,122,154,,1000,1,1,CDMA,,,,299,122,154
34.014358520508,-81.013870239258,310,410,8996,218042418,,1000,1,1,UMTS,,,,,,
34.014908,-81.00856,311,480,39424,39428886,,1000,1,1,LTE,,,39424,,,
34.015011,-81.013496,310,260,31598,40514325,,1000,1,1,LTE,,,31598,,,
34.015274,-81.012039,311,480,39424,116228887,,1000,1,1,LTE,,,39424,,,
34.015731811523,-81.011123657227,310,260,9125,55171,,1000,1,1,CDMA,,,,260,9125,55171
34.015732,-81.015701,310,260,9193,46273594,,1000,1,1,UMTS,,,,,,
34.015732,-81.009521,311,480,39424,116228886,,1000,1,1,LTE,,,39424,,,
34.016215,-81.018235,311,480,39424,116225804,,1000,1,1,LTE,,,39424,,,
34.016693,-81.014145,311,480,39424,39428866,,1000,1,1,LTE,,,39424,,,
34.016739,-81.013161,310,260,31598,39627029,,2731,1,1,LTE,,,31598,,,
34.016798,-81.013969,310,260,31598,17520131,,3191,1,1,LTE,,,31598,,,
34.017105,-81.016617,310,120,4355,35671553,,1000,1,1,LTE,,,4355,,,
34.017355,-81.014869,311,480,39424,39425804,,1000,1,1,LTE,,,39424,,,
34.017674,-81.013714,310,260,31598,40514315,,1000,1,1,LTE,,,31598,,,
34.018112,-81.01861,311,480,122,154,,1838,1,1,LTE,,,122,,,
34.018478393555,-81.015243530273,311,480,39424,39428891,,1000,1,1,LTE,,,39424,,,
34.018631,-81.015396,311,480,39424,39425793,,1000,1,1,LTE,,,39424,,,
34.018689,-81.015728,310,260,9191,59380795,,1583,1,1,UMTS,,,,,,
