lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.30135,-90.05497,311,480,41699,8352515,,1000,1,1,LTE,,,41699,,,
40.302161,-90.051772,310,410,16390,70436618,,10995,1,1,LTE,,,16390,,,
40.302385,-90.059963,310,410,21891,72075497,,1125,1,1,LTE,,,21891,,,
40.302488,-90.060008,311,480,52993,53169184,,11664,1,1,LTE,,,52993,,,
40.302728,-90.057807,311,580,4357,43602435,,11102,1,1,LTE,,,4357,,,
40.302976,-90.053965,310,410,16390,70436837,,8048,1,1,LTE,,,16390,,,
40.304084,-90.056625,310,410,16390,70436632,,11000,1,1,LTE,,,16390,,,
40.305105,-90.059296,310,410,16390,55076654,,6170,1,1,LTE,,,16390,,,
40.306255,-90.059669,312,250,41699,125863433,,1000,1,1,LTE,,,41699,,,
40.306255,-90.059669,310,260,41699,125863433,,1000,1,1,LTE,,,41699,,,
40.306263,-90.059685,311,490,41603,129445181,,1000,1,1,LTE,,,41603,,,
40.306263,-90.059685,311,490,41603,129445121,,1000,1,1,LTE,,,41603,,,
40.306267,-90.059662,312,250,41603,129445131,,1000,1,1,LTE,,,41603,,,
40.306744,-90.053345,310,260,41483,8352574,,1000,1,1,LTE,,,41483,,,
40.306744,-90.053345,310,260,41483,8352514,,1000,1,1,LTE,,,41483,,,
40.308934,-90.05999,310,410,4357,43602435,,1000,1,1,LTE,,,4357,,,
40.309559,-90.057419,311,589,16390,55049745,,1000,1,1,LTE,,,16390,,,
