lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.192886352539,-79.760055541992,310,410,8994,31272,,1000,1,1,CDMA,,,,410,8994,31272
34.193424,-79.762444,311,480,40725,40893965,,1000,1,1,LTE,,,40725,,,
34.193573,-79.763832,311,480,40725,40893964,,1000,1,1,LTE,,,40725,,,
34.193608,-79.763469,310,120,68,8621,,1368,1,1,LTE,,,68,,,
34.194028,-79.755851,311,480,40725,117693965,,5853,1,1,LTE,,,40725,,,
34.194256,-79.756111,311,870,68,8895,,1000,1,1,CDMA,,,,870,68,8895
34.194259643555,-79.761428833008,310,260,14791,59379663,,1000,1,1,UMTS,,,,,,
34.194259643555,-79.755935668945,310,410,8994,217806141,,1000,1,1,UMTS,,,,,,
34.19441,-79.756795,310,299,48,13937,,4887,1,1,CDMA,,,,299,48,13937
34.194892,-79.760666,311,870,68,8877,,1000,1,1,LTE,,,68,,,
34.195053,-79.760186,311,870,68,12572,,1000,1,1,LTE,,,68,,,
34.195066,-79.757945,311,480,40725,117693964,,2487,1,1,LTE,,,40725,,,
34.195804,-79.760557,311,870,68,8915,,1000,1,1,LTE,,,68,,,
34.195862,-79.7612,310,410,10522,22989080,,1000,1,1,LTE,,,10522,,,
34.195889,-79.761581,312,250,31587,1378049,,1000,1,1,LTE,,,31587,,,
34.195911,-79.762245,310,120,31587,1378049,,1000,1,1,LTE,,,31587,,,
34.196135,-79.757041,311,870,68,8915,,2096,1,1,CDMA,,,,870,68,8915
34.196204,-79.758267,310,260,31587,17231371,,1546,1,1,LTE,,,31587,,,
34.196732,-79.762253,310,260,14793,4046,,1000,1,1,CDMA,,,,260,14793,4046
34.196766,-79.764558,310,120,31587,16798747,,3962,1,1,LTE,,,31587,,,
34.196833,-79.761652,310,410,10522,20483479,,1000,1,1,LTE,,,10522,,,
34.196857,-79.756454,311,480,40725,194319935,,1000,1,1,LTE,,,40725,,,
34.196857,-79.756454,311,480,40725,194319934,,1000,1,1,LTE,,,40725,,,
34.196857,-79.756454,311,480,40725,117519914,,1000,1,1,LTE,,,40725,,,
34.196857,-79.756454,311,480,40725,117688078,,1000,1,1,LTE,,,40725,,,
34.196884,-79.762321,310,260,31705,19052035,,1000,1,1,LTE,,,31705,,,
34.197006,-79.763489,310,410,8994,31278,,1000,1,1,CDMA,,,,410,8994,31278
34.197006225586,-79.75456237793,310,410,10522,22989066,,1000,1,1,LTE,,,10522,,,
34.197109,-79.756462,311,870,31587,1379098,,1000,1,1,LTE,,,31587,,,
34.197216,-79.755318,311,870,31587,16798747,,1000,1,1,LTE,,,31587,,,
34.197315,-79.756516,310,120,31587,1378330,,1000,1,1,LTE,,,31587,,,
34.197421,-79.759201,310,120,31587,1379073,,1000,1,1,LTE,,,31587,,,
34.19757,-79.760169,310,410,10522,20483352,,1855,1,1,LTE,,,10522,,,
34.197693,-79.761429,310,260,14791,3715017,,1000,1,1,UMTS,,,,,,
34.198025,-79.762138,310,410,10522,22326371,,1000,1,1,LTE,,,10522,,,
34.198036,-79.760742,310,410,10522,22989073,,1000,1,1,LTE,,,10522,,,
34.198105,-79.761154,310,260,14793,4041,,1000,1,1,CDMA,,,,260,14793,4041
34.198379516602,-79.75456237793,310,260,14791,59379657,,1000,1,1,UMTS,,,,,,
34.198498,-79.7558,310,260,31587,19428610,,1347,1,1,LTE,,,31587,,,
34.198856,-79.763428,310,410,8994,20805903,,1000,1,1,UMTS,,,,,,
34.199551,-79.763374,310,410,10522,20483338,,2634,1,1,LTE,,,10522,,,
34.200729,-79.764786,311,480,40725,117696526,,1000,1,1,LTE,,,40725,,,
