lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.90739440918,-77.076644897461,310,410,10973,160613622,,1000,1,1,UMTS,,,,,,
38.90739440918,-77.075271606445,310,410,7988,160613622,,1000,1,1,UMTS,,,,,,
38.90739440918,-77.071151733398,310,260,46189,92445774,,1000,1,1,UMTS,,,,,,
38.90739440918,-77.071151733398,310,260,46165,60093,,1000,1,1,GSM,,,,,,
38.907698,-77.073849,310,260,20236,12662281,,8391,1,1,LTE,,,20236,,,
38.907959,-77.073716,310,120,6151,51921474,,1000,1,1,LTE,,,6151,,,
38.908767700195,-77.076644897461,310,120,6151,51921459,,1000,1,1,LTE,,,6151,,,
38.908768,-77.075272,310,120,6151,50590209,,1000,1,1,LTE,,,6151,,,
38.909087,-77.080947,310,410,4637,168825112,,1021,1,1,LTE,,,4637,,,
38.909105,-77.073953,310,120,6151,51921475,,1000,1,1,LTE,,,6151,,,
38.909454,-77.070465,310,26,46165,60653,,1000,1,1,CDMA,,,,26,46165,60653
38.909798,-77.071152,310,260,46189,92447552,,1000,1,1,UMTS,,,,,,
38.909958,-77.074677,310,120,2,16751,,1000,1,1,LTE,,,2,,,
38.910140991211,-77.076644897461,310,120,6151,51921467,,1000,1,1,LTE,,,6151,,,
38.910140991211,-77.07389831543,310,260,20234,11563270,,1000,1,1,LTE,,,20234,,,
38.910140991211,-77.072525024414,310,260,46165,60902,,1000,1,1,GSM,,,,,,
38.910141,-77.073898,310,4195,2,17007,,1000,1,1,CDMA,,,,4195,2,17007
38.910452,-77.074706,310,260,20236,12662384,,2089,1,1,LTE,,,20236,,,
38.910569,-77.075562,310,260,46188,92446987,,1000,1,1,UMTS,,,,,,
38.910978,-77.070655,310,260,20234,12662279,,1099,1,1,LTE,,,20234,,,
38.911045,-77.070641,310,260,20236,227597334,,1000,1,1,LTE,,,20236,,,
38.911312,-77.073172,310,120,6151,51921465,,1000,1,1,LTE,,,6151,,,
38.911514282227,-77.075271606445,310,120,6151,51921457,,1000,1,1,LTE,,,6151,,,
38.911514282227,-77.075271606445,310,410,4637,166417557,,1000,1,1,LTE,,,4637,,,
38.911514282227,-77.071151733398,310,410,10973,158558839,,1000,1,1,UMTS,,,,,,
38.911704,-77.073054,310,120,6151,51921473,,1000,1,1,LTE,,,6151,,,
38.911765,-77.074626,311,480,27394,27404310,,1650,1,1,LTE,,,27394,,,
38.911865,-77.07608,311,480,27394,27404312,,1000,1,1,LTE,,,27394,,,
38.911865,-77.07608,311,480,27394,27604225,,1000,1,1,LTE,,,27394,,,
38.911873,-77.07605,311,480,27394,27604238,,1000,1,1,LTE,,,27394,,,
38.911888,-77.07605,311,480,27394,27604236,,1000,1,1,LTE,,,27394,,,
38.911911,-77.071457,310,260,20438,12662274,,2411,1,1,LTE,,,20438,,,
38.911985,-77.073901,310,120,6151,50590233,,1881,1,1,LTE,,,6151,,,
38.912178,-77.075633,310,260,46187,112106453,,1000,1,1,UMTS,,,,,,
38.912185,-77.073467,310,410,4637,168750609,,4933,1,1,LTE,,,4637,,,
38.912201,-77.074585,310,260,46189,92465783,,1000,1,1,UMTS,,,,,,
38.912408,-77.075398,310,260,20234,12662276,,1000,1,1,LTE,,,20234,,,
38.91243,-77.072525,310,410,4637,168825110,,1000,1,1,LTE,,,4637,,,
38.912462,-77.077606,311,480,27394,27404290,,1000,1,1,LTE,,,27394,,,
38.912483,-77.075359,310,260,46188,98999102,,2865,1,1,UMTS,,,,,,
38.912525,-77.076614,310,410,4637,167407748,,1000,1,1,LTE,,,4637,,,
38.912552,-77.074364,310,260,20438,227597334,,1000,1,1,LTE,,,20438,,,
38.912553,-77.070763,310,260,20242,11563270,,1880,1,1,LTE,,,20242,,,
38.912575,-77.078221,310,260,20462,36473862,,1000,1,1,LTE,,,20462,,,
38.912655,-77.077164,311,480,27394,27404315,,1000,1,1,LTE,,,27394,,,
38.912659,-77.078537,310,260,46188,92442387,,1000,1,1,UMTS,,,,,,
