lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.991077,-86.429268,310,410,8195,40789264,,1000,1,1,LTE,,,8195,,,
36.991628,-86.43256,310,410,8195,39260567,,1234,1,1,LTE,,,8195,,,
36.991653442383,-86.430130004883,311,4148,1,3538,,1000,1,1,CDMA,,,,4148,1,3538
36.991653442383,-86.430130004883,311,4148,1,5891,,1000,1,1,CDMA,,,,4148,1,5891
36.992533,-86.435623,310,120,14467,117577738,,1000,1,1,LTE,,,14467,,,
36.993008,-86.435585,310,410,8195,40142143,,1000,1,1,LTE,,,8195,,,
36.993026733398,-86.432876586914,310,120,14518,118065946,,1000,1,1,LTE,,,14518,,,
36.993437,-86.424718,310,410,15904,208054875,,1000,1,1,UMTS,,,,,,
36.993615,-86.432602,310,410,8195,39253163,,5347,1,1,LTE,,,8195,,,
36.993661,-86.432771,310,410,8195,40796438,,1000,1,1,LTE,,,8195,,,
36.994508,-86.429879,310,410,8195,40789014,,5043,1,1,LTE,,,8195,,,
36.995461,-86.427776,311,480,59774,238944033,,1000,1,1,LTE,,,59774,,,
36.99577331543,-86.430130004883,310,410,15904,33611,,1000,1,1,CDMA,,,,410,15904,33611
36.996221,-86.427742,310,410,8195,39260438,,4811,1,1,LTE,,,8195,,,
36.996308,-86.426549,310,410,15904,208044875,,1000,1,1,UMTS,,,,,,
36.996584,-86.428309,310,410,8195,39260565,,1641,1,1,LTE,,,8195,,,
36.996952,-86.430716,310,410,15011,33617,,3466,1,1,CDMA,,,,410,15011,33617
36.997647,-86.429602,310,260,43003,6936321,,5218,1,1,LTE,,,43003,,,
36.99774,-86.435451,310,410,8195,39255304,,6458,1,1,LTE,,,8195,,,
36.998337,-86.431143,310,410,8195,39260431,,5168,1,1,LTE,,,8195,,,
36.998705,-86.428497,310,410,8195,39260424,,4805,1,1,LTE,,,8195,,,
