lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.664486,-83.548788,311,480,62721,62934062,,1000,1,1,LTE,,,62721,,,
41.664909,-83.540642,310,120,214,14179,,1000,1,1,LTE,,,214,,,
41.665481,-83.548619,311,480,62721,62934286,,1516,1,1,LTE,,,62721,,,
41.665655,-83.545871,310,410,21250,45014295,,1437,1,1,LTE,,,21250,,,
41.666037,-83.543023,310,260,42743,9577995,,2237,1,1,LTE,,,42743,,,
41.666176,-83.54232,310,260,17530,80929795,,1000,1,1,LTE,,,17530,,,
41.66621,-83.542752,310,,214,14209,,1000,1,1,LTE,,,214,,,
41.666214,-83.542773,310,120,214,15394,,1000,1,1,LTE,,,214,,,
41.666228,-83.542854,310,120,214,15395,,1000,1,1,LTE,,,214,,,
41.666248,-83.543193,310,260,42743,5926401,,1932,1,1,LTE,,,42743,,,
41.666256,-83.542801,310,,214,15713,,1000,1,1,LTE,,,214,,,
41.666346,-83.542854,310,260,11287,46239882,,1000,1,1,LTE,,,11287,,,
41.666558,-83.54295,310,260,11287,46239881,,1981,1,1,UMTS,,,,,,
41.666611,-83.540176,310,120,21761,179614471,,1000,1,1,LTE,,,21761,,,
41.666653,-83.548015,310,120,21761,179614466,,1000,1,1,LTE,,,21761,,,
41.666675,-83.543047,310,260,42743,5926421,,7154,1,1,LTE,,,42743,,,
41.666981,-83.548495,310,260,11219,49021,,1000,1,1,LTE,,,11219,,,
41.667549,-83.542252,311,480,15,62934018,,1000,1,1,LTE,,,15,,,
41.668537,-83.541733,311,480,62721,62785834,,1000,1,1,LTE,,,62721,,,
41.668566,-83.545314,312,250,42743,9577995,,1000,1,1,LTE,,,42743,,,
41.668631,-83.542973,311,480,62721,62761729,,1000,1,1,LTE,,,62721,,,
41.668854,-83.547592,310,120,21761,179614469,,1000,1,1,LTE,,,21761,,,
41.669082641602,-83.540725708008,310,120,21761,178283265,,1000,1,1,LTE,,,21761,,,
41.669082641602,-83.537979125977,310,4126,32,741,,1000,1,1,CDMA,,,,4126,32,741
41.669548,-83.539626,311,480,62721,62773284,,3135,1,1,LTE,,,62721,,,
41.669864,-83.537176,311,480,62721,62934028,,1100,1,1,LTE,,,62721,,,
41.670139,-83.537254,310,260,42743,5927951,,1000,1,1,LTE,,,42743,,,
41.670723,-83.543472,310,260,42501,5925122,,5052,1,1,UMTS,,,,,,
41.670835,-83.545121,310,260,42743,5919550,,3068,1,1,LTE,,,42743,,,
41.670959,-83.546519,310,260,42743,5927939,,2485,1,1,LTE,,,42743,,,
41.6717,-83.544495,310,260,42743,9365565,,1000,1,1,LTE,,,42743,,,
41.67175,-83.542637,310,260,11292,39686281,,1224,1,1,UMTS,,,,,,
41.672547,-83.540992,311,480,62721,62934017,,1000,1,1,LTE,,,62721,,,
