lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.227211,-90.389192,310,120,11023,91707953,,1000,1,1,LTE,,,11023,,,
38.228294,-90.390221,310,120,11023,90376705,,1000,1,1,LTE,,,11023,,,
38.228302,-90.383835,310,410,24519,122900566,,1000,1,1,UMTS,,,,,,
38.229358,-90.385837,311,480,55047,55179544,,1000,1,1,LTE,,,55047,,,
38.22959,-90.389702,310,410,26384,61966351,,6596,1,1,LTE,,,26384,,,
38.230679,-90.391678,310,120,309,28873,,1000,1,1,CDMA,,,,120,309,28873
38.230792,-90.388942,310,120,309,12873,,1000,1,1,CDMA,,,,120,309,12873
38.231762,-90.394096,310,410,26384,61966548,,1000,1,1,LTE,,,26384,,,
38.232349,-90.389356,310,410,26384,63835285,,5778,1,1,LTE,,,26384,,,
38.232416,-90.3909,310,410,26384,61966344,,5682,1,1,LTE,,,26384,,,
38.233109,-90.387268,310,260,39499,7854066,,1000,1,1,UMTS,,,,,,
38.233358,-90.390612,310,260,45055,6566402,,2057,1,1,LTE,,,45055,,,
38.234024,-90.387497,310,260,39499,7854071,,1000,1,1,UMTS,,,,,,
38.234481811523,-90.38932800293,310,120,11065,90659866,,1000,1,1,LTE,,,11065,,,
38.235397,-90.391617,310,120,11015,90332170,,1000,1,1,LTE,,,11015,,,
38.235855102539,-90.38932800293,311,490,11023,90376705,,1000,1,1,LTE,,,11023,,,
