lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.78630065918,-86.070327758789,310,410,19002,1421,,1000,1,1,CDMA,,,,410,19002,1421
39.78630065918,-86.070327758789,311,480,58624,135427104,,1000,1,1,LTE,,,58624,,,
39.786301,-86.078579,310,260,20498,15149313,,13298,1,1,UMTS,,,,,,
39.788361,-86.070747,311,480,58624,58627105,,1290,1,1,LTE,,,58624,,,
39.788729,-86.076196,310,260,41990,6360833,,5444,1,1,LTE,,,41990,,,
39.789047241211,-86.078567504883,310,260,20498,15149023,,1000,1,1,UMTS,,,,,,
39.789047241211,-86.071701049805,310,410,19992,4539795,,1000,1,1,UMTS,,,,,,
39.789883,-86.072975,310,260,41990,9022997,,1000,1,1,LTE,,,41990,,,
39.790420532227,-86.079940795898,310,410,19992,72615311,,1000,1,1,UMTS,,,,,,
39.790421,-86.071243,311,80,2,780,,1000,1,1,LTE,,,2,,,
39.79073,-86.077224,310,4135,18,1729,,16189,1,1,CDMA,,,,4135,18,1729
