lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.661727905273,-70.291213989258,310,410,23994,134792472,,1000,1,1,UMTS,,,,,,
43.664474487305,-70.289840698242,310,28,48,811,,1000,1,1,CDMA,,,,28,48,811
43.66458,-70.293855,310,120,5892,48281602,,1000,1,1,LTE,,,5892,,,
43.66584777832,-70.29670715332,310,260,35782,52471,,1000,1,1,GSM,,,,,,
43.66584777832,-70.292587280273,310,260,21244,12842497,,1000,1,1,LTE,,,21244,,,
43.66584777832,-70.292587280273,310,120,5893,48281602,,1000,1,1,LTE,,,5893,,,
43.66584777832,-70.291213989258,310,,5893,48281601,,1000,1,1,LTE,,,5893,,,
43.665975,-70.287343,311,580,15,31009,,1000,1,1,LTE,,,15,,,
43.666061,-70.292229,311,580,15,28467,,1000,1,1,CDMA,,,,580,15,28467
43.667037,-70.292807,310,260,20993,12842497,,1000,1,1,LTE,,,20993,,,
43.667221069336,-70.29670715332,310,260,35782,52473,,1000,1,1,GSM,,,,,,
43.667221069336,-70.293960571289,310,260,36495,33344759,,1000,1,1,UMTS,,,,,,
43.667221069336,-70.292587280273,310,260,21236,12842497,,1000,1,1,LTE,,,21236,,,
43.667819,-70.297752,310,260,21007,36103999,,2888,1,1,LTE,,,21007,,,
43.668464,-70.295115,310,410,1796,60161296,,2763,1,1,LTE,,,1796,,,
43.668594,-70.2971,310,120,5892,48281601,,1000,1,1,LTE,,,5892,,,
43.670151,-70.289657,311,480,15875,15884311,,2442,1,1,LTE,,,15875,,,
43.670517,-70.295334,310,120,5893,48281601,,1000,1,1,LTE,,,5893,,,
