lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.741425,-73.723984,310,410,11937,166857505,,1000,1,1,UMTS,,,,,,
40.741425,-73.723755,310,4162,7,4623,,1000,1,1,CDMA,,,,4162,7,4623
40.741431,-73.725732,310,260,22586,10515972,,3152,1,1,LTE,,,22586,,,
40.741447,-73.727783,311,870,22586,18958874,,1000,1,1,LTE,,,22586,,,
40.741488,-73.731346,310,410,2324,28260112,,8650,1,1,LTE,,,2324,,,
40.741492,-73.727052,310,120,2313,20290098,,1000,1,1,LTE,,,2313,,,
40.741573,-73.721489,310,120,7,20537659,,1000,1,1,LTE,,,7,,,
40.741726,-73.723526,310,120,1796,15324465,,1000,1,1,LTE,,,1796,,,
40.741771,-73.728144,311,490,22770,11635720,,1000,1,1,LTE,,,22770,,,
40.741925,-73.731483,311,480,20994,21062432,,8895,1,1,LTE,,,20994,,,
40.742111206055,-73.728561401367,310,260,52187,47877,,1000,1,1,CDMA,,,,260,52187,47877
40.742111206055,-73.728561401367,310,6547,66,12849,,1000,1,1,CDMA,,,,6547,66,12849
40.742111206055,-73.728561401367,310,410,11944,166856707,,1000,1,1,UMTS,,,,,,
40.742111206055,-73.723068237305,310,410,11937,166857764,,1000,1,1,UMTS,,,,,,
40.742111206055,-73.723068237305,310,260,52286,69573195,,1000,1,1,UMTS,,,,,,
40.742111206055,-73.721694946289,311,480,20994,21073409,,1000,1,1,LTE,,,20994,,,
40.742483,-73.729379,312,250,22770,11635720,,1000,1,1,LTE,,,22770,,,
40.742529,-73.729629,311,490,22770,35911231,,1000,1,1,LTE,,,22770,,,
40.742565,-73.730074,311,490,22586,11635716,,1000,1,1,LTE,,,22586,,,
40.742569,-73.724442,310,260,32178,61581,,1000,1,1,GSM,,,,,,
40.742645,-73.720742,310,260,22537,11234563,,1699,1,1,LTE,,,22537,,,
40.742664,-73.730118,311,870,22586,215777074,,1000,1,1,LTE,,,22586,,,
40.743091,-73.730623,310,260,22586,35911231,,1000,1,1,LTE,,,22586,,,
40.743094,-73.730987,311,490,22770,11635716,,1000,1,1,LTE,,,22770,,,
40.743123,-73.730275,310,410,2319,28239370,,8729,1,1,LTE,,,2319,,,
40.74314,-73.726082,310,410,2319,28239533,,13564,1,1,LTE,,,2319,,,
40.74321,-73.731114,311,480,20994,21062403,,3882,1,1,LTE,,,20994,,,
40.743384,-73.726866,310,260,22586,11635716,,1525,1,1,LTE,,,22586,,,
40.743446,-73.725732,311,480,20994,20998432,,1000,1,1,LTE,,,20994,,,
40.743484,-73.730621,310,120,2313,14749187,,1000,1,1,LTE,,,2313,,,
40.74348449707,-73.731307983398,310,410,11944,166857759,,1000,1,1,UMTS,,,,,,
40.74348449707,-73.731307983398,311,480,20992,97997846,,1000,1,1,LTE,,,20992,,,
40.74348449707,-73.731307983398,310,410,11901,166857759,,1000,1,1,UMTS,,,,,,
40.74348449707,-73.728561401367,310,410,11937,166857500,,1000,1,1,UMTS,,,,,,
40.74357,-73.731565,310,260,52286,69581577,,1000,1,1,UMTS,,,,,,
40.743574,-73.731897,311,480,20994,21062444,,1067,1,1,LTE,,,20994,,,
40.743692,-73.724485,311,480,20994,21073432,,1000,1,1,LTE,,,20994,,,
40.743926,-73.722804,310,260,22557,11234563,,1660,1,1,LTE,,,22557,,,
40.74396,-73.73233,311,490,22586,35911231,,1000,1,1,LTE,,,22586,,,
40.744,-73.729935,310,260,22537,11234566,,1050,1,1,LTE,,,22537,,,
40.74436,-73.732127,311,490,22770,11635787,,1733,1,1,LTE,,,22770,,,
40.744857788086,-73.731307983398,310,120,2313,14714115,,1000,1,1,LTE,,,2313,,,
40.744857788086,-73.731307983398,311,16,8,4883,,1000,1,1,LTE,,,8,,,
40.744857788086,-73.72444152832,310,410,11937,166898738,,1000,1,1,UMTS,,,,,,
40.745251,-73.731575,310,260,52288,213742392,,1000,1,1,UMTS,,,,,,
40.745295,-73.723972,310,120,2313,20537651,,1111,1,1,LTE,,,2313,,,
40.745306,-73.725067,310,260,52284,76148880,,1306,1,1,UMTS,,,,,,
40.745451,-73.732418,310,260,22770,11635719,,1000,1,1,LTE,,,22770,,,
40.745474,-73.725594,311,870,7,779,,1000,1,1,LTE,,,7,,,
40.74571,-73.724807,310,120,2313,20537659,,1000,1,1,LTE,,,2313,,,
40.745728,-73.730498,310,260,5829120,5481787695,,1000,1,1,NR,,,5829120,,,
40.746074,-73.72715,310,120,7,925,,1168,1,1,LTE,,,7,,,
40.746075,-73.731969,310,260,22598,11743037,,1268,1,1,LTE,,,22598,,,
40.74612,-73.730492,311,480,20994,20998444,,1000,1,1,LTE,,,20994,,,
40.746231,-73.731308,310,410,11901,166857763,,1000,1,1,UMTS,,,,,,
40.746231079102,-73.728561401367,310,410,11937,4086,,1000,1,1,CDMA,,,,410,11937,4086
40.746231079102,-73.72444152832,311,480,20994,97798432,,1000,1,1,LTE,,,20994,,,
40.746264,-73.730078,310,260,52284,76135173,,1000,1,1,UMTS,,,,,,
40.746456,-73.731346,310,260,22537,11635713,,7648,1,1,LTE,,,22537,,,
