lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.727421,-73.987882,310,260,52155,52559140,,2875,1,1,UMTS,,,,,,
40.727433,-73.982819,310,410,2434,28527624,,1000,1,1,LTE,,,2434,,,
40.727463,-73.98674,310,410,35033,13645,,1000,1,1,CDMA,,,,410,35033,13645
40.727463,-73.985367,310,260,32186,12251,,1000,1,1,GSM,,,,,,
40.727463,-73.98262,310,260,32186,10111,,1000,1,1,GSM,,,,,,
40.727463,-73.979874,311,870,2444,49846272,,1000,1,1,LTE,,,2444,,,
40.72747,-73.982146,310,260,52298,17119140,,1000,1,1,UMTS,,,,,,
40.727491,-73.988172,311,490,22766,33020548,,1000,1,1,LTE,,,22766,,,
40.727517,-73.981049,310,410,2434,29241617,,1164,1,1,LTE,,,2434,,,
40.72752,-73.985321,311,480,21505,21662488,,1000,1,1,LTE,,,21505,,,
40.727554,-73.985092,310,120,2320,19688242,,1000,1,1,LTE,,,2320,,,
40.727597,-73.988386,310,260,22556,11679239,,2209,1,1,LTE,,,22556,,,
40.727615,-73.990097,310,260,32186,11772,,1000,1,1,GSM,,,,,,
40.727631,-73.983187,310,410,2434,28611990,,1627,1,1,LTE,,,2434,,,
40.727641,-73.981305,310,260,21505,21735180,,7056,1,1,LTE,,,21505,,,
40.727642,-73.989063,310,260,22529,12072449,,1000,1,1,LTE,,,22529,,,
40.727692,-73.98262,310,260,52155,52518581,,1000,1,1,UMTS,,,,,,
40.727702,-73.987797,310,260,22529,12299527,,1000,1,1,LTE,,,22529,,,
40.727705,-73.990267,310,410,2435,28479126,,1000,1,1,LTE,,,2435,,,
40.727717,-73.988544,310,120,10,9138,,3675,1,1,CDMA,,,,120,10,9138
40.727721,-73.9881,310,260,22529,11677957,,1000,1,1,LTE,,,22529,,,
40.727721,-73.978977,310,260,22529,11704583,,1000,1,1,LTE,,,22529,,,
40.727738,-73.987281,310,260,22556,11677957,,1000,1,1,LTE,,,22556,,,
40.727758,-73.982315,310,260,22556,33027459,,1000,1,1,LTE,,,22556,,,
40.727774,-73.987416,311,490,22766,11677960,,1000,1,1,LTE,,,22766,,,
40.727843,-73.98317,310,260,52298,17113202,,1000,1,1,UMTS,,,,,,
40.727851,-73.988752,310,260,22556,12072456,,1000,1,1,LTE,,,22556,,,
40.727868,-73.987686,310,260,22529,12299529,,1000,1,1,LTE,,,22529,,,
40.727908,-73.983004,310,410,11915,171980825,,1000,1,1,UMTS,,,,,,
40.727921,-73.98262,310,120,2320,19034139,,1000,1,1,LTE,,,2320,,,
40.727921,-73.978729,311,480,21507,21672206,,1000,1,1,LTE,,,21507,,,
40.727966,-73.982689,311,870,2445,49850114,,1000,1,1,LTE,,,2445,,,
40.727966,-73.982346,310,120,2320,19562289,,1000,1,1,LTE,,,2320,,,
40.727976,-73.987964,311,480,21507,21511712,,1000,1,1,LTE,,,21507,,,
40.727998,-73.984997,310,410,2434,29863473,,1000,1,1,LTE,,,2434,,,
40.728005,-73.978688,310,410,11915,172008716,,1000,1,1,UMTS,,,,,,
40.72802,-73.979134,310,260,51008,256397539,,1000,1,1,LTE,,,51008,,,
40.728035,-73.98262,310,120,2320,19034115,,1000,1,1,LTE,,,2320,,,
40.728102,-73.98804,311,490,22766,11677953,,1000,1,1,LTE,,,22766,,,
40.728104,-73.988113,310,260,52155,52504543,,1000,1,1,UMTS,,,,,,
40.728123,-73.985906,310,260,22556,10799619,,1000,1,1,LTE,,,22556,,,
40.728126,-73.984381,310,260,22529,12299521,,2053,1,1,LTE,,,22529,,,
40.728152,-73.983345,310,260,21250,12299522,,1000,1,1,LTE,,,21250,,,
40.728162,-73.984973,310,260,22766,12225793,,1000,1,1,LTE,,,22766,,,
40.728164,-73.98077,310,260,21250,11704579,,1000,1,1,LTE,,,21250,,,
40.728169,-73.990375,310,410,2435,28478992,,1632,1,1,LTE,,,2435,,,
40.728169,-73.987418,310,260,22529,11677954,,1000,1,1,LTE,,,22529,,,
40.728175,-73.984793,311,490,22766,12225793,,1000,1,1,LTE,,,22766,,,
40.728254,-73.985991,310,260,52155,52504539,,2960,1,1,UMTS,,,,,,
40.728307,-73.984781,310,260,21250,12299521,,2072,1,1,LTE,,,21250,,,
40.728333,-73.990209,310,260,52289,207171240,,1796,1,1,UMTS,,,,,,
40.728363,-73.985023,311,490,10,9077,,1000,1,1,CDMA,,,,490,10,9077
40.728363,-73.985023,311,490,10,8821,,1000,1,1,CDMA,,,,490,10,8821
40.728373,-73.985973,310,260,22556,12225793,,2174,1,1,LTE,,,22556,,,
40.728378,-73.990173,310,410,11914,172038610,,1000,1,1,UMTS,,,,,,
40.728378,-73.990173,310,260,52155,52507994,,1000,1,1,UMTS,,,,,,
40.728378,-73.98992,310,120,2320,20362290,,1000,1,1,LTE,,,2320,,,
40.728378,-73.9888,310,120,2320,19688499,,1000,1,1,LTE,,,2320,,,
40.728378,-73.987839,310,410,35033,13644,,1000,1,1,CDMA,,,,410,35033,13644
40.728378,-73.985138,311,480,21505,21662465,,1000,1,1,LTE,,,21505,,,
40.728378,-73.981522,311,480,21505,21593110,,1000,1,1,LTE,,,21505,,,
40.728378,-73.980789,310,260,32186,14247,,1000,1,1,GSM,,,,,,
40.728378295898,-73.989486694336,310,260,21261,12072449,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.989486694336,310,120,2320,19032323,,1000,1,1,LTE,,,2320,,,
40.728378295898,-73.989486694336,310,260,48075,52506095,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.989486694336,310,260,48075,52506110,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.989486694336,310,260,52189,209794981,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.98811340332,310,410,35022,13021,,1000,1,1,CDMA,,,,410,35022,13021
40.728378295898,-73.98811340332,310,410,35022,13024,,1000,1,1,CDMA,,,,410,35022,13024
40.728378295898,-73.98811340332,310,410,35033,13646,,1000,1,1,CDMA,,,,410,35033,13646
40.728378295898,-73.98811340332,310,410,11994,152949145,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.98811340332,310,16,11,799,,1000,1,1,CDMA,,,,16,11,799
40.728378295898,-73.98811340332,310,410,11994,152949139,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.98811340332,310,410,11994,152905158,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.98811340332,310,260,48075,52504541,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.98811340332,311,16,11,799,,1000,1,1,LTE,,,11,,,
40.728378295898,-73.98811340332,310,260,32186,10201,,1000,1,1,GSM,,,,,,
40.728378295898,-73.98811340332,310,410,2330,29533455,,1000,1,1,LTE,,,2330,,,
40.728378295898,-73.98811340332,310,410,11915,171976134,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.985366821289,310,260,48075,52502645,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.985366821289,310,260,32186,10163,,1000,1,1,GSM,,,,,,
40.728378295898,-73.985366821289,310,260,32186,11751,,1000,1,1,GSM,,,,,,
40.728378295898,-73.985366821289,310,260,52155,52502639,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.985366821289,310,260,52155,52506090,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.985366821289,310,410,2434,28527633,,1000,1,1,LTE,,,2434,,,
40.728378295898,-73.983993530273,310,410,35034,14364,,1000,1,1,GSM,,,,,,
40.728378295898,-73.983993530273,310,260,52155,52502641,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.983993530273,310,260,52155,52502638,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.983993530273,311,480,21505,98332694,,1000,1,1,LTE,,,21505,,,
40.728378295898,-73.983993530273,310,410,11915,172018773,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.983993530273,310,410,11982,171984117,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.982620239258,310,260,48075,52518580,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.982620239258,311,870,12174,49848834,,1000,1,1,LTE,,,12174,,,
40.728378295898,-73.982620239258,310,410,35034,14366,,1000,1,1,GSM,,,,,,
40.728378295898,-73.982620239258,310,410,2330,28527631,,1000,1,1,LTE,,,2330,,,
40.728378295898,-73.981246948242,311,16,11,287,,1000,1,1,LTE,,,11,,,
40.728378295898,-73.981246948242,310,260,52155,52508583,,1000,1,1,UMTS,,,,,,
40.728378295898,-73.981246948242,310,260,21261,10799617,,1000,1,1,LTE,,,21261,,,
40.728378295898,-73.981246948242,310,410,2434,28527765,,1000,1,1,LTE,,,2434,,,
40.728382,-73.984886,311,490,10,8565,,1000,1,1,CDMA,,,,490,10,8565
40.728393,-73.981476,310,410,2434,29241751,,1000,1,1,LTE,,,2434,,,
40.728401,-73.985759,311,480,21507,21677326,,1000,1,1,LTE,,,21507,,,
40.728427,-73.984718,310,260,22766,12299529,,1000,1,1,LTE,,,22766,,,
40.728429,-73.985301,310,410,2434,29864227,,1121,1,1,LTE,,,2434,,,
40.728449,-73.987828,311,480,21505,21671436,,1000,1,1,LTE,,,21505,,,
40.728456,-73.979529,310,260,22529,11704579,,1000,1,1,LTE,,,22529,,,
40.728457,-73.985089,310,260,61016,5414478127,,1000,1,1,NR,,,61016,,,
40.728457,-73.985089,310,260,22766,33020037,,1000,1,1,LTE,,,22766,,,
40.728464,-73.981419,311,480,21507,21608462,,1000,1,1,LTE,,,21507,,,
40.72847,-73.986995,310,260,22766,11681281,,8891,1,1,LTE,,,22766,,,
40.728476,-73.985171,310,410,11915,172021093,,1000,1,1,UMTS,,,,,,
40.728489,-73.981468,311,870,10,8820,,1000,1,1,LTE,,,10,,,
40.7285,-73.984902,310,410,2399,29738249,,9350,1,1,LTE,,,2399,,,
40.728515,-73.989831,311,480,21505,21671446,,1000,1,1,LTE,,,21505,,,
40.728522,-73.987719,311,490,22766,33020547,,1000,1,1,LTE,,,22766,,,
40.728564,-73.986875,310,410,2399,30506251,,9389,1,1,LTE,,,2399,,,
40.728573,-73.99041,310,260,22556,12072511,,1000,1,1,LTE,,,22556,,,
40.728603,-73.984611,310,410,2434,28611857,,1000,1,1,LTE,,,2434,,,
40.728607,-73.987427,310,410,35033,23646,,1000,1,1,CDMA,,,,410,35033,23646
40.728609,-73.984561,311,490,22766,12225799,,1000,1,1,LTE,,,22766,,,
40.728667,-73.98765,311,490,22766,34673668,,1000,1,1,LTE,,,22766,,,
40.728674,-73.982404,310,260,22556,13288711,,2032,1,1,LTE,,,22556,,,
40.728684,-73.980558,310,260,5828096,5414519085,,1000,1,1,NR,,,5828096,,,
40.728685,-73.981059,310,260,21250,10799620,,1000,1,1,LTE,,,21250,,,
40.728706,-73.984207,310,260,22556,12299528,,1000,1,1,LTE,,,22556,,,
40.728833,-73.987293,310,260,21250,11677953,,2087,1,1,LTE,,,21250,,,
40.728836,-73.984909,310,260,32187,14402,,1000,1,1,GSM,,,,,,
40.728837,-73.988988,310,260,21250,14627080,,3350,1,1,LTE,,,21250,,,
40.728869,-73.98161,310,260,22529,10799620,,1000,1,1,LTE,,,22529,,,
40.728873,-73.983121,310,260,22768,11604235,,7167,1,1,LTE,,,22768,,,
40.72889,-73.984174,311,490,22766,12299523,,1000,1,1,LTE,,,22766,,,
40.728893,-73.9888,310,260,32186,10203,,1000,1,1,GSM,,,,,,
40.728903,-73.984201,310,260,22556,11681544,,1549,1,1,LTE,,,22556,,,
40.728905,-73.981736,310,260,22766,10799617,,1000,1,1,LTE,,,22766,,,
40.728929,-73.987274,310,260,22766,11677959,,1000,1,1,LTE,,,22766,,,
40.728945,-73.985592,310,260,22556,12299529,,1000,1,1,LTE,,,22556,,,
40.728949,-73.98181,310,260,22584,11684355,,2107,1,1,LTE,,,22584,,,
40.728966,-73.980055,310,260,21250,12439299,,6229,1,1,LTE,,,21250,,,
40.728983,-73.984692,311,480,21507,21677324,,1000,1,1,LTE,,,21507,,,
40.728991,-73.979805,310,260,22556,14281473,,2047,1,1,LTE,,,22556,,,
40.729003,-73.98262,311,480,21505,21593112,,1000,1,1,LTE,,,21505,,,
40.729037,-73.987398,311,870,10,9064,,1000,1,1,LTE,,,10,,,
40.72904,-73.984105,310,120,10,8565,,1000,1,1,LTE,,,10,,,
