lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
25.736955,-80.290746,310,260,33151,16034818,,2519,1,1,LTE,,,33151,,,
25.737036,-80.291401,310,260,33151,16034838,,2489,1,1,LTE,,,33151,,,
25.737091,-80.290001,310,260,33151,20354828,,1000,1,1,LTE,,,33151,,,
25.737106,-80.290009,310,260,33153,38550283,,1000,1,1,LTE,,,33153,,,
25.73713,-80.290108,310,260,33153,16049156,,1000,1,1,LTE,,,33153,,,
25.737147,-80.290163,310,260,33153,16584449,,1000,1,1,LTE,,,33153,,,
25.737163,-80.290291,310,260,33153,17432085,,1000,1,1,LTE,,,33153,,,
25.737229,-80.290085,310,260,33153,16034818,,1000,1,1,LTE,,,33153,,,
25.737411,-80.29066,310,260,33151,16584459,,2905,1,1,LTE,,,33151,,,
25.737533569336,-80.290145874023,310,260,29395,7593253,,1000,1,1,UMTS,,,,,,
25.737534,-80.297012,310,4151,25,1330,,1000,1,1,CDMA,,,,4151,25,1330
25.737534,-80.291794,310,260,29395,33766472,,1000,1,1,UMTS,,,,,,
25.73808,-80.290878,310,260,33151,17425667,,1000,1,1,LTE,,,33151,,,
25.73822,-80.298386,310,120,10564,86618139,,1000,1,1,LTE,,,10564,,,
25.73822,-80.292206,310,260,46907,15432,,1000,1,1,CDMA,,,,260,46907,15432
25.738372,-80.290876,310,260,29395,33807477,,1000,1,1,UMTS,,,,,,
25.73906,-80.28993,310,260,33153,16584459,,2163,1,1,LTE,,,33153,,,
25.74028,-80.296783,310,120,10522,85984002,,1000,1,1,LTE,,,10522,,,
25.740280151367,-80.298385620117,310,410,27080,239556357,,1000,1,1,UMTS,,,,,,
25.740280151367,-80.298385620117,310,410,27080,239556354,,1000,1,1,UMTS,,,,,,
25.740280151367,-80.29426574707,310,410,27128,14883039,,1000,1,1,UMTS,,,,,,
25.740829,-80.293167,310,410,14127,174138120,,1000,1,1,LTE,,,14127,,,
25.740967,-80.292892,310,260,29395,33766471,,1000,1,1,UMTS,,,,,,
25.741124,-80.296725,310,260,29395,33807472,,1000,1,1,UMTS,,,,,,
25.741139,-80.293866,310,260,33107,16017922,,3157,1,1,LTE,,,33107,,,
25.741196,-80.291977,310,410,27080,239536351,,1000,1,1,UMTS,,,,,,
25.741653,-80.290833,310,410,27080,239536352,,1000,1,1,UMTS,,,,,,
25.741653442383,-80.297012329102,310,410,14127,174138113,,1000,1,1,UMTS,,,,,,
25.741653442383,-80.292892456055,310,410,14127,174138134,,1000,1,1,LTE,,,14127,,,
25.743027,-80.290833,310,260,29395,33807476,,1000,1,1,UMTS,,,,,,
25.743269,-80.297614,310,260,33153,38611724,,8723,1,1,LTE,,,33153,,,
25.743362,-80.292813,310,260,33153,16060930,,5684,1,1,LTE,,,33153,,,
25.743469,-80.291552,310,260,33107,20354828,,1525,1,1,LTE,,,33107,,,
25.743624,-80.294399,310,260,46987,86235907,,1000,1,1,UMTS,,,,,,
25.74395,-80.290158,310,260,29399,7552116,,8321,1,1,UMTS,,,,,,
25.744125,-80.295364,310,120,10522,86006529,,1000,1,1,LTE,,,10522,,,
25.744400024414,-80.298385620117,310,260,46999,15433,,1000,1,1,CDMA,,,,260,46999,15433
25.744400024414,-80.295639038086,310,4815,66,1295,,1000,1,1,CDMA,,,,4815,66,1295
25.744400024414,-80.295639038086,310,4815,66,4770,,1000,1,1,CDMA,,,,4815,66,4770
25.744400024414,-80.295639038086,310,260,29389,33795448,,1000,1,1,UMTS,,,,,,
25.745391,-80.29889,310,410,14101,174124566,,18429,1,1,UMTS,,,,,,
25.745688,-80.298643,310,260,29395,33766478,,1000,1,1,UMTS,,,,,,
25.745773,-80.298386,310,120,10514,85984002,,1000,1,1,LTE,,,10514,,,
25.74577331543,-80.297012329102,310,260,29389,73118279,,1000,1,1,UMTS,,,,,,
25.74577331543,-80.295639038086,310,260,29395,73131517,,1000,1,1,UMTS,,,,,,
25.74577331543,-80.292892456055,310,4151,25,1329,,1000,1,1,CDMA,,,,4151,25,1329
