lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.369019,-85.024567,310,4384,160,5075,,1206,1,1,CDMA,,,,4384,160,5075
41.36987,-85.02845,310,410,20489,184996111,,11931,1,1,LTE,,,20489,,,
41.371765,-85.030403,310,410,26534,26411,,1000,1,1,CDMA,,,,410,26534,26411
41.373512,-85.026657,310,410,20489,184996247,,1000,1,1,LTE,,,20489,,,
41.373825073242,-85.030746459961,310,410,26534,26414,,1000,1,1,GSM,,,,,,
41.375106,-85.028391,310,410,20489,184996104,,6435,1,1,LTE,,,20489,,,
41.375935,-85.030327,310,410,20489,184996118,,1000,1,1,LTE,,,20489,,,
41.376571655273,-85.02799987793,311,80,2,45771,,1000,1,1,LTE,,,2,,,
41.376572,-85.032944,310,410,25123,26417,,1000,1,1,CDMA,,,,410,25123,26417
41.376572,-85.032807,310,410,25138,26417,,1000,1,1,CDMA,,,,410,25138,26417
