lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.742889,-87.678452,310,410,22978,215195343,,1000,1,1,UMTS,,,,,,
34.743114,-87.677438,310,410,15510,57360657,,2213,1,1,LTE,,,15510,,,
34.743576049805,-87.679824829102,310,260,31332,19927554,,1000,1,1,LTE,,,31332,,,
34.743576049805,-87.67707824707,310,260,30597,21591655,,1000,1,1,UMTS,,,,,,
34.744369,-87.675166,311,480,5,43093505,,1000,1,1,LTE,,,5,,,
34.74494934082,-87.674331665039,310,260,30597,21594355,,1000,1,1,UMTS,,,,,,
34.74494934082,-87.672958374023,310,260,31351,21591655,,1000,1,1,LTE,,,31351,,,
34.745636,-87.670898,310,260,31351,19437569,,1000,1,1,LTE,,,31351,,,
34.746322631836,-87.67707824707,310,410,15510,215195610,,1000,1,1,LTE,,,15510,,,
34.746641,-87.673364,310,260,31332,16765187,,2093,1,1,UMTS,,,,,,
34.74665,-87.672435,310,260,30597,21594307,,1565,1,1,UMTS,,,,,,
34.74678,-87.672958,310,260,30597,21563085,,1000,1,1,UMTS,,,,,,
34.746817,-87.676774,310,410,15510,57367568,,3958,1,1,LTE,,,15510,,,
34.747009,-87.670898,310,260,4466,10311,,1000,1,1,CDMA,,,,260,4466,10311
34.747276,-87.673965,310,410,64454,257557387,,1000,1,1,UMTS,,,,,,
34.747412,-87.673052,310,410,64454,257557391,,1000,1,1,UMTS,,,,,,
34.74747,-87.67324,310,410,64454,257557385,,1000,1,1,UMTS,,,,,,
34.747517,-87.673183,310,410,64454,257557383,,1000,1,1,UMTS,,,,,,
34.747525,-87.673649,310,410,64454,257557389,,1000,1,1,UMTS,,,,,,
34.747554,-87.674062,310,410,64454,257557388,,1000,1,1,UMTS,,,,,,
34.747566,-87.673859,310,410,64454,57385224,,1000,1,1,UMTS,,,,,,
34.747695922852,-87.674331665039,310,410,15510,215195346,,1000,1,1,LTE,,,15510,,,
34.747695922852,-87.672958374023,310,410,64454,257556489,,1000,1,1,UMTS,,,,,,
34.747807,-87.674108,310,410,64454,257557382,,1000,1,1,UMTS,,,,,,
34.748039,-87.676048,310,260,31332,19927555,,1000,1,1,LTE,,,31332,,,
34.748491,-87.672429,310,410,64454,,,1000,1,1,UMTS,,,,,,
34.748885,-87.67579,310,410,15510,57360791,,1683,1,1,LTE,,,15510,,,
34.74907,-87.676392,310,260,30597,21583066,,1816,1,1,UMTS,,,,,,
34.749352,-87.67173,310,260,31344,16765190,,1000,1,1,LTE,,,31344,,,
34.750706,-87.678256,310,260,31344,16765207,,2668,1,1,LTE,,,31344,,,
