lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.010299682617,-93.317184448242,310,4155,83,2642,,1000,1,1,CDMA,,,,4155,83,2642
45.010299682617,-93.317184448242,310,410,17938,91826243,,1000,1,1,LTE,,,17938,,,
45.01089,-93.327368,310,260,43526,9059973,,5303,1,1,LTE,,,43526,,,
45.01119,-93.31808,310,260,43526,27130379,,1000,1,1,LTE,,,43526,,,
45.011672973633,-93.321304321289,310,120,19717,162939394,,1000,1,1,LTE,,,19717,,,
45.011963,-93.318484,310,120,241,21889,,1266,1,1,LTE,,,241,,,
45.012079,-93.318606,310,260,43526,5195788,,1213,1,1,LTE,,,43526,,,
45.012203,-93.31691,310,260,29896,33589697,,1000,1,1,UMTS,,,,,,
45.012953,-93.317565,310,410,17938,82183689,,5136,1,1,LTE,,,17938,,,
45.013046264648,-93.317184448242,310,410,32505,91826243,,1000,1,1,UMTS,,,,,,
45.013344,-93.323257,310,410,17938,82197263,,1000,1,1,LTE,,,17938,,,
45.013592,-93.317932,310,608,29892,33589697,,1000,1,1,UMTS,,,,,,
45.013733,-93.319244,310,260,29892,33589699,,1000,1,1,UMTS,,,,,,
45.014419555664,-93.322677612305,310,120,19856,44594442,,1000,1,1,LTE,,,19856,,,
45.014419555664,-93.322677612305,310,120,19856,44609290,,1000,1,1,LTE,,,19856,,,
45.014419555664,-93.321304321289,310,4155,83,2641,,1000,1,1,CDMA,,,,4155,83,2641
45.014419555664,-93.319931030273,310,120,19717,162939399,,1000,1,1,LTE,,,19717,,,
45.015426,-93.317664,310,410,17938,82183704,,1618,1,1,LTE,,,17938,,,
45.015513,-93.319709,310,410,17938,84231690,,3028,1,1,LTE,,,17938,,,
45.01579284668,-93.32405090332,310,260,29892,33589695,,1000,1,1,UMTS,,,,,,
45.01579284668,-93.318557739258,310,410,32016,10303,,1000,1,1,GSM,,,,,,
45.016007,-93.325008,310,410,32515,91826243,,1000,1,1,LTE,,,32515,,,
45.016508,-93.323158,310,410,17938,82183697,,6767,1,1,LTE,,,17938,,,
45.016697,-93.324031,310,260,43526,5195787,,1000,1,1,LTE,,,43526,,,
45.016936,-93.327908,310,260,43526,5193987,,7855,1,1,LTE,,,43526,,,
45.017156,-93.328211,310,260,43526,5193997,,2551,1,1,LTE,,,43526,,,
45.017242,-93.323639,310,410,32514,91826243,,1000,1,1,UMTS,,,,,,
45.017279,-93.323307,310,260,43526,5261570,,1000,1,1,LTE,,,43526,,,
45.017291,-93.316186,310,260,29892,33609698,,1000,1,1,UMTS,,,,,,
45.017853,-93.323364,310,260,29892,33589698,,1000,1,1,UMTS,,,,,,
45.018106,-93.326174,310,260,43526,9059971,,2517,1,1,LTE,,,43526,,,
45.018174,-93.316307,310,260,43526,26699543,,3654,1,1,LTE,,,43526,,,
45.018332,-93.32697,310,260,43526,5193995,,4214,1,1,LTE,,,43526,,,
