lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.731459,-86.563894,310,410,22717,212845935,,1333,1,1,UMTS,,,,,,
30.731685,-86.566359,310,260,33533,18731010,,6888,1,1,LTE,,,33533,,,
30.732192993164,-86.561965942383,310,410,15759,212850935,,1000,1,1,LTE,,,15759,,,
30.732216,-86.560453,310,410,15759,57614022,,1000,1,1,LTE,,,15759,,,
30.73288,-86.565399,310,410,22713,212714863,,1000,1,1,UMTS,,,,,,
30.733306,-86.560319,311,480,32539,32650257,,2183,1,1,LTE,,,32539,,,
30.73356628418,-86.56608581543,310,410,22712,212649333,,1000,1,1,UMTS,,,,,,
30.73356628418,-86.56608581543,310,410,22717,212848419,,1000,1,1,UMTS,,,,,,
30.73356628418,-86.563339233398,310,410,22717,212850935,,1000,1,1,UMTS,,,,,,
30.73356628418,-86.561965942383,310,410,27906,50541,,1000,1,1,GSM,,,,,,
30.73356628418,-86.561965942383,310,410,15759,212845935,,1000,1,1,LTE,,,15759,,,
30.733914,-86.5649,310,410,15759,57741848,,1000,1,1,LTE,,,15759,,,
30.734578,-86.565568,310,410,15759,57613975,,1140,1,1,LTE,,,15759,,,
30.734939575195,-86.56608581543,310,410,22712,212649327,,1000,1,1,UMTS,,,,,,
30.735811,-86.566154,312,250,33533,74778683,,1000,1,1,LTE,,,33533,,,
30.735979,-86.566002,312,250,33533,54652171,,1000,1,1,LTE,,,33533,,,
30.735979,-86.566002,312,250,33533,74778675,,1000,1,1,LTE,,,33533,,,
30.736371,-86.566582,311,480,32539,32650528,,2431,1,1,LTE,,,32539,,,
30.736494,-86.566475,310,260,33287,18647695,,1000,1,1,LTE,,,33287,,,
30.736494,-86.566475,310,260,33287,18647575,,1000,1,1,LTE,,,33287,,,
30.73656,-86.565116,310,410,15759,57613848,,1000,1,1,LTE,,,15759,,,
30.736965,-86.564869,311,480,32539,32650499,,1250,1,1,LTE,,,32539,,,
30.737724,-86.564808,310,410,15759,57741827,,1085,1,1,LTE,,,15759,,,
30.737837,-86.56501,310,410,15759,57805508,,1000,1,1,LTE,,,15759,,,
30.738083,-86.564911,310,410,15759,57760534,,1000,1,1,LTE,,,15759,,,
30.738083,-86.564911,310,410,15759,58183027,,1000,1,1,LTE,,,15759,,,
30.739059448242,-86.564712524414,310,120,120,8989,,1000,1,1,CDMA,,,,120,120,8989
30.739059448242,-86.564712524414,310,120,32539,32650528,,1000,1,1,LTE,,,32539,,,
30.739279,-86.565382,310,260,33533,18731020,,6089,1,1,LTE,,,33533,,,
