lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.709213,-116.90918,310,120,247,41507,,1000,1,1,CDMA,,,,120,247,41507
47.709213,-116.90918,310,120,247,41297,,1000,1,1,CDMA,,,,120,247,41297
47.709691,-116.90731,310,260,46071,11102,,1020,1,1,GSM,,,,,,
47.709844,-116.897648,311,480,769,787232,,4989,1,1,LTE,,,769,,,
47.710189819336,-116.89933776855,310,4188,1,477,,1000,1,1,CDMA,,,,4188,1,477
47.71019,-116.907577,310,120,18946,156541442,,1000,1,1,LTE,,,18946,,,
47.710877,-116.905517,310,120,18948,156536583,,1406,1,1,LTE,,,18948,,,
47.710926,-116.901024,310,410,37123,108571145,,1000,1,1,LTE,,,37123,,,
47.710938,-116.90097,311,870,15701,155210252,,1000,1,1,LTE,,,15701,,,
47.711044,-116.904831,311,870,15701,155210254,,1000,1,1,LTE,,,15701,,,
47.711187,-116.900696,310,410,37123,108571797,,7022,1,1,LTE,,,37123,,,
47.711308,-116.897377,311,870,15701,155210243,,1000,1,1,LTE,,,15701,,,
47.711373,-116.90364,310,120,1,41522,,1741,1,1,LTE,,,1,,,
47.711494,-116.907547,311,870,1,41522,,1000,1,1,LTE,,,1,,,
47.711563,-116.908951,310,120,18948,156541442,,1000,1,1,LTE,,,18948,,,
47.711563,-116.900024,310,120,18948,156541446,,1000,1,1,LTE,,,18948,,,
47.711563110352,-116.91032409668,310,120,18946,155210242,,1000,1,1,LTE,,,18946,,,
47.711563110352,-116.90483093262,310,120,18946,156536583,,1000,1,1,LTE,,,18946,,,
47.711563110352,-116.90208435059,310,120,18946,155210257,,1000,1,1,LTE,,,18946,,,
47.711624,-116.900177,310,,1,331,,1000,1,1,LTE,,,1,,,
47.711735,-116.909637,310,120,18948,156541445,,1000,1,1,LTE,,,18948,,,
47.711819,-116.901001,310,120,1,41553,,1000,1,1,LTE,,,1,,,
47.712326,-116.903263,310,260,15701,22809603,,8098,1,1,LTE,,,15701,,,
47.712379,-116.905762,310,,1,843,,1000,1,1,LTE,,,1,,,
47.712479,-116.909409,310,120,18948,156541448,,1000,1,1,LTE,,,18948,,,
47.712511,-116.907513,310,260,15625,49110157,,1000,1,1,LTE,,,15625,,,
47.712936401367,-116.89933776855,310,410,42983,41087,,1000,1,1,CDMA,,,,410,42983,41087
47.713466,-116.902126,310,410,37123,108571864,,8411,1,1,LTE,,,37123,,,
47.713591,-116.899549,310,410,37123,108571670,,2923,1,1,LTE,,,37123,,,
47.714309692383,-116.90757751465,310,410,52820,30772,,1000,1,1,GSM,,,,,,
47.714508,-116.901068,310,410,37123,108571151,,8353,1,1,LTE,,,37123,,,
47.714867,-116.90715,310,410,42983,108571664,,1000,1,1,UMTS,,,,,,
47.716409,-116.900245,310,120,18948,156541443,,1352,1,1,LTE,,,18948,,,
