lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.218396,-80.648083,310,410,9877,197526550,,1407,1,1,LTE,,,9877,,,
35.218411,-80.648089,311,480,40193,40312589,,1000,1,1,LTE,,,40193,,,
35.218453,-80.652061,310,120,1026,328112,,1060,1,1,UMTS,,,,,,
35.218544,-80.652267,311,480,,40313858,,1000,1,1,LTE,,,,,,
35.218544,-80.652267,311,480,,40295170,,1000,1,1,LTE,,,,,,
35.218544,-80.652267,311,480,,40295446,,1000,1,1,LTE,,,,,,
35.218573,-80.650634,311,480,40198,40325922,,1734,1,1,LTE,,,40198,,,
35.21862,-80.651779,310,410,9877,77106217,,1000,1,1,UMTS,,,,,,
35.218734741211,-80.649948120117,310,260,7492,52842459,,1000,1,1,UMTS,,,,,,
35.218735,-80.652008,310,260,7492,52842464,,1000,1,1,UMTS,,,,,,
35.218811,-80.651344,311,870,31581,709898,,1000,1,1,LTE,,,31581,,,
35.218811,-80.64981,311,480,40198,40313857,,14096,1,1,LTE,,,40198,,,
35.218884,-80.649874,311,480,40198,117125921,,7996,1,1,LTE,,,40198,,,
35.219029,-80.648001,310,410,9877,197526707,,7259,1,1,LTE,,,9877,,,
35.219147,-80.649536,310,410,12974,217519868,,1000,1,1,UMTS,,,,,,
35.219261,-80.650963,310,260,31584,224884878,,1000,1,1,LTE,,,31584,,,
35.2193,-80.6486,310,410,9877,197526536,,1225,1,1,LTE,,,9877,,,
35.219315,-80.649204,310,410,9877,199440022,,1000,1,1,LTE,,,9877,,,
35.219336,-80.651451,311,480,40198,40325925,,2843,1,1,LTE,,,40198,,,
35.219533,-80.648506,310,410,12974,217519871,,1000,1,1,UMTS,,,,,,
35.219985,-80.648054,310,410,9877,197526543,,4498,1,1,LTE,,,9877,,,
35.219997,-80.652611,311,870,31581,918074,,1000,1,1,LTE,,,31581,,,
35.220108032227,-80.651321411133,311,480,40198,40229890,,1000,1,1,LTE,,,40198,,,
35.220108032227,-80.649948120117,310,120,1227,9730874,,1000,1,1,LTE,,,1227,,,
35.220108032227,-80.648574829102,310,120,1227,9730866,,1000,1,1,LTE,,,1227,,,
35.220108032227,-80.647201538086,310,260,7492,52845003,,1000,1,1,UMTS,,,,,,
35.2203,-80.650291,311,480,40198,40325921,,1000,1,1,LTE,,,40198,,,
35.2203,-80.6495,310,410,9877,199574721,,1302,1,1,LTE,,,9877,,,
35.220322,-80.648392,310,260,31581,121782660,,1000,1,1,LTE,,,31581,,,
35.220374,-80.648819,311,480,40198,117112588,,1000,1,1,LTE,,,40198,,,
35.220615,-80.650361,311,480,40198,40325920,,1105,1,1,LTE,,,40198,,,
35.220871,-80.646744,311,870,31581,918066,,1000,1,1,LTE,,,31581,,,
35.221481323242,-80.644454956055,310,120,1026,3804358,,1000,1,1,UMTS,,,,,,
35.221559,-80.648589,311,480,40198,15752333,,46545,1,1,UMTS,,,,,,
35.222168,-80.642653,310,410,9877,77158815,,1000,1,1,UMTS,,,,,,
35.222305,-80.652969,310,410,65534,197526545,,1899,1,1,UMTS,,,,,,
35.222721,-80.642822,310,260,31691,34890557,,1000,1,1,LTE,,,31691,,,
35.222879,-80.647868,311,480,144,2226,,4642,1,1,LTE,,,144,,,
35.223389,-80.647865,310,410,12974,217522362,,1000,1,1,UMTS,,,,,,
35.2243,-80.648097,311,480,40198,15752332,,46410,1,1,UMTS,,,,,,
35.225378,-80.652177,311,480,40198,117125920,,9143,1,1,LTE,,,40198,,,
35.226974487305,-80.643081665039,310,120,1026,8419587,,1000,1,1,LTE,,,1026,,,
