lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.113414,-88.226397,310,260,41701,28774543,,1000,1,1,LTE,,,41701,,,
40.113487,-88.228111,310,410,16388,55276820,,1000,1,1,LTE,,,16388,,,
40.1137,-88.2289,310,260,41603,26357506,,1000,1,1,LTE,,,41603,,,
40.113798,-88.226852,310,410,16388,55276806,,1000,1,1,LTE,,,16388,,,
40.113931,-88.228123,310,260,41701,28774533,,1000,1,1,LTE,,,41701,,,
40.113987,-88.23113,310,410,16388,55082774,,1576,1,1,LTE,,,16388,,,
40.114059,-88.225937,310,120,15366,125903633,,1000,1,1,LTE,,,15366,,,
40.114135,-88.231689,310,410,21893,67422679,,1000,1,1,UMTS,,,,,,
40.114166,-88.230563,310,410,16388,55082760,,1420,1,1,LTE,,,16388,,,
40.114189,-88.229721,310,260,41701,26357892,,1000,1,1,LTE,,,41701,,,
40.114191,-88.22197,310,260,41496,6191363,,1000,1,1,LTE,,,41496,,,
40.114249,-88.22686,310,410,16388,55839386,,1000,1,1,LTE,,,16388,,,
40.114334,-88.231934,310,260,41701,26357505,,1000,1,1,UMTS,,,,,,
40.114344,-88.231934,310,260,41701,26357515,,1000,1,1,UMTS,,,,,,
40.114344,-88.231926,310,260,7196,59201409,,1000,1,1,LTE,,,7196,,,
40.1144,-88.233369,310,260,41701,26357893,,1000,1,1,LTE,,,41701,,,
40.114456,-88.231986,310,260,41701,26357891,,1000,1,1,LTE,,,41701,,,
40.114468,-88.232673,310,260,7196,59201411,,1000,1,1,UMTS,,,,,,
40.114511,-88.230497,310,410,16388,55082976,,1136,1,1,LTE,,,16388,,,
40.114517,-88.230057,310,410,16388,55083532,,1000,1,1,LTE,,,16388,,,
40.114517211914,-88.231887817383,310,410,16388,55850760,,1000,1,1,LTE,,,16388,,,
40.114517211914,-88.229141235352,310,410,16388,55071249,,1000,1,1,UMTS,,,,,,
40.114517211914,-88.227767944336,310,410,16388,55276813,,1000,1,1,LTE,,,16388,,,
40.114517211914,-88.222274780273,310,260,7177,98517711,,1000,1,1,UMTS,,,,,,
40.114517211914,-88.222274780273,310,260,7177,98537716,,1000,1,1,UMTS,,,,,,
40.11453,-88.231362,310,410,16388,55082753,,1000,1,1,LTE,,,16388,,,
40.1148,-88.2226,310,260,41701,6210418,,3402,1,1,LTE,,,41701,,,
40.114843,-88.22839,310,410,16388,55839238,,1309,1,1,LTE,,,16388,,,
40.114871,-88.22781,310,410,16388,55839455,,1892,1,1,LTE,,,16388,,,
40.114917,-88.227394,310,410,16388,55839245,,1504,1,1,LTE,,,16388,,,
40.114946,-88.227258,310,410,16388,55839259,,1335,1,1,LTE,,,16388,,,
40.114964,-88.232687,310,260,41701,6250763,,6786,1,1,LTE,,,41701,,,
40.115123,-88.228557,310,410,16388,55839252,,2291,1,1,LTE,,,16388,,,
40.115145,-88.231885,310,260,7196,59201409,,1000,1,1,UMTS,,,,,,
40.115379,-88.231309,310,410,16388,55082767,,2088,1,1,LTE,,,16388,,,
40.115556,-88.231201,310,410,16388,55082210,,1000,1,1,LTE,,,16388,,,
40.115692,-88.224075,311,480,53118,53139971,,1000,1,1,LTE,,,53118,,,
40.11589050293,-88.233261108398,311,480,53118,129900812,,1000,1,1,LTE,,,53118,,,
40.11589050293,-88.231887817383,310,260,7177,98517712,,1000,1,1,UMTS,,,,,,
40.11589050293,-88.227767944336,310,120,15366,127234821,,1000,1,1,LTE,,,15366,,,
40.11589050293,-88.227767944336,310,260,7196,59240396,,1000,1,1,UMTS,,,,,,
40.11589050293,-88.225021362305,310,260,7177,98537712,,1000,1,1,UMTS,,,,,,
40.11589050293,-88.222274780273,310,260,7177,98551989,,1000,1,1,UMTS,,,,,,
40.115942,-88.221852,310,410,16388,55072405,,3912,1,1,LTE,,,16388,,,
40.116119,-88.226166,310,120,15366,127234818,,1000,1,1,LTE,,,15366,,,
40.116149,-88.230145,310,260,41701,26357901,,1000,1,1,LTE,,,41701,,,
40.1163,-88.2297,310,260,41603,26357615,,1000,1,1,LTE,,,41603,,,
40.116343,-88.230458,310,260,41603,26357515,,1000,1,1,LTE,,,41603,,,
40.116406,-88.231324,310,260,41603,26357891,,1000,1,1,LTE,,,41603,,,
40.116454,-88.23049,310,260,41603,26357505,,1000,1,1,LTE,,,41603,,,
40.116531,-88.225113,311,480,53118,53049616,,1000,1,1,LTE,,,53118,,,
40.116531,-88.225113,311,480,53118,129939744,,1000,1,1,LTE,,,53118,,,
40.116531,-88.225113,311,480,53118,129939746,,1000,1,1,LTE,,,53118,,,
40.116659,-88.225271,310,260,41701,7240325,,1000,1,1,LTE,,,41701,,,
40.116808,-88.223186,311,490,15366,125850369,,3335,1,1,LTE,,,15366,,,
40.11692,-88.221931,310,410,21893,51227,,1000,1,1,CDMA,,,,410,21893,51227
40.116976,-88.224692,310,260,41701,28774531,,1000,1,1,LTE,,,41701,,,
40.116982,-88.224945,311,480,53118,53138958,,1000,1,1,LTE,,,53118,,,
40.116982,-88.22477,311,480,53118,53139246,,1000,1,1,LTE,,,53118,,,
40.117149,-88.224998,311,480,53118,53138945,,1000,1,1,LTE,,,53118,,,
40.117166,-88.223277,310,260,41701,7240335,,1000,1,1,LTE,,,41701,,,
40.117263793945,-88.229141235352,310,260,41483,6191364,,1000,1,1,LTE,,,41483,,,
40.117538,-88.228729,310,120,15366,125903618,,1000,1,1,LTE,,,15366,,,
40.117631,-88.22431,310,260,41701,6250753,,1376,1,1,LTE,,,41701,,,
40.118108,-88.231132,310,410,16388,55850464,,1655,1,1,LTE,,,16388,,,
40.118551,-88.224978,310,410,21893,67422235,,1000,1,1,UMTS,,,,,,
40.118565,-88.225094,310,410,21893,67432235,,1000,1,1,UMTS,,,,,,
40.118637,-88.229141,311,490,15366,125903618,,1000,1,1,LTE,,,15366,,,
40.118637084961,-88.227767944336,310,410,21002,51221,,1000,1,1,GSM,,,,,,
40.118637084961,-88.22639465332,310,120,15366,125903621,,1000,1,1,LTE,,,15366,,,
40.118678,-88.226333,310,410,16388,55071233,,634,1,1,LTE,,,16388,,,
40.11898,-88.223305,310,410,16388,55839240,,1000,1,1,LTE,,,16388,,,
40.119382,-88.222687,310,410,16388,55071254,,2263,1,1,LTE,,,16388,,,
40.119445,-88.228091,310,120,15366,125861120,,1000,1,1,LTE,,,15366,,,
40.119599,-88.233055,310,410,21002,51671,,1655,1,1,GSM,,,,,,
40.12001,-88.229141,310,120,15366,125849857,,1000,1,1,LTE,,,15366,,,
40.120010375977,-88.231887817383,310,410,16388,67422271,,1000,1,1,LTE,,,16388,,,
40.120010375977,-88.231887817383,310,410,16388,55809288,,1000,1,1,LTE,,,16388,,,
40.120010375977,-88.231887817383,310,410,16388,67421059,,1000,1,1,LTE,,,16388,,,
40.120010375977,-88.230514526367,310,410,16388,67431065,,1000,1,1,LTE,,,16388,,,
40.120010375977,-88.230514526367,310,410,16388,67421065,,1000,1,1,UMTS,,,,,,
40.120010375977,-88.223648071289,310,260,7177,98537717,,1000,1,1,UMTS,,,,,,
40.120263,-88.222719,310,410,16388,55071240,,8687,1,1,LTE,,,16388,,,
40.120547,-88.227404,310,410,21893,67422229,,3943,1,1,UMTS,,,,,,
40.120956,-88.226402,310,410,16388,55071247,,4922,1,1,LTE,,,16388,,,
40.121759,-88.221879,310,260,41496,6250753,,1000,1,1,LTE,,,41496,,,
