lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.021286,-90.273743,310,120,11528,95754289,,1000,1,1,LTE,,,11528,,,
30.022161,-90.267708,310,260,32096,15805186,,1000,1,1,UMTS,,,,,,
30.023574829102,-90.265731811523,310,260,33641,66746173,,1000,1,1,LTE,,,33641,,,
30.024485,-90.267555,310,410,14985,46088406,,1000,1,1,LTE,,,14985,,,
30.024948,-90.271568,310,120,11528,95754297,,1000,1,1,LTE,,,11528,,,
30.024948,-90.269852,310,4159,52,1873,,1000,1,1,CDMA,,,,4159,52,1873
30.026321411133,-90.268478393555,310,410,18990,13189447,,1000,1,1,UMTS,,,,,,
30.027694702148,-90.271224975586,310,120,11577,94950425,,1000,1,1,LTE,,,11577,,,
30.027694702148,-90.267105102539,310,410,18990,327,,1000,1,1,GSM,,,,,,
30.027694702148,-90.265731811523,310,410,18990,321,,1000,1,1,CDMA,,,,410,18990,321
