lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.040081,-95.95369,310,410,46508,117791247,,1000,1,1,UMTS,,,,,,
36.040101,-95.950997,311,480,47158,47233539,,1000,1,1,LTE,,,47158,,,
36.040704,-95.951966,310,410,25095,117893014,,2025,1,1,LTE,,,25095,,,
36.040821,-95.95633,310,410,25095,117791420,,1000,1,1,LTE,,,25095,,,
36.041061,-95.949783,310,120,11827,97098010,,1000,1,1,LTE,,,11827,,,
36.04108,-95.954018,310,410,25095,118303381,,1000,1,1,LTE,,,25095,,,
36.041172,-95.95897,310,260,46592,6325005,,1937,1,1,LTE,,,46592,,,
36.041211,-95.95895,310,260,32995,15852299,,1685,1,1,UMTS,,,,,,
36.04133605957,-95.949783325195,310,120,11828,97016345,,1000,1,1,LTE,,,11828,,,
36.041933,-95.948833,310,260,32995,15806129,,9055,1,1,UMTS,,,,,,
36.043167,-95.956726,310,410,25095,118404873,,1000,1,1,LTE,,,25095,,,
36.043472,-95.953445,310,120,11784,97098010,,1000,1,1,LTE,,,11784,,,
36.0439,-95.954089,310,410,25095,117892887,,2521,1,1,LTE,,,25095,,,
36.04413,-95.955192,310,120,308,13665,,2808,1,1,LTE,,,308,,,
36.044254,-95.951157,310,120,11778,96558851,,1000,1,1,LTE,,,11778,,,
36.044804,-95.955221,310,410,25095,117791247,,3379,1,1,LTE,,,25095,,,
36.044937,-95.957841,310,260,46592,6324995,,6860,1,1,LTE,,,46592,,,
36.045414,-95.958708,310,410,25095,117791240,,4930,1,1,LTE,,,25095,,,
36.045455932617,-95.94841003418,310,120,11828,97016859,,1000,1,1,LTE,,,11828,,,
36.045731,-95.949234,310,410,46508,113579086,,1000,1,1,UMTS,,,,,,
36.045912,-95.956432,311,480,47158,47219478,,1000,1,1,LTE,,,47158,,,
36.046229,-95.958562,311,480,47158,47219458,,5190,1,1,LTE,,,47158,,,
36.04628,-95.952805,310,4164,1,7203,,1140,1,1,CDMA,,,,4164,1,7203
36.046326,-95.950714,310,410,25095,117893053,,1000,1,1,LTE,,,25095,,,
36.046664,-95.955387,310,410,46508,113579080,,1000,1,1,UMTS,,,,,,
36.046688,-95.958382,311,480,47158,47225612,,1000,1,1,LTE,,,47158,,,
36.046688,-95.958382,311,480,47158,47233568,,1000,1,1,LTE,,,47158,,,
36.046688,-95.958382,311,480,47158,47233548,,1000,1,1,LTE,,,47158,,,
36.046829223633,-95.956649780273,310,410,46508,113596666,,1000,1,1,UMTS,,,,,,
36.047126,-95.953075,310,410,25095,117892873,,3524,1,1,LTE,,,25095,,,
36.047184,-95.95784,310,260,32995,15852297,,1000,1,1,UMTS,,,,,,
