lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.238633,-81.306979,310,260,33841,17134102,,8444,1,1,LTE,,,33841,,,
28.242325,-81.302078,310,120,12043,99204123,,1000,1,1,LTE,,,12043,,,
28.243263,-81.299045,310,260,33841,3087362,,2474,1,1,LTE,,,33841,,,
28.243789672852,-81.307754516602,310,410,27376,1708,,1000,1,1,CDMA,,,,410,27376,1708
28.244039,-81.297878,310,260,33841,19254275,,7440,1,1,LTE,,,33841,,,
28.244635,-81.299515,310,120,12093,99204123,,1000,1,1,LTE,,,12093,,,
28.244784,-81.298141,310,120,12043,99928131,,1000,1,1,LTE,,,12043,,,
28.244889,-81.301986,310,260,65534,15892995,,2126,1,1,UMTS,,,,,,
28.245148,-81.3044,310,120,12044,99100185,,2506,1,1,LTE,,,12044,,,
28.245163,-81.29811,310,120,12043,98596867,,1000,1,1,LTE,,,12043,,,
28.245192,-81.297732,310,120,12043,99928115,,1000,1,1,LTE,,,12043,,,
28.245821,-81.299257,310,120,12043,99928123,,1000,1,1,LTE,,,12043,,,
28.246103,-81.300888,311,480,37122,37131302,,1000,1,1,LTE,,,37122,,,
