lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.709425,-74.357927,310,410,3983,164295378,,1000,1,1,UMTS,,,,,,
40.70961,-74.348373,310,16,14,4358,,1000,1,1,CDMA,,,,16,14,4358
40.710278,-74.355188,310,410,2371,208951305,,1000,1,1,LTE,,,2371,,,
40.710525512695,-74.356155395508,310,410,3983,164295381,,1000,1,1,UMTS,,,,,,
40.710525512695,-74.354782104492,310,410,3983,62162,,1000,1,1,CDMA,,,,410,3983,62162
40.710972,-74.353996,310,260,22803,11771394,,1000,1,1,LTE,,,22803,,,
40.711212,-74.347687,310,410,3983,164295383,,1000,1,1,UMTS,,,,,,
40.711678,-74.354668,310,260,52162,124643908,,1000,1,1,UMTS,,,,,,
40.711898803711,-74.354782104492,310,120,3085,25285122,,1000,1,1,LTE,,,3085,,,
40.711898803711,-74.34928894043,310,410,2371,164266749,,1000,1,1,LTE,,,2371,,,
40.711949,-74.358005,310,260,22789,11771397,,1000,1,1,LTE,,,22789,,,
40.711982,-74.353888,310,260,22789,11771394,,1000,1,1,LTE,,,22789,,,
40.712585,-74.353409,310,410,3983,164295382,,1000,1,1,UMTS,,,,,,
40.713272094727,-74.354782104492,310,260,52162,124623870,,1000,1,1,UMTS,,,,,,
40.713272094727,-74.353408813477,310,4162,1,4464,,1000,1,1,CDMA,,,,4162,1,4464
40.713294,-74.347273,311,480,23296,23507468,,1343,1,1,LTE,,,23296,,,
40.713732,-74.356218,310,260,22789,10678786,,1000,1,1,LTE,,,22789,,,
40.713959,-74.355881,310,410,2371,208218384,,1000,1,1,LTE,,,2371,,,
40.714143,-74.346977,310,410,3983,164295377,,1482,1,1,UMTS,,,,,,
40.714645385742,-74.357528686523,310,260,52164,39934,,1000,1,1,CDMA,,,,260,52164,39934
40.714645385742,-74.357528686523,311,480,23296,100163104,,1000,1,1,LTE,,,23296,,,
40.714645385742,-74.354782104492,310,120,3073,26497338,,1000,1,1,LTE,,,3073,,,
40.714645385742,-74.353408813477,310,260,52164,98405369,,1000,1,1,UMTS,,,,,,
40.715332,-74.358215,310,120,3073,26497330,,1000,1,1,LTE,,,3073,,,
40.715332,-74.352036,310,260,52162,124619769,,1000,1,1,UMTS,,,,,,
40.715412,-74.352683,310,410,2371,208951306,,1000,1,1,LTE,,,2371,,,
40.715561,-74.349289,311,480,23296,23336450,,1000,1,1,LTE,,,23296,,,
40.715612,-74.353159,311,480,23296,23336470,,2309,1,1,LTE,,,23296,,,
40.715615,-74.354984,310,120,3073,25166082,,1000,1,1,LTE,,,3073,,,
40.715735,-74.353824,311,480,23296,23336472,,4711,1,1,LTE,,,23296,,,
40.716018676758,-74.357528686523,310,410,2371,208218518,,1000,1,1,LTE,,,2371,,,
40.716019,-74.357986,310,410,3983,164266754,,1000,1,1,UMTS,,,,,,
40.716984,-74.357975,310,410,3983,164266748,,1000,1,1,UMTS,,,,,,
40.717049,-74.354782,310,410,3983,164295385,,1000,1,1,UMTS,,,,,,
