lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.108674,-96.678314,310,260,10193,111874565,,1000,1,1,UMTS,,,,,,
33.108989,-96.681068,310,410,27204,133190922,,1011,1,1,LTE,,,27204,,,
33.109022,-96.68041,310,410,27204,133190929,,1931,1,1,LTE,,,27204,,,
33.109213,-96.674506,310,260,31871,41690500,,13292,1,1,LTE,,,31871,,,
33.109359741211,-96.674880981445,310,260,10193,111872489,,1000,1,1,LTE,,,10193,,,
33.109653,-96.672997,311,480,33546,33571116,,1000,1,1,LTE,,,33546,,,
33.109688,-96.671707,311,480,33546,33541378,,2079,1,1,LTE,,,33546,,,
33.10993,-96.672915,310,410,27204,133822224,,840,1,1,LTE,,,27204,,,
33.110283,-96.681046,310,260,31891,16532237,,1000,1,1,LTE,,,31891,,,
33.110474,-96.672729,310,410,27204,134136606,,1000,1,1,LTE,,,27204,,,
33.110733032227,-96.680374145508,310,410,52665,2771,,1000,1,1,CDMA,,,,410,52665,2771
33.110733032227,-96.67350769043,310,260,10199,262606644,,1000,1,1,UMTS,,,,,,
33.110733032227,-96.672134399414,310,410,52665,27432,,1000,1,1,CDMA,,,,410,52665,27432
33.110733032227,-96.672134399414,310,410,52665,2772,,1000,1,1,CDMA,,,,410,52665,2772
33.110733032227,-96.672134399414,310,410,52665,105868075,,1000,1,1,UMTS,,,,,,
33.110923,-96.67354,310,260,31871,2691586,,1212,1,1,LTE,,,31871,,,
33.111191,-96.681747,310,260,10193,111882490,,1000,1,1,UMTS,,,,,,
33.111454,-96.672814,310,260,31871,41690510,,1408,1,1,LTE,,,31871,,,
33.111666,-96.67281,311,490,31891,16532226,,1000,1,1,LTE,,,31891,,,
33.111715,-96.673328,311,870,31871,66948162,,1000,1,1,LTE,,,31871,,,
33.111908,-96.672243,310,410,27204,133842205,,10984,1,1,LTE,,,27204,,,
33.111927,-96.672519,310,410,27204,133822238,,3669,1,1,LTE,,,27204,,,
33.111971,-96.67294,312,530,31871,66948162,,1000,1,1,LTE,,,31871,,,
33.112032,-96.671656,310,410,52665,105868072,,1390,1,1,UMTS,,,,,,
33.112106323242,-96.672134399414,310,410,52857,110127912,,1000,1,1,UMTS,,,,,,
33.112174,-96.672628,310,410,27204,133822210,,9127,1,1,LTE,,,27204,,,
33.1123,-96.6726,310,410,27204,133822217,,1987,1,1,LTE,,,27204,,,
33.112743,-96.6724,310,120,31871,66948162,,1258,1,1,LTE,,,31871,,,
33.113479614258,-96.674880981445,310,120,5773,25160714,,1000,1,1,LTE,,,5773,,,
33.113479614258,-96.674880981445,310,120,30861,25160714,,1000,1,1,LTE,,,30861,,,
33.113479614258,-96.672134399414,310,410,27204,105848954,,1000,1,1,LTE,,,27204,,,
33.113479614258,-96.672134399414,310,260,10191,111872484,,1000,1,1,UMTS,,,,,,
33.113479614258,-96.672134399414,310,260,45988,111872484,,1000,1,1,UMTS,,,,,,
33.113821,-96.671129,310,410,27204,133190934,,2075,1,1,LTE,,,27204,,,
33.113888,-96.678136,310,260,47373,12532,,13335,1,1,GSM,,,,,,
33.114784,-96.671201,310,410,27204,133190921,,9180,1,1,LTE,,,27204,,,
33.11485,-96.671296,310,260,47373,18140,,2617,1,1,GSM,,,,,,
33.114853,-96.679687,310,260,10193,19119617,,1071,1,1,UMTS,,,,,,
33.115002,-96.67124,310,410,27204,133191128,,1000,1,1,LTE,,,27204,,,
33.116226196289,-96.679000854492,310,410,52665,27434,,1000,1,1,CDMA,,,,410,52665,27434
33.116733,-96.673974,310,260,31891,16532225,,1423,1,1,LTE,,,31891,,,
