lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.468032836914,-93.770370483398,310,410,18599,213090804,,1000,1,1,UMTS,,,,,,
32.468032836914,-93.770370483398,310,410,18596,213287691,,1000,1,1,UMTS,,,,,,
32.468294,-93.772241,310,120,302,33289,,2653,1,1,LTE,,,302,,,
32.469406,-93.770828,310,410,18501,33262,,1986,1,1,GSM,,,,,,
32.469991,-93.768344,310,410,14599,47680017,,3218,1,1,LTE,,,14599,,,
32.470583,-93.772121,310,410,14599,47680003,,1000,1,1,LTE,,,14599,,,
32.47078,-93.775177,310,410,18599,213090798,,1000,1,1,UMTS,,,,,,
32.471207,-93.767131,310,410,14599,47680181,,1000,1,1,LTE,,,14599,,,
32.471586,-93.772903,310,410,14607,46862593,,2769,1,1,LTE,,,14607,,,
32.471642,-93.767468,310,260,47393,111928255,,1000,1,1,UMTS,,,,,,
32.471901,-93.770263,310,410,18594,213418719,,1000,1,1,LTE,,,18594,,,
32.472839,-93.770714,310,410,18594,213447719,,1000,1,1,UMTS,,,,,,
32.473183,-93.773117,310,120,8470,95004185,,1000,1,1,LTE,,,8470,,,
32.474542,-93.769315,310,410,14599,47680010,,1154,1,1,LTE,,,14599,,,
32.476272583008,-93.775863647461,310,410,14599,213447478,,1000,1,1,LTE,,,14599,,,
