lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.770857,-73.484432,310,410,11932,167322701,,1000,1,1,UMTS,,,,,,
40.77095,-73.481369,310,410,11932,167322707,,1000,1,1,UMTS,,,,,,
40.770950317383,-73.481369018555,310,410,11934,154412115,,1000,1,1,UMTS,,,,,,
40.770950317383,-73.477249145508,310,260,52287,220305037,,1000,1,1,UMTS,,,,,,
40.771278,-73.476516,310,260,22544,12270342,,2950,1,1,LTE,,,22544,,,
40.771368,-73.483886,310,410,2389,28397841,,7918,1,1,LTE,,,2389,,,
40.771735,-73.474797,310,260,52283,167876241,,1000,1,1,UMTS,,,,,,
40.771894,-73.477977,310,410,2389,28658071,,2830,1,1,LTE,,,2389,,,
40.772023,-73.483176,310,260,22544,12270339,,4225,1,1,LTE,,,22544,,,
40.772124,-73.473817,310,410,2389,29396375,,9197,1,1,LTE,,,2389,,,
40.772323608398,-73.481369018555,310,410,2304,28397834,,1000,1,1,LTE,,,2304,,,
40.772323608398,-73.481369018555,310,260,52283,167876240,,1000,1,1,UMTS,,,,,,
40.772323608398,-73.479995727539,310,410,11934,154412109,,1000,1,1,UMTS,,,,,,
40.772323608398,-73.477249145508,310,410,2304,28397841,,1000,1,1,LTE,,,2304,,,
40.772323608398,-73.475875854492,311,480,21250,21376014,,1000,1,1,LTE,,,21250,,,
40.772615,-73.473728,310,410,2389,29396241,,8213,1,1,LTE,,,2389,,,
40.77281,-73.47659,310,410,2389,28190742,,6010,1,1,LTE,,,2389,,,
40.773089,-73.473898,310,410,2389,29396397,,8358,1,1,LTE,,,2389,,,
40.773255,-73.482269,310,260,52287,220305045,,1000,1,1,UMTS,,,,,,
40.773422,-73.481094,310,260,52283,167876246,,1000,1,1,UMTS,,,,,,
40.773696899414,-73.484115600586,310,260,22541,12219141,,1000,1,1,LTE,,,22541,,,
40.773696899414,-73.48274230957,310,410,11934,154412112,,1000,1,1,UMTS,,,,,,
40.773696899414,-73.48274230957,310,260,52287,38549,,1000,1,1,GSM,,,,,,
40.773696899414,-73.48274230957,310,410,11932,167362901,,1000,1,1,UMTS,,,,,,
40.773696899414,-73.481369018555,310,410,11934,9651377,,1000,1,1,UMTS,,,,,,
40.773696899414,-73.481369018555,311,870,1797,16058929,,1000,1,1,LTE,,,1797,,,
40.773696899414,-73.481369018555,310,410,11934,154432109,,1000,1,1,UMTS,,,,,,
40.773697,-73.482246,311,480,21250,21376270,,1000,1,1,LTE,,,21250,,,
40.773727,-73.480942,310,260,22598,15052866,,1000,1,1,LTE,,,22598,,,
40.773739,-73.481789,310,410,2389,28398035,,1000,1,1,LTE,,,2389,,,
40.773915,-73.483787,311,480,21767,21889294,,1000,1,1,LTE,,,21767,,,
40.773931,-73.481771,311,480,21250,21267971,,1000,1,1,LTE,,,21250,,,
40.773976,-73.475971,310,410,2389,28397996,,1000,1,1,LTE,,,2389,,,
40.774021,-73.48056,311,480,21767,21889312,,1000,1,1,LTE,,,21767,,,
40.774384,-73.476563,310,410,11934,154412111,,1000,1,1,UMTS,,,,,,
40.77458,-73.482114,310,410,2389,28397846,,6216,1,1,LTE,,,2389,,,
40.774658,-73.477257,310,410,2389,28398033,,1000,1,1,LTE,,,2389,,,
40.774686,-73.473576,310,410,2389,29396234,,9458,1,1,LTE,,,2389,,,
40.77507,-73.476563,311,480,21250,21376259,,1000,1,1,LTE,,,21250,,,
40.77507,-73.475647,311,480,21250,21376290,,1000,1,1,LTE,,,21250,,,
40.77507,-73.475189,310,410,11934,154412114,,1000,1,1,UMTS,,,,,,
40.77507019043,-73.478622436523,310,260,32143,28542,,1000,1,1,CDMA,,,,260,32143,28542
40.77507019043,-73.475875854492,310,410,11934,154452314,,1000,1,1,UMTS,,,,,,
40.77507019043,-73.475875854492,311,16,16,610,,1000,1,1,LTE,,,16,,,
40.77507019043,-73.475875854492,311,490,1797,14727683,,1000,1,1,LTE,,,1797,,,
40.77507019043,-73.475875854492,311,480,21250,21376288,,1000,1,1,LTE,,,21250,,,
40.77507019043,-73.474502563477,310,120,1797,16058938,,1000,1,1,LTE,,,1797,,,
40.77507019043,-73.474502563477,311,870,1797,16058930,,1000,1,1,LTE,,,1797,,,
40.775355,-73.477841,310,260,52283,167876244,,1000,1,1,UMTS,,,,,,
40.775414,-73.475533,310,410,35651,11204,,1000,1,1,GSM,,,,,,
40.775532,-73.481911,311,480,21767,21889046,,1000,1,1,LTE,,,21767,,,
40.775532,-73.481911,311,480,21767,21780000,,1000,1,1,LTE,,,21767,,,
40.775532,-73.481911,311,480,21767,21779980,,1000,1,1,LTE,,,21767,,,
40.775532,-73.481911,311,480,21767,21846304,,1000,1,1,LTE,,,21767,,,
40.775532,-73.481911,311,480,21767,21869570,,1000,1,1,LTE,,,21767,,,
40.775757,-73.479309,310,260,32143,28541,,1000,1,1,CDMA,,,,260,32143,28541
40.775904,-73.474503,310,120,1797,16058930,,1000,1,1,LTE,,,1797,,,
40.775972,-73.475075,310,260,52283,167838052,,1000,1,1,UMTS,,,,,,
40.776443,-73.478107,310,260,32156,28541,,1000,1,1,GSM,,,,,,
40.776443481445,-73.479995727539,310,410,11934,154462312,,1000,1,1,UMTS,,,,,,
40.776443481445,-73.478622436523,310,4162,2,8882,,1000,1,1,CDMA,,,,4162,2,8882
40.776443481445,-73.475875854492,311,870,1797,14727682,,1000,1,1,LTE,,,1797,,,
40.77755,-73.482016,310,410,2389,29426961,,6545,1,1,LTE,,,2389,,,
40.777816772461,-73.48274230957,310,410,11934,154412107,,1000,1,1,UMTS,,,,,,
40.777816772461,-73.481369018555,310,260,52192,38543,,1000,1,1,CDMA,,,,260,52192,38543
40.777816772461,-73.481369018555,310,260,52192,38547,,1000,1,1,CDMA,,,,260,52192,38547
40.777816772461,-73.481369018555,310,260,52287,3568,,1000,1,1,CDMA,,,,260,52287,3568
40.777816772461,-73.474502563477,310,260,32143,233,,1000,1,1,CDMA,,,,260,32143,233
40.777973,-73.482742,310,120,1797,16058929,,1000,1,1,LTE,,,1797,,,
40.778275,-73.482742,310,260,52287,38547,,1000,1,1,CDMA,,,,260,52287,38547
40.778503,-73.482056,310,410,11932,167322705,,1000,1,1,UMTS,,,,,,
40.778811,-73.484202,310,410,2389,28397839,,9028,1,1,LTE,,,2389,,,
40.778847,-73.474674,310,260,52283,167837965,,1000,1,1,UMTS,,,,,,
40.778961,-73.482666,310,120,1797,16058937,,1000,1,1,LTE,,,1797,,,
40.77919,-73.481369,310,410,11934,154412113,,1000,1,1,UMTS,,,,,,
40.779190063477,-73.473129272461,310,260,52283,167837929,,1000,1,1,UMTS,,,,,,
40.779295,-73.476936,310,260,22598,12270343,,1000,1,1,LTE,,,22598,,,
40.779533,-73.482742,310,260,52287,38541,,1000,1,1,CDMA,,,,260,52287,38541
