lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.84726,-82.323303,310,299,48,106,,1000,1,1,CDMA,,,,299,48,106
34.847427,-82.324022,311,480,39178,115971356,,1000,1,1,LTE,,,39178,,,
34.847451,-82.331859,310,260,31521,16113163,,1931,1,1,LTE,,,31521,,,
34.847489,-82.322616,310,4376,1,564,,1225,1,1,CDMA,,,,4376,1,564
34.847521,-82.322923,311,480,39178,39171345,,1413,1,1,LTE,,,39178,,,
34.847626,-82.324495,310,260,31700,16113163,,1000,1,1,LTE,,,31700,,,
34.847776,-82.324715,310,260,31700,36370180,,1529,1,1,LTE,,,31700,,,
34.847843,-82.33075,310,260,31597,228432773,,1000,1,1,LTE,,,31597,,,
34.847946166992,-82.323989868164,310,139,103,106,,1000,1,1,CDMA,,,,139,103,106
34.847952,-82.325184,310,260,31597,36370180,,1681,1,1,LTE,,,31597,,,
34.848833,-82.330725,310,260,31597,15681793,,8376,1,1,LTE,,,31597,,,
34.848991,-82.328979,310,,173,107,,1000,1,1,GSM,,,,,,
34.849152,-82.326622,311,480,39178,39171354,,1000,1,1,LTE,,,39178,,,
34.849234,-82.323672,311,480,39178,39347992,,1000,1,1,LTE,,,39178,,,
34.849319458008,-82.328109741211,311,480,39178,116029452,,1000,1,1,LTE,,,39178,,,
34.849319458008,-82.326736450195,310,410,8989,20488720,,1000,1,1,UMTS,,,,,,
34.849334,-82.326829,310,260,31700,16113165,,1000,1,1,LTE,,,31700,,,
34.849713,-82.327869,310,260,31700,36370190,,1795,1,1,LTE,,,31700,,,
34.8499,-82.321843,310,260,31597,16113153,,6981,1,1,LTE,,,31597,,,
34.850516,-82.326719,310,260,31597,228432771,,1000,1,1,LTE,,,31597,,,
34.850552,-82.328537,311,480,39178,39347982,,1000,1,1,LTE,,,39178,,,
34.850692749023,-82.322616577148,310,260,7498,13515940,,1000,1,1,UMTS,,,,,,
34.850737,-82.328284,310,260,31700,16113153,,1000,1,1,LTE,,,31700,,,
34.850771,-82.328603,311,480,39178,115971346,,1000,1,1,LTE,,,39178,,,
34.850921,-82.332343,310,410,8989,218209383,,1000,1,1,UMTS,,,,,,
34.851048,-82.322197,310,260,1691,59391140,,1000,1,1,UMTS,,,,,,
34.85105,-82.322781,311,480,39178,192822572,,1450,1,1,LTE,,,39178,,,
34.851169,-82.323619,310,260,31597,228432781,,1000,1,1,LTE,,,31597,,,
34.851421,-82.321915,310,260,31597,35526464,,1000,1,1,LTE,,,31597,,,
34.851421,-82.321871,310,260,31597,35351357,,1000,1,1,LTE,,,31597,,,
34.851437,-82.323344,310,260,31597,16113163,,5388,1,1,LTE,,,31597,,,
34.851493,-82.33001,311,480,39178,116096012,,1366,1,1,LTE,,,39178,,,
34.851494,-82.321844,311,480,39178,39171370,,1000,1,1,LTE,,,39178,,,
34.851517,-82.321964,310,260,31597,35549759,,1000,1,1,LTE,,,31597,,,
34.851534,-82.32186,310,260,31597,35351317,,1000,1,1,LTE,,,31597,,,
34.851589,-82.322327,311,480,39178,39348012,,1000,1,1,LTE,,,39178,,,
34.851685,-82.329918,311,480,39178,39171344,,1000,1,1,LTE,,,39178,,,
34.85174,-82.328705,310,410,10510,22124693,,1000,1,1,LTE,,,10510,,,
34.851837,-82.331772,310,4376,1,308,,1000,1,1,CDMA,,,,4376,1,308
34.851855,-82.326092,310,260,7402,40443,,1000,1,1,GSM,,,,,,
34.852066,-82.330856,310,410,8992,218209375,,1000,1,1,UMTS,,,,,,
34.852066,-82.322617,310,260,7498,13515937,,1000,1,1,UMTS,,,,,,
34.852066040039,-82.332229614258,310,260,7498,13515939,,1000,1,1,UMTS,,,,,,
34.852066040039,-82.32536315918,310,299,173,105,,1000,1,1,CDMA,,,,299,173,105
34.852098,-82.323272,310,260,31597,35526424,,1000,1,1,LTE,,,31597,,,
34.852128,-82.330673,310,410,10510,22963976,,1000,1,1,LTE,,,10510,,,
34.85215,-82.330994,310,260,31597,228432772,,1000,1,1,LTE,,,31597,,,
34.852362,-82.323264,310,260,31521,16113153,,4476,1,1,LTE,,,31521,,,
34.852461,-82.326079,310,410,10510,20488726,,7037,1,1,LTE,,,10510,,,
34.852691,-82.330584,311,480,173,4313,,4774,1,1,LTE,,,173,,,
34.852873,-82.329329,311,480,39178,115971340,,1000,1,1,LTE,,,39178,,,
34.852947,-82.331367,311,480,39178,39347971,,1000,1,1,LTE,,,39178,,,
34.852955,-82.331906,310,410,8989,218209375,,1000,1,1,UMTS,,,,,,
34.852982,-82.326279,310,139,103,105,,1000,1,1,CDMA,,,,139,103,105
34.853083,-82.327194,311,480,39178,116022570,,1000,1,1,LTE,,,39178,,,
34.853171,-82.325421,310,260,31597,36370290,,1000,1,1,LTE,,,31597,,,
34.853197,-82.331608,310,260,31700,16113155,,1000,1,1,LTE,,,31700,,,
34.853439,-82.33017,310,410,8989,218209381,,1000,1,1,UMTS,,,,,,
34.853439331055,-82.332229614258,310,410,8989,40031,,1000,1,1,CDMA,,,,410,8989,40031
34.853439331055,-82.332229614258,310,410,8011,40491,,1000,1,1,GSM,,,,,,
34.853439331055,-82.332229614258,310,260,7402,42491,,1000,1,1,GSM,,,,,,
34.853439331055,-82.332229614258,310,260,7402,40191,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,41701,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,40891,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,46721,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,40052,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,46722,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,40031,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,40041,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,410,8011,41971,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,260,7402,41523,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,260,7402,42493,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,260,7402,41491,,1000,1,1,GSM,,,,,,
34.853439331055,-82.330856323242,310,260,7402,42492,,1000,1,1,GSM,,,,,,
34.853439331055,-82.329483032227,310,410,8998,40037,,1000,1,1,CDMA,,,,410,8998,40037
34.853439331055,-82.329483032227,310,260,7402,41521,,1000,1,1,GSM,,,,,,
34.853439331055,-82.328109741211,310,410,8998,40034,,1000,1,1,CDMA,,,,410,8998,40034
34.853462,-82.326901,311,480,39178,192771342,,1000,1,1,LTE,,,39178,,,
34.853695,-82.327247,311,480,39178,39171329,,1000,1,1,LTE,,,39178,,,
34.853711,-82.331566,310,120,4358,35698689,,6206,1,1,LTE,,,4358,,,
34.853763,-82.326389,310,410,10510,20488719,,5931,1,1,LTE,,,10510,,,
34.853973,-82.332672,311,480,39178,115971331,,1000,1,1,LTE,,,39178,,,
34.854028,-82.332567,310,410,10510,22124552,,1000,1,1,LTE,,,10510,,,
34.854469,-82.330856,310,410,8989,218209378,,1000,1,1,UMTS,,,,,,
34.854881,-82.331558,310,260,31597,36877445,,1000,1,1,LTE,,,31597,,,
34.854881,-82.331558,310,260,31597,36886147,,1000,1,1,LTE,,,31597,,,
34.855087,-82.332474,311,480,39178,116106002,,1000,1,1,LTE,,,39178,,,
34.855087,-82.332474,311,480,39178,116059683,,1000,1,1,LTE,,,39178,,,
34.855087,-82.332474,311,480,39178,115971343,,1000,1,1,LTE,,,39178,,,
34.855087,-82.332474,311,480,39178,39171375,,1000,1,1,LTE,,,39178,,,
34.855319,-82.328672,311,480,39178,39171340,,653,1,1,LTE,,,39178,,,
34.855337,-82.324496,311,480,39178,192771343,,1000,1,1,LTE,,,39178,,,
34.856185913086,-82.32536315918,310,260,7402,13559940,,1000,1,1,UMTS,,,,,,
34.856185913086,-82.323989868164,311,870,4358,35700995,,1000,1,1,LTE,,,4358,,,
