lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.44543,-122.622488,311,480,1280,1347347,,4895,1,1,LTE,,,1280,,,
45.445633,-122.632656,310,120,20495,167786511,,1000,1,1,LTE,,,20495,,,
45.446136,-122.632965,310,120,20495,169117699,,1000,1,1,LTE,,,20495,,,
45.446213,-122.632133,312,530,13612,167786496,,1000,1,1,LTE,,,13612,,,
45.446323,-122.632831,310,260,35872,22713,,2352,1,1,GSM,,,,,,
45.446342,-122.622543,310,260,35897,74074958,,1000,1,1,UMTS,,,,,,
45.446358,-122.622345,310,260,35897,74066797,,1000,1,1,UMTS,,,,,,
45.446536,-122.628696,310,120,20489,167786499,,1199,1,1,LTE,,,20489,,,
45.446548,-122.633673,310,260,50263,256020005,,1993,1,1,LTE,,,50263,,,
45.447282,-122.630366,311,490,13656,45066253,,1000,1,1,LTE,,,13656,,,
45.447464,-122.631912,310,120,20495,169117696,,1000,1,1,LTE,,,20495,,,
45.447787,-122.627803,310,120,20495,167786499,,1000,1,1,LTE,,,20495,,,
45.448145,-122.633316,310,120,20489,169117702,,1486,1,1,LTE,,,20489,,,
45.448274,-122.630961,310,120,20495,167786496,,1000,1,1,LTE,,,20495,,,
45.448379516602,-122.62184143066,310,260,35895,80628552,,1000,1,1,UMTS,,,,,,
45.449352,-122.627106,311,480,2,1320963,,1000,1,1,LTE,,,2,,,
45.449619,-122.627647,311,480,2,1347329,,1000,1,1,LTE,,,2,,,
45.449756,-122.631453,310,410,36876,84639503,,3034,1,1,LTE,,,36876,,,
45.4498,-122.631377,310,120,20489,167786496,,1515,1,1,LTE,,,20489,,,
45.450165,-122.625847,311,490,13612,167862788,,1000,1,1,LTE,,,13612,,,
45.451366,-122.622501,310,410,33985,14465072,,1463,1,1,UMTS,,,,,,
45.452053,-122.633377,311,490,13612,21054270,,1000,1,1,LTE,,,13612,,,
45.453049,-122.630775,311,490,13612,167787012,,1000,1,1,LTE,,,13612,,,
45.453076,-122.626546,311,480,1288,1354242,,2548,1,1,LTE,,,1288,,,
45.453392,-122.622562,310,120,245,42945,,2296,1,1,LTE,,,245,,,
45.45364,-122.63002,311,480,1280,78134030,,1000,1,1,LTE,,,1280,,,
