lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.049076,-122.842319,310,260,11365,25494147,,3119,1,1,LTE,,,11365,,,
47.049413,-122.852349,311,480,260,333071,,1567,1,1,LTE,,,260,,,
47.050271,-122.852591,311,480,260,333070,,8416,1,1,LTE,,,260,,,
47.050744,-122.852169,310,410,37152,107683594,,3628,1,1,LTE,,,37152,,,
47.051949,-122.847557,311,490,11365,21020478,,1000,1,1,LTE,,,11365,,,
47.052052,-122.847221,310,238,7,4793,,1000,1,1,CDMA,,,,238,7,4793
47.052273,-122.847794,311,490,11365,21020439,,1000,1,1,LTE,,,11365,,,
47.052311,-122.847816,311,490,11365,21020419,,1000,1,1,LTE,,,11365,,,
47.05233,-122.847527,311,490,11365,21020479,,1000,1,1,LTE,,,11365,,,
47.052685,-122.847931,311,490,11365,25494149,,1000,1,1,LTE,,,11365,,,
47.052696,-122.847374,311,490,11365,190892813,,1000,1,1,LTE,,,11365,,,
47.05275,-122.847305,311,490,11365,190892811,,1000,1,1,LTE,,,11365,,,
47.052761,-122.847313,311,490,11365,24947725,,1000,1,1,LTE,,,11365,,,
47.052769,-122.847313,311,490,11365,24947715,,1000,1,1,LTE,,,11365,,,
47.05278,-122.847519,311,490,11365,21792514,,1000,1,1,LTE,,,11365,,,
47.05278,-122.847519,311,490,11365,190892809,,1000,1,1,LTE,,,11365,,,
47.05278,-122.847511,311,490,11365,190892814,,1000,1,1,LTE,,,11365,,,
47.052784,-122.847519,311,490,11365,190892818,,1000,1,1,LTE,,,11365,,,
47.052792,-122.847519,311,490,11365,21020418,,1000,1,1,LTE,,,11365,,,
47.052845,-122.847519,311,490,11365,21020417,,1000,1,1,LTE,,,11365,,,
47.052853,-122.847527,311,490,11365,21020437,,1000,1,1,LTE,,,11365,,,
47.052864,-122.847519,311,490,11365,24986891,,1000,1,1,LTE,,,11365,,,
47.052872,-122.847519,311,490,11365,21791756,,1000,1,1,LTE,,,11365,,,
47.052876,-122.847511,311,490,11365,190892820,,1000,1,1,LTE,,,11365,,,
47.052876,-122.847511,311,490,11365,24986881,,1000,1,1,LTE,,,11365,,,
47.052876,-122.847504,311,490,11365,21792513,,1000,1,1,LTE,,,11365,,,
47.052898,-122.847389,311,490,11365,190892804,,1000,1,1,LTE,,,11365,,,
47.052902,-122.847397,311,490,11365,190892803,,1000,1,1,LTE,,,11365,,,
47.052906,-122.847397,311,490,11365,21020427,,1000,1,1,LTE,,,11365,,,
47.052906,-122.847374,311,490,11365,190892805,,1000,1,1,LTE,,,11365,,,
47.052948,-122.847321,311,490,11365,21020438,,1000,1,1,LTE,,,11365,,,
47.053257,-122.846703,311,490,11365,25494147,,1000,1,1,LTE,,,11365,,,
47.053429,-122.843941,311,490,11365,190892812,,1000,1,1,LTE,,,11365,,,
47.053509,-122.843887,311,490,11365,190892800,,1000,1,1,LTE,,,11365,,,
47.053699,-122.843754,311,480,260,333057,,1317,1,1,LTE,,,260,,,
47.054104,-122.843483,311,490,11365,190892802,,1000,1,1,LTE,,,11365,,,
47.054443,-122.843628,310,120,23301,192224003,,1000,1,1,LTE,,,23301,,,
47.055130004883,-122.8443145752,310,410,52044,54751,,1000,1,1,GSM,,,,,,
47.056399,-122.846725,310,260,11501,21020427,,1000,1,1,LTE,,,11501,,,
47.056503295898,-122.84706115723,310,260,41398,21284088,,1000,1,1,UMTS,,,,,,
47.057172,-122.847654,310,260,11501,21020417,,1000,1,1,LTE,,,11501,,,
