lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.603073120117,-122.31422424316,310,410,42964,10364885,,1000,1,1,UMTS,,,,,,
47.603073120117,-122.31010437012,310,410,42986,7808978,,1000,1,1,UMTS,,,,,,
47.603073120117,-122.30735778809,310,260,41395,40916839,,1000,1,1,UMTS,,,,,,
47.603073120117,-122.30598449707,310,120,23318,192338180,,1000,1,1,LTE,,,23318,,,
47.603073120117,-122.30461120605,310,120,23318,190897666,,1000,1,1,LTE,,,23318,,,
47.603073120117,-122.30461120605,310,410,42986,7610297,,1000,1,1,UMTS,,,,,,
47.603336,-122.305871,310,260,41395,40916835,,1000,1,1,UMTS,,,,,,
47.6034,-122.304145,310,260,11316,44829963,,1529,1,1,LTE,,,11316,,,
47.603431,-122.307,310,260,41395,40914835,,1000,1,1,UMTS,,,,,,
47.60376,-122.30775,310,410,37154,109828865,,1000,1,1,LTE,,,37154,,,
47.60376,-122.303925,310,120,23318,192228865,,1000,1,1,LTE,,,23318,,,
47.603845,-122.312071,310,410,42964,10364879,,1458,1,1,UMTS,,,,,,
47.603847,-122.311825,310,260,11316,24962827,,4264,1,1,LTE,,,11316,,,
47.603861,-122.306728,310,410,37154,107783432,,5160,1,1,LTE,,,37154,,,
47.603908,-122.305818,310,260,11316,22645013,,1078,1,1,LTE,,,11316,,,
47.604103,-122.305298,310,260,41381,3021,,1000,1,1,GSM,,,,,,
47.604213,-122.315053,311,480,12,76843296,,1000,1,1,LTE,,,12,,,
47.604341,-122.303555,310,120,23317,192228865,,1000,1,1,LTE,,,23317,,,
47.604426,-122.316612,310,260,11316,21757462,,7369,1,1,LTE,,,11316,,,
47.604446,-122.308456,310,260,50275,256215404,,1000,1,1,LTE,,,50275,,,
47.604446,-122.303696,310,120,23318,192228869,,1000,1,1,LTE,,,23318,,,
47.604446411133,-122.31422424316,310,410,42964,7808873,,1000,1,1,UMTS,,,,,,
47.604446411133,-122.30735778809,310,260,41395,40914839,,1000,1,1,UMTS,,,,,,
47.604446411133,-122.30598449707,310,120,23318,192228866,,1000,1,1,LTE,,,23318,,,
47.604446411133,-122.30598449707,310,120,23317,192228869,,1000,1,1,LTE,,,23317,,,
47.604446411133,-122.30461120605,310,120,23318,190897664,,1000,1,1,LTE,,,23318,,,
47.604696,-122.307483,310,120,23317,192228871,,1000,1,1,LTE,,,23317,,,
47.604904,-122.314224,310,410,42964,10364886,,1000,1,1,UMTS,,,,,,
47.604996,-122.313949,310,120,23318,190899969,,2825,1,1,LTE,,,23318,,,
47.605114,-122.30497,310,260,50284,256310491,,1000,1,1,LTE,,,50284,,,
47.605133,-122.306671,310,410,42986,10364985,,1000,1,1,UMTS,,,,,,
47.605155,-122.314227,310,260,11316,44829708,,1089,1,1,LTE,,,11316,,,
47.605479,-122.310315,310,410,37154,107780879,,2582,1,1,LTE,,,37154,,,
47.605819702148,-122.31422424316,310,410,42964,9317086,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.31422424316,310,410,42972,10364885,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.31285095215,310,260,41395,22075,,1000,1,1,CDMA,,,,260,41395,22075
47.605819702148,-122.31285095215,310,260,41395,2952,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.31147766113,310,260,41395,40916539,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.31147766113,311,480,2,12057,,1000,1,1,LTE,,,2,,,
47.605819702148,-122.31010437012,310,260,41395,40914669,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.31010437012,310,120,41766,68310016,,1000,1,1,LTE,,,41766,,,
47.605819702148,-122.31010437012,310,120,23317,191006977,,1000,1,1,LTE,,,23317,,,
47.605819702148,-122.30598449707,310,6,48,937,,1000,1,1,CDMA,,,,6,48,937
47.605819702148,-122.30598449707,311,480,12,43289,,1000,1,1,LTE,,,12,,,
47.60582,-122.310791,310,410,52025,56012,,1000,1,1,GSM,,,,,,
47.60582,-122.307816,310,120,23317,192228872,,1000,1,1,LTE,,,23317,,,
47.605849,-122.312735,310,260,11316,21677826,,3660,1,1,LTE,,,11316,,,
47.605914,-122.305369,310,260,41395,40913657,,1493,1,1,UMTS,,,,,,
47.605925,-122.305984,310,6,48,681,,1000,1,1,CDMA,,,,6,48,681
47.605976,-122.310339,310,260,41395,40916536,,1000,1,1,UMTS,,,,,,
47.606048,-122.314839,310,410,37144,109828097,,1022,1,1,LTE,,,37144,,,
47.606204,-122.310006,310,410,37154,107780872,,5485,1,1,LTE,,,37154,,,
47.606211,-122.315213,310,260,11316,21677837,,1393,1,1,LTE,,,11316,,,
47.606335,-122.315369,310,260,41381,2951,,1000,1,1,GSM,,,,,,
47.606487,-122.305396,310,260,41395,40914460,,1000,1,1,UMTS,,,,,,
47.606593,-122.316621,310,260,11316,21677825,,3332,1,1,LTE,,,11316,,,
47.606594,-122.31472,312,530,11316,191739185,,1000,1,1,LTE,,,11316,,,
47.606622,-122.31433,310,260,11316,21677571,,7287,1,1,LTE,,,11316,,,
47.606739,-122.307229,310,260,11316,45742856,,1000,1,1,LTE,,,11316,,,
47.606764,-122.315684,310,260,41381,8153,,1000,1,1,GSM,,,,,,
47.606784,-122.304404,310,260,11316,22305795,,1454,1,1,LTE,,,11316,,,
47.606814,-122.306343,310,260,50285,256048503,,1000,1,1,LTE,,,50285,,,
47.60685,-122.314224,310,120,23318,192231175,,1000,1,1,LTE,,,23318,,,
47.606951,-122.304934,310,120,23317,192228864,,1000,1,1,LTE,,,23317,,,
47.60697,-122.304709,310,260,11316,22305815,,1447,1,1,LTE,,,11316,,,
47.606972,-122.306393,310,260,50285,256072772,,1000,1,1,LTE,,,50285,,,
47.60701,-122.311111,311,480,2,76812054,,1000,1,1,LTE,,,2,,,
47.607063,-122.311142,311,490,11316,45744915,,1000,1,1,LTE,,,11316,,,
47.607109,-122.311348,312,530,11316,190899977,,1000,1,1,LTE,,,11316,,,
47.607109,-122.311348,312,530,11316,190899986,,1000,1,1,LTE,,,11316,,,
47.607117,-122.309525,311,490,11316,21677886,,1000,1,1,LTE,,,11316,,,
47.607162,-122.311768,311,490,11316,21677846,,1000,1,1,LTE,,,11316,,,
47.607192993164,-122.31559753418,310,260,41326,8153,,1000,1,1,CDMA,,,,260,41326,8153
47.607192993164,-122.31559753418,310,260,41326,2952,,1000,1,1,CDMA,,,,260,41326,2952
47.607192993164,-122.31559753418,310,120,23312,192231176,,1000,1,1,LTE,,,23312,,,
47.607192993164,-122.31422424316,310,120,23312,192231172,,1000,1,1,LTE,,,23312,,,
47.607192993164,-122.31285095215,310,410,42964,10364882,,1000,1,1,UMTS,,,,,,
47.607192993164,-122.31147766113,310,120,23312,191006977,,1000,1,1,LTE,,,23312,,,
47.607192993164,-122.31010437012,310,410,42972,9915279,,1000,1,1,UMTS,,,,,,
47.607192993164,-122.3087310791,310,410,37129,107780872,,1000,1,1,LTE,,,37129,,,
47.607192993164,-122.30735778809,310,410,42972,7808903,,1000,1,1,UMTS,,,,,,
47.607193,-122.313126,310,260,41381,2952,,1000,1,1,GSM,,,,,,
47.607193,-122.306671,310,120,23317,190897665,,1000,1,1,LTE,,,23317,,,
47.607193,-122.306328,310,410,42964,10364985,,1000,1,1,UMTS,,,,,,
47.607193,-122.304153,310,120,23318,192228868,,1000,1,1,LTE,,,23318,,,
47.607231,-122.310135,310,120,11316,45187349,,1000,1,1,LTE,,,11316,,,
47.60733,-122.307171,310,260,11316,45742866,,1000,1,1,LTE,,,11316,,,
47.607365,-122.311306,311,480,2,12056,,1000,1,1,LTE,,,2,,,
47.607376,-122.31279,310,410,42964,9840561,,1000,1,1,UMTS,,,,,,
47.607413,-122.311258,311,480,2,12034,,1000,1,1,LTE,,,2,,,
47.607511,-122.313235,310,410,37154,109575426,,1000,1,1,LTE,,,37154,,,
47.607639,-122.309647,311,490,11316,45744910,,1000,1,1,LTE,,,11316,,,
47.607659,-122.315632,310,410,37144,107780874,,1000,1,1,LTE,,,37144,,,
47.607769,-122.310136,310,410,42971,9840901,,5292,1,1,UMTS,,,,,,
47.607803,-122.309784,311,490,11316,22305815,,1000,1,1,LTE,,,11316,,,
47.607803,-122.309776,312,530,11316,21665598,,1000,1,1,LTE,,,11316,,,
47.607803,-122.309769,310,120,11316,21665598,,1000,1,1,LTE,,,11316,,,
47.607805,-122.304288,310,260,11316,21677315,,1094,1,1,LTE,,,11316,,,
47.607807,-122.309784,312,530,11316,21665558,,1000,1,1,LTE,,,11316,,,
47.607809,-122.303427,310,260,41395,40914457,,1000,1,1,UMTS,,,,,,
47.607811,-122.30978,311,490,11316,21665558,,1000,1,1,LTE,,,11316,,,
47.607811,-122.309776,311,490,11316,190897667,,1000,1,1,LTE,,,11316,,,
47.607811,-122.309761,312,530,11316,190897673,,1000,1,1,LTE,,,11316,,,
47.607815,-122.309784,311,490,11316,21665598,,1000,1,1,LTE,,,11316,,,
47.607815,-122.309769,310,120,11316,22305815,,1000,1,1,LTE,,,11316,,,
47.607815,-122.309761,311,490,11316,190899979,,1000,1,1,LTE,,,11316,,,
47.607819,-122.309784,310,120,11316,190897666,,1000,1,1,LTE,,,11316,,,
47.607819,-122.309784,310,120,11316,21665558,,1000,1,1,LTE,,,11316,,,
47.607819,-122.309769,311,490,11316,45744900,,1000,1,1,LTE,,,11316,,,
47.607819,-122.309753,311,490,11316,21665599,,1000,1,1,LTE,,,11316,,,
47.607822,-122.309792,311,490,11316,24695358,,1000,1,1,LTE,,,11316,,,
47.607826,-122.309784,311,490,11316,21677826,,1000,1,1,LTE,,,11316,,,
47.607826,-122.309769,310,120,11316,190897673,,1000,1,1,LTE,,,11316,,,
47.60783,-122.309761,311,490,11316,24695318,,1000,1,1,LTE,,,11316,,,
47.60788,-122.314911,310,410,42964,10374980,,1000,1,1,UMTS,,,,,,
47.60788,-122.314224,310,120,23312,192231175,,1000,1,1,LTE,,,23312,,,
47.607887,-122.309547,312,530,11316,190897676,,1000,1,1,LTE,,,11316,,,
47.607899,-122.309334,312,530,11316,190897668,,1000,1,1,LTE,,,11316,,,
47.607903,-122.309341,312,530,11316,190897677,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,190897664,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,190897675,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,190897667,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,191553330,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,190897666,,1000,1,1,LTE,,,11316,,,
47.607922,-122.309349,312,530,11316,190899979,,1000,1,1,LTE,,,11316,,,
47.607937,-122.310532,311,870,8,53554,,1000,1,1,LTE,,,8,,,
47.607968,-122.316417,310,410,42964,10364980,,1151,1,1,UMTS,,,,,,
47.608014,-122.3091,310,410,37154,107783439,,1000,1,1,LTE,,,37154,,,
47.608031,-122.311336,311,480,2,153612054,,1000,1,1,LTE,,,2,,,
47.608148,-122.316526,310,410,37154,107780874,,5862,1,1,LTE,,,37154,,,
47.608154,-122.305847,310,120,23317,192228870,,1000,1,1,LTE,,,23317,,,
47.608219,-122.309067,310,120,240,53730,,1000,1,1,LTE,,,240,,,
47.608327,-122.314743,310,260,11316,24695318,,1634,1,1,LTE,,,11316,,,
47.60837,-122.314224,310,120,23312,192231169,,1000,1,1,LTE,,,23312,,,
47.608511,-122.314366,310,260,41395,40916535,,1000,1,1,UMTS,,,,,,
47.608566,-122.315769,310,260,41395,40914668,,1000,1,1,UMTS,,,,,,
47.608566,-122.305735,310,410,42964,10364984,,1000,1,1,UMTS,,,,,,
47.60856628418,-122.31559753418,310,260,41395,22071,,1000,1,1,CDMA,,,,260,41395,22071
47.60856628418,-122.31422424316,310,410,42964,10196,,1000,1,1,CDMA,,,,410,42964,10196
47.60856628418,-122.31422424316,310,410,42964,20193,,1000,1,1,CDMA,,,,410,42964,20193
47.60856628418,-122.31422424316,310,410,42986,10364881,,1000,1,1,UMTS,,,,,,
47.60856628418,-122.31285095215,310,410,42986,7808980,,1000,1,1,UMTS,,,,,,
47.60856628418,-122.31285095215,310,410,42986,20292,,1000,1,1,CDMA,,,,410,42986,20292
47.60856628418,-122.31285095215,310,6,8,303,,1000,1,1,LTE,,,8,,,
47.60856628418,-122.31010437012,310,6,8,559,,1000,1,1,LTE,,,8,,,
47.60856628418,-122.3087310791,310,6,8,937,,1000,1,1,LTE,,,8,,,
47.60856628418,-122.3087310791,311,6,8,937,,1000,1,1,LTE,,,8,,,
47.60856628418,-122.30598449707,310,6,8,681,,1000,1,1,LTE,,,8,,,
47.60856628418,-122.30598449707,310,120,23318,192228867,,1000,1,1,LTE,,,23318,,,
47.60882,-122.316079,310,410,37154,107780881,,1265,1,1,LTE,,,37154,,,
47.609024,-122.314224,310,120,23312,190899969,,1000,1,1,LTE,,,23312,,,
47.609091,-122.31316,310,120,240,53330,,1000,1,1,LTE,,,240,,,
47.609253,-122.314224,310,260,41395,40914646,,1000,1,1,UMTS,,,,,,
47.609402,-122.315359,310,120,23318,192231169,,1000,1,1,LTE,,,23318,,,
47.609547,-122.306297,311,490,240,53729,,1000,1,1,CDMA,,,,490,240,53729
47.609787,-122.315445,311,490,23317,68220674,,1000,1,1,LTE,,,23317,,,
47.609815,-122.314349,310,120,23318,192231172,,1000,1,1,LTE,,,23318,,,
47.60984,-122.310042,310,410,42964,10364881,,1000,1,1,UMTS,,,,,,
47.609914,-122.314431,310,260,11316,20974850,,1000,1,1,UMTS,,,,,,
47.609928,-122.306408,310,120,240,53745,,1000,1,1,CDMA,,,,120,240,53745
47.609939575195,-122.31422424316,310,260,11316,20974870,,1000,1,1,LTE,,,11316,,,
47.609939575195,-122.3087310791,310,410,42986,7809081,,1000,1,1,UMTS,,,,,,
47.609939575195,-122.3087310791,311,480,12,43279,,1000,1,1,LTE,,,12,,,
47.609939575195,-122.30735778809,310,410,42964,56013,,1000,1,1,UMTS,,,,,,
47.609939575195,-122.30598449707,310,260,41395,40914656,,1000,1,1,UMTS,,,,,,
47.609939575195,-122.30461120605,310,260,41381,58551,,1000,1,1,UMTS,,,,,,
47.610352,-122.314302,310,260,11316,45744646,,1650,1,1,LTE,,,11316,,,
47.610493,-122.308868,310,410,37154,107783574,,1000,1,1,LTE,,,37154,,,
47.610626,-122.314911,310,410,42964,10374881,,1000,1,1,UMTS,,,,,,
47.610626,-122.307358,310,120,23317,190897664,,1000,1,1,LTE,,,23317,,,
47.610655,-122.316391,311,480,2,76812044,,1000,1,1,LTE,,,2,,,
47.610782,-122.310371,310,260,11316,21677835,,1000,1,1,LTE,,,11316,,,
47.610852,-122.311154,310,410,37154,107783433,,1324,1,1,LTE,,,37154,,,
47.611139,-122.312766,310,260,41395,40925555,,1000,1,1,UMTS,,,,,,
47.611238,-122.316595,311,480,2,12033,,1000,1,1,LTE,,,2,,,
47.611312866211,-122.31010437012,311,6,8,425,,1000,1,1,LTE,,,8,,,
47.611312866211,-122.30735778809,310,260,41395,2951,,1000,1,1,UMTS,,,,,,
47.611312866211,-122.30461120605,310,4186,61,1004,,1000,1,1,CDMA,,,,4186,61,1004
47.611369,-122.309179,310,260,11316,21677569,,1437,1,1,LTE,,,11316,,,
47.611509,-122.305788,311,490,23317,68220673,,1000,1,1,LTE,,,23317,,,
47.611543,-122.309598,310,260,11316,21677570,,1181,1,1,LTE,,,11316,,,
47.6116,-122.303685,310,410,42964,10364987,,1000,1,1,UMTS,,,,,,
47.611771,-122.307358,311,6,8,781,,1000,1,1,LTE,,,8,,,
