lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.630630493164,-87.454605102539,311,480,51752,51940097,,1000,1,1,LTE,,,51752,,,
41.630729,-87.444207,311,870,16165,10668288,,1000,1,1,LTE,,,16165,,,
41.631053,-87.451436,311,870,16165,10668297,,1000,1,1,LTE,,,16165,,,
41.63200378418,-87.451858520508,310,410,21999,21201,,1000,1,1,CDMA,,,,410,21999,21201
41.63200378418,-87.451858520508,310,260,29399,14481,,1000,1,1,CDMA,,,,260,29399,14481
41.633377075195,-87.44499206543,310,410,21208,54449,,1000,1,1,CDMA,,,,410,21208,54449
41.633578,-87.447002,310,410,21966,68027569,,8361,1,1,UMTS,,,,,,
41.633663,-87.453682,310,260,41496,8061069,,1000,1,1,LTE,,,41496,,,
41.633663,-87.453682,310,260,41496,28022404,,1000,1,1,LTE,,,41496,,,
41.633663,-87.453682,310,260,41496,10047621,,1000,1,1,LTE,,,41496,,,
41.633854,-87.443779,310,410,16670,54160898,,1000,1,1,LTE,,,16670,,,
41.634083,-87.447716,310,410,16670,54856928,,1000,1,1,LTE,,,16670,,,
41.634132,-87.447731,310,410,16670,54856931,,1000,1,1,LTE,,,16670,,,
41.634221,-87.446353,310,410,16670,53790735,,18720,1,1,LTE,,,16670,,,
41.634296,-87.44693,310,410,16670,69469193,,1000,1,1,LTE,,,16670,,,
41.63473,-87.448009,310,120,41475,132329742,,1109,1,1,LTE,,,41475,,,
41.634822,-87.447964,310,410,16670,53790947,,1861,1,1,LTE,,,16670,,,
41.635083,-87.44799,310,120,41475,132379657,,1118,1,1,LTE,,,41475,,,
41.635083,-87.44799,310,120,41475,133885952,,1118,1,1,LTE,,,41475,,,
41.635083,-87.44799,310,120,41475,132379658,,1118,1,1,LTE,,,41475,,,
41.635139,-87.45179,310,410,16649,54160905,,1000,1,1,LTE,,,16649,,,
41.635921,-87.445611,310,410,21999,65627198,,5275,1,1,UMTS,,,,,,
41.636034,-87.452295,310,120,41475,132379668,,1492,1,1,LTE,,,41475,,,
41.636094,-87.452272,310,120,41475,132379666,,1492,1,1,LTE,,,41475,,,
41.636234,-87.45445,310,120,41475,132389127,,1669,1,1,LTE,,,41475,,,
41.636558,-87.454424,310,120,41475,132379667,,1678,1,1,LTE,,,41475,,,
41.636784,-87.444724,310,410,16670,54160869,,1089,1,1,LTE,,,16670,,,
41.636818,-87.449062,310,410,16670,53790869,,9926,1,1,LTE,,,16670,,,
41.637496948242,-87.453231811523,310,410,21999,4101303,,1000,1,1,UMTS,,,,,,
41.637496948242,-87.447738647461,311,480,51752,128740108,,1000,1,1,LTE,,,51752,,,
41.637993,-87.447365,310,410,16670,54856932,,1000,1,1,LTE,,,16670,,,
41.638655,-87.45439,310,410,16649,53790728,,1000,1,1,LTE,,,16649,,,
41.638870239258,-87.453231811523,311,480,51752,128527628,,1000,1,1,LTE,,,51752,,,
41.638966,-87.450249,310,260,41475,28563077,,1000,1,1,LTE,,,41475,,,
41.639107,-87.44426,310,410,16670,53790764,,1000,1,1,LTE,,,16670,,,
