lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.358059,-121.845683,310,410,35646,169010192,,4350,1,1,LTE,,,35646,,,
37.3581,-121.849663,310,260,40480,151110153,,4690,1,1,UMTS,,,,,,
37.358275,-121.844527,310,260,14940,22389764,,3647,1,1,LTE,,,14940,,,
37.358322143555,-121.84593200684,310,410,56995,1962,,1000,1,1,CDMA,,,,410,56995,1962
37.358322143555,-121.84455871582,310,260,40483,131390521,,1000,1,1,UMTS,,,,,,
37.358454,-121.845454,310,260,14953,21110534,,10132,1,1,LTE,,,14953,,,
37.358572,-121.846243,310,260,14953,22389764,,2038,1,1,LTE,,,14953,,,
37.3588,-121.845646,310,260,14953,22389767,,9932,1,1,LTE,,,14953,,,
37.358841,-121.852165,310,260,14953,22389770,,1000,1,1,LTE,,,14953,,,
37.359009,-121.855545,310,120,21511,176234496,,1000,1,1,LTE,,,21511,,,
37.359352,-121.850395,310,260,40486,131352545,,1000,1,1,UMTS,,,,,,
37.359362,-121.85147,310,410,35646,170083769,,3146,1,1,LTE,,,35646,,,
37.359452,-121.845185,310,260,14953,21081860,,10227,1,1,LTE,,,14953,,,
37.35969543457,-121.85279846191,310,410,56995,3009468,,1000,1,1,UMTS,,,,,,
37.35969543457,-121.85279846191,310,410,56995,2070504,,1000,1,1,UMTS,,,,,,
37.35969543457,-121.85279846191,310,410,56995,2446473,,1000,1,1,UMTS,,,,,,
37.35969543457,-121.85279846191,310,410,56995,2182029,,1000,1,1,UMTS,,,,,,
37.35969543457,-121.85279846191,310,410,56995,2647838,,1000,1,1,UMTS,,,,,,
37.35969543457,-121.84455871582,311,870,21511,176234496,,1000,1,1,LTE,,,21511,,,
37.359761,-121.851099,310,410,56995,491724,,3174,1,1,UMTS,,,,,,
37.359796,-121.851812,310,410,35646,170083592,,3115,1,1,LTE,,,35646,,,
37.359895,-121.852221,310,410,65534,169810191,,3959,1,1,UMTS,,,,,,
37.360004,-121.852668,310,410,65534,169010192,,1328,1,1,UMTS,,,,,,
37.360349,-121.846217,310,260,14953,21110537,,8035,1,1,LTE,,,14953,,,
37.36035,-121.854958,310,410,35646,170083770,,2521,1,1,LTE,,,35646,,,
37.360412,-121.854769,310,410,56995,460308,,1000,1,1,UMTS,,,,,,
37.360676,-121.853976,310,260,14930,106455041,,1000,1,1,UMTS,,,,,,
37.360831,-121.852754,310,410,35646,171251722,,2502,1,1,LTE,,,35646,,,
37.360831,-121.852754,310,410,35646,171251720,,2502,1,1,LTE,,,35646,,,
37.360831,-121.852754,310,410,35646,170083594,,2502,1,1,LTE,,,35646,,,
37.360849,-121.853842,310,410,56995,491658,,2613,1,1,UMTS,,,,,,
37.360855,-121.851775,310,410,56953,5441453,,3452,1,1,UMTS,,,,,,
37.360977,-121.844718,310,260,14940,21081864,,20661,1,1,LTE,,,14940,,,
37.36105,-121.845863,310,260,65534,21110531,,1000,1,1,LTE,,,65534,,,
37.36105,-121.845863,310,260,62549,256486496,,1000,1,1,UMTS,,,,,,
37.361068725586,-121.85554504395,310,410,56995,168999697,,1000,1,1,UMTS,,,,,,
37.361068725586,-121.8514251709,310,260,14930,131383817,,1000,1,1,LTE,,,14930,,,
37.361068725586,-121.84593200684,310,120,21517,177513223,,1000,1,1,LTE,,,21517,,,
37.361077,-121.845901,310,260,62549,205942022,,1000,1,1,UMTS,,,,,,
37.361103,-121.84594,310,260,65534,256486496,,1000,1,1,LTE,,,65534,,,
37.361172,-121.845871,310,260,62549,151118891,,1000,1,1,UMTS,,,,,,
37.361172,-121.845871,310,260,40480,205942022,,1000,1,1,UMTS,,,,,,
