lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.188996,-77.588981,310,410,3336,205667856,,1644,1,1,LTE,,,3336,,,
43.189087,-77.588425,310,120,20993,171984384,,1000,1,1,LTE,,,20993,,,
43.189087,-77.585266,310,260,22527,56189718,,1000,1,1,LTE,,,22527,,,
43.18912,-77.589707,311,480,18688,18711555,,1000,1,1,LTE,,,18688,,,
43.189171,-77.590767,311,480,18688,18699534,,1000,1,1,LTE,,,18688,,,
43.189308,-77.583437,310,260,22272,10963973,,1710,1,1,LTE,,,22272,,,
43.189579,-77.584679,310,260,22527,34743045,,1000,1,1,LTE,,,22527,,,
43.189594,-77.584747,310,260,22527,11812355,,1000,1,1,LTE,,,22527,,,
43.189749,-77.584686,310,410,11508,144571799,,1000,1,1,UMTS,,,,,,
43.189899,-77.58416,310,260,22527,79532801,,1000,1,1,LTE,,,22527,,,
43.189899,-77.58416,310,260,22527,10963970,,1000,1,1,LTE,,,22527,,,
43.189907,-77.584686,310,260,22527,12995849,,1000,1,1,LTE,,,22527,,,
43.189907,-77.584686,310,260,22527,10437633,,1000,1,1,LTE,,,22527,,,
43.189915,-77.584496,310,260,22527,34744068,,1000,1,1,LTE,,,22527,,,
43.190046,-77.592416,310,410,3336,206864137,,1316,1,1,LTE,,,3336,,,
43.1904,-77.58415,310,410,3336,205693720,,1000,1,1,LTE,,,3336,,,
43.190689086914,-77.59162902832,310,410,11508,63902,,1000,1,1,CDMA,,,,410,11508,63902
43.190689086914,-77.590255737305,310,410,11508,63905,,1000,1,1,CDMA,,,,410,11508,63905
43.190689086914,-77.583389282227,310,410,3336,144571793,,1000,1,1,LTE,,,3336,,,
43.191014,-77.582016,310,120,20993,173308679,,6680,1,1,LTE,,,20993,,,
43.191691,-77.584373,310,410,11508,144571793,,1000,1,1,LTE,,,11508,,,
43.191963,-77.587608,311,480,18688,18829313,,1000,1,1,LTE,,,18688,,,
43.191963,-77.587324,311,480,18688,18829324,,1000,1,1,LTE,,,18688,,,
43.192062,-77.586823,310,154,6,628,,1000,1,1,CDMA,,,,154,6,628
43.19206237793,-77.59162902832,311,870,20997,171977473,,1000,1,1,LTE,,,20997,,,
43.19206237793,-77.586135864258,311,490,20993,171971842,,1000,1,1,LTE,,,20993,,,
43.192154,-77.592181,310,120,20993,171986688,,1000,1,1,LTE,,,20993,,,
43.19245,-77.592234,311,480,18688,18692098,,1353,1,1,LTE,,,18688,,,
43.192572,-77.590342,310,260,22272,10963974,,2600,1,1,LTE,,,22272,,,
43.192646,-77.587649,310,120,20993,171977473,,3294,1,1,LTE,,,20993,,,
43.192712,-77.591546,310,410,3336,206864179,,1022,1,1,LTE,,,3336,,,
43.192944,-77.58728,311,480,18688,18692123,,1000,1,1,LTE,,,18688,,,
43.193186,-77.593127,310,120,20993,173300482,,1000,1,1,LTE,,,20993,,,
43.193188,-77.592537,310,260,22277,10963970,,1000,1,1,LTE,,,22277,,,
43.193435668945,-77.587509155273,311,480,18688,95492118,,1000,1,1,LTE,,,18688,,,
43.193435668945,-77.584762573242,310,410,11032,63902,,1000,1,1,GSM,,,,,,
43.193577,-77.591939,311,480,18688,18692124,,1000,1,1,LTE,,,18688,,,
43.19379,-77.590182,311,480,18689,18926368,,1000,1,1,LTE,,,18689,,,
43.194785,-77.587002,311,480,18688,18692134,,1000,1,1,LTE,,,18688,,,
43.194789,-77.589059,311,480,18688,18692118,,1000,1,1,LTE,,,18688,,,
43.194808959961,-77.59162902832,311,870,20997,171969282,,1000,1,1,LTE,,,20997,,,
43.195213,-77.585548,310,260,43899,46421936,,1000,1,1,UMTS,,,,,,
43.195398,-77.587509,310,120,20993,173300484,,1000,1,1,LTE,,,20993,,,
43.195914,-77.587591,311,480,18688,18692099,,1000,1,1,LTE,,,18688,,,
43.195988,-77.592339,310,410,3336,206864180,,1000,1,1,LTE,,,3336,,,
43.196182250977,-77.59162902832,310,154,7,6498,,1000,1,1,CDMA,,,,154,7,6498
43.196182250977,-77.584762573242,310,154,6,884,,1000,1,1,CDMA,,,,154,6,884
43.196182250977,-77.583389282227,311,480,18688,95492128,,1000,1,1,LTE,,,18688,,,
43.196182250977,-77.582015991211,311,490,20997,171983874,,1000,1,1,LTE,,,20997,,,
43.196388,-77.583783,311,480,18688,18692128,,1000,1,1,LTE,,,18688,,,
