lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.962635,-92.345169,310,410,26368,63159411,,1000,1,1,LTE,,,26368,,,
38.962915,-92.343717,310,410,24511,122390868,,1000,1,1,UMTS,,,,,,
38.963032,-92.346728,311,480,55044,55057934,,4263,1,1,LTE,,,55044,,,
38.96369934082,-92.342147827148,310,120,11078,90790425,,1000,1,1,LTE,,,11078,,,
38.96369934082,-92.338027954102,310,410,24511,122414593,,1000,1,1,UMTS,,,,,,
38.964439,-92.343415,310,120,11028,90790425,,1000,1,1,LTE,,,11028,,,
38.964467,-92.344641,310,410,26368,63158729,,4468,1,1,LTE,,,26368,,,
38.964755,-92.345052,310,410,26368,62339864,,7711,1,1,LTE,,,26368,,,
38.965038,-92.342798,310,120,309,1835,,8048,1,1,LTE,,,309,,,
38.965072631836,-92.342147827148,310,260,39499,46703,,1000,1,1,GSM,,,,,,
38.965133,-92.341453,310,410,26368,63159241,,1000,1,1,LTE,,,26368,,,
38.965783,-92.342331,310,410,26368,63927050,,6292,1,1,LTE,,,26368,,,
38.965806,-92.344265,310,410,26368,62125252,,4453,1,1,LTE,,,26368,,,
38.965988,-92.33757,310,410,24512,122456407,,1000,1,1,UMTS,,,,,,
38.966174,-92.342511,310,410,26368,63158883,,3573,1,1,LTE,,,26368,,,
38.966261,-92.344983,310,120,11028,91616307,,784,1,1,LTE,,,11028,,,
38.966293,-92.342758,310,120,11028,90181641,,1000,1,1,LTE,,,11028,,,
38.966362,-92.345451,310,120,309,17866,,4583,1,1,LTE,,,309,,,
38.966365,-92.338605,310,410,26368,63927191,,4093,1,1,LTE,,,26368,,,
38.966445922852,-92.34489440918,310,410,24512,122390867,,1000,1,1,UMTS,,,,,,
38.966445922852,-92.342147827148,310,260,39499,6703,,1000,1,1,GSM,,,,,,
38.966445922852,-92.336654663086,310,410,24512,122456401,,1000,1,1,UMTS,,,,,,
38.966446,-92.34169,310,410,24511,35159,,1000,1,1,CDMA,,,,410,24511,35159
38.966446,-92.341461,310,410,24511,65153,,1000,1,1,CDMA,,,,410,24511,65153
38.966471,-92.34221,310,120,11028,91616315,,1000,1,1,LTE,,,11028,,,
38.966653,-92.346138,310,120,11028,90285067,,1000,1,1,LTE,,,11028,,,
38.966696,-92.34477,310,120,11028,90817563,,1198,1,1,LTE,,,11028,,,
38.967066,-92.344479,310,120,11028,90285059,,1616,1,1,LTE,,,11028,,,
38.967133,-92.342834,310,410,24512,35156,,1000,1,1,CDMA,,,,410,24512,35156
38.967133,-92.341461,310,410,24511,35156,,1000,1,1,CDMA,,,,410,24511,35156
38.967285,-92.344818,310,410,24511,122390871,,1000,1,1,UMTS,,,,,,
38.967361,-92.342606,310,410,24512,122456404,,1000,1,1,UMTS,,,,,,
38.967591,-92.346729,310,260,45054,6887171,,1441,1,1,LTE,,,45054,,,
38.967733,-92.343264,310,120,11028,90276362,,1000,1,1,LTE,,,11028,,,
38.967808,-92.345564,310,260,45054,6887181,,1320,1,1,LTE,,,45054,,,
38.967819,-92.340775,310,410,24512,35153,,1000,1,1,CDMA,,,,410,24512,35153
38.967819213867,-92.346267700195,310,410,24506,35153,,1000,1,1,CDMA,,,,410,24506,35153
38.967819213867,-92.346267700195,310,260,44800,6887171,,1000,1,1,LTE,,,44800,,,
38.967819213867,-92.342147827148,310,410,24511,35153,,1000,1,1,CDMA,,,,410,24511,35153
38.968353,-92.346302,310,410,26368,62340066,,9162,1,1,LTE,,,26368,,,
38.968487,-92.347069,310,260,39495,14399085,,1000,1,1,UMTS,,,,,,
38.96872,-92.344894,311,11,2,577,,1000,1,1,LTE,,,2,,,
38.969055,-92.340775,310,410,24511,122420865,,1000,1,1,UMTS,,,,,,
38.969086,-92.345398,311,870,309,1899,,1000,1,1,LTE,,,309,,,
38.969192504883,-92.34489440918,310,120,11078,90724889,,1000,1,1,LTE,,,11078,,,
38.969192504883,-92.340774536133,310,260,39499,7805487,,1000,1,1,UMTS,,,,,,
38.969192504883,-92.339401245117,311,480,1239,55046915,,1000,1,1,LTE,,,1239,,,
38.969266,-92.337515,310,410,26368,61988759,,3167,1,1,LTE,,,26368,,,
38.96935,-92.343253,310,410,24511,122390865,,7232,1,1,UMTS,,,,,,
38.969383,-92.345561,311,480,55044,55056642,,1000,1,1,LTE,,,55044,,,
38.970565795898,-92.343521118164,311,480,2563,74765313,,1000,1,1,LTE,,,2563,,,
