lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
18.39515,-66.053922,310,410,16145,131366168,,2690,1,1,LTE,,,16145,,,
18.395162,-66.04569,310,410,16145,131110153,,1000,1,1,LTE,,,16145,,,
18.395233,-66.044769,310,260,48893,47533882,,1000,1,1,UMTS,,,,,,
18.395462,-66.048203,310,410,16145,131110160,,1000,1,1,LTE,,,16145,,,
18.395525,-66.049843,310,410,16145,131366154,,1000,1,1,LTE,,,16145,,,
18.395569,-66.050896,310,260,31054,19282565,,1000,1,1,LTE,,,31054,,,
18.395579,-66.051384,330,110,41005,1355722,,2130,1,1,UMTS,,,,,,
18.395824,-66.050072,312,250,31054,17078797,,1000,1,1,LTE,,,31054,,,
18.395919799805,-66.050491333008,330,110,41015,1316321,,1000,1,1,UMTS,,,,,,
18.395919799805,-66.050491333008,330,110,41,45013,,1000,1,1,GSM,,,,,,
18.395919799805,-66.049118041992,310,410,51986,250086868,,1000,1,1,UMTS,,,,,,
18.395919799805,-66.049118041992,330,110,41015,1373922,,1000,1,1,UMTS,,,,,,
18.395919799805,-66.047744750977,310,410,51986,250116874,,1000,1,1,UMTS,,,,,,
18.395919799805,-66.047744750977,310,120,12546,104123137,,1000,1,1,LTE,,,12546,,,
18.395919799805,-66.047744750977,310,120,12546,104123140,,1000,1,1,LTE,,,12546,,,
18.395919799805,-66.044998168945,310,410,51986,250086874,,1000,1,1,UMTS,,,,,,
18.39592,-66.05193,310,260,31071,17078787,,1000,1,1,LTE,,,31071,,,
18.39592,-66.050262,310,120,12548,104123137,,1000,1,1,LTE,,,12548,,,
18.39592,-66.049576,330,110,21,11523,,1000,1,1,LTE,,,21,,,
18.39592,-66.048965,310,120,12548,104123140,,1000,1,1,LTE,,,12548,,,
18.39592,-66.047745,330,120,1,130632460,,1000,1,1,LTE,,,1,,,
18.395988,-66.044752,310,260,31054,41258243,,1000,1,1,LTE,,,31054,,,
18.39618,-66.053648,310,410,16139,130761999,,2223,1,1,LTE,,,16139,,,
18.396378,-66.047745,310,120,12546,102791937,,1000,1,1,LTE,,,12546,,,
18.396448,-66.049324,310,260,31054,2712325,,1000,1,1,LTE,,,31054,,,
18.396682,-66.053658,310,410,16145,131366348,,1000,1,1,LTE,,,16145,,,
18.396722,-66.048878,330,110,41005,1363593,,7243,1,1,UMTS,,,,,,
18.396863,-66.051165,330,110,41005,1355723,,1000,1,1,UMTS,,,,,,
18.396997,-66.049423,310,410,51992,249697408,,1000,1,1,UMTS,,,,,,
18.397074,-66.05003,310,260,31054,17078790,,1000,1,1,LTE,,,31054,,,
18.397074,-66.049759,310,260,31054,3191311,,1000,1,1,LTE,,,31054,,,
18.39729309082,-66.053237915039,330,110,41005,1316324,,1000,1,1,UMTS,,,,,,
18.39729309082,-66.050491333008,310,120,12548,102791937,,1000,1,1,LTE,,,12548,,,
18.39729309082,-66.049118041992,330,110,41005,1355752,,1000,1,1,UMTS,,,,,,
18.39729309082,-66.049118041992,310,120,12548,104123143,,1000,1,1,LTE,,,12548,,,
18.39729309082,-66.047744750977,310,410,51986,250116875,,1000,1,1,UMTS,,,,,,
18.39729309082,-66.046371459961,330,110,41005,1373323,,1000,1,1,UMTS,,,,,,
18.397543,-66.052086,310,260,49095,34446641,,1000,1,1,UMTS,,,,,,
18.397598,-66.048813,330,110,41005,1355725,,1000,1,1,UMTS,,,,,,
18.397751,-66.04454,310,120,12548,104147464,,1000,1,1,LTE,,,12548,,,
18.39798,-66.053924,310,260,48893,47533743,,1921,1,1,UMTS,,,,,,
18.398166,-66.046025,330,110,21,4164355,,1000,1,1,LTE,,,21,,,
18.398174,-66.05265,310,260,31054,44429455,,1000,1,1,LTE,,,31054,,,
18.398325,-66.05188,310,260,31054,17078799,,1000,1,1,LTE,,,31054,,,
18.398532,-66.048567,330,110,21,3713285,,1000,1,1,LTE,,,21,,,
18.3986,-66.045,310,260,30978,2924037,,1000,1,1,LTE,,,30978,,,
18.398628,-66.053654,330,110,21,3715851,,4624,1,1,LTE,,,21,,,
18.39865,-66.049238,310,260,31054,2712451,,1000,1,1,LTE,,,31054,,,
18.398666,-66.048431,330,110,21,353027,,1000,1,1,LTE,,,21,,,
18.398666,-66.045914,310,120,12546,102816258,,1000,1,1,LTE,,,12546,,,
18.398666381836,-66.051864624023,330,110,21,287744,,1000,1,1,LTE,,,21,,,
18.398666381836,-66.051864624023,310,410,16145,131366147,,1000,1,1,LTE,,,16145,,,
18.398666381836,-66.051864624023,310,260,49195,34446688,,1000,1,1,UMTS,,,,,,
18.398666381836,-66.046371459961,330,110,41005,1373326,,1000,1,1,UMTS,,,,,,
18.398789,-66.045898,330,110,41005,1373353,,1000,1,1,UMTS,,,,,,
18.398792,-66.051367,310,260,31054,17078900,,1000,1,1,LTE,,,31054,,,
18.398854,-66.051552,310,260,31054,17078800,,1000,1,1,LTE,,,31054,,,
18.398898,-66.046703,330,110,21,4164405,,1000,1,1,LTE,,,21,,,
18.398926,-66.051414,310,260,31054,3191301,,1000,1,1,LTE,,,31054,,,
18.39901,-66.053581,330,110,21,6914,,1105,1,1,LTE,,,21,,,
18.399157,-66.052192,330,110,41005,1313751,,1000,1,1,UMTS,,,,,,
18.399181,-66.050909,310,260,31054,17078798,,1000,1,1,LTE,,,31054,,,
18.39926,-66.051796,310,260,31054,3230728,,1000,1,1,LTE,,,31054,,,
18.399329,-66.047698,330,110,21,3713793,,1000,1,1,LTE,,,21,,,
18.399353,-66.049118,330,110,21,287745,,1000,1,1,LTE,,,21,,,
18.399356,-66.047617,330,110,21,4163852,,1000,1,1,LTE,,,21,,,
18.399464,-66.052979,310,260,31054,41623820,,1000,1,1,LTE,,,31054,,,
18.399464,-66.052979,310,260,31054,41624205,,1000,1,1,LTE,,,31054,,,
18.399589,-66.046936,330,110,21,4163846,,1000,1,1,LTE,,,21,,,
