lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.468643,-105.877762,310,450,200,84882,,1000,1,1,UMTS,,,,,,
37.46955871582,-105.88691711426,310,410,38983,62072,,1000,1,1,CDMA,,,,410,38983,62072
37.46955871582,-105.88005065918,310,450,200,170418,,1000,1,1,UMTS,,,,,,
37.469869,-105.888636,310,260,41464,8462871,,1412,1,1,LTE,,,41464,,,
37.47019,-105.879372,310,450,10,2193409,,6147,1,1,LTE,,,10,,,
37.47084,-105.881378,310,410,38408,98868760,,10159,1,1,LTE,,,38408,,,
37.470932,-105.886368,310,450,200,170419,,1000,1,1,UMTS,,,,,,
37.470932006836,-105.88279724121,310,260,41223,8462851,,1000,1,1,LTE,,,41223,,,
37.470932006836,-105.8814239502,310,450,2222,19342,,1000,1,1,GSM,,,,,,
37.471085,-105.88313,310,410,38408,98868753,,2556,1,1,LTE,,,38408,,,
37.471159,-105.883267,311,480,4357,4364547,,2359,1,1,LTE,,,4357,,,
37.471513,-105.886195,310,490,3,395,,3490,1,1,CDMA,,,,490,3,395
37.471661,-105.888115,311,480,4357,4514326,,8316,1,1,LTE,,,4357,,,
37.471752,-105.887566,310,450,10,2287115,,1000,1,1,LTE,,,10,,,
37.471756,-105.887192,311,490,3,5074,,1000,1,1,LTE,,,3,,,
37.472018,-105.883976,310,450,200,166759,,1000,1,1,UMTS,,,,,,
37.472034,-105.885659,311,480,4357,4514306,,2000,1,1,LTE,,,4357,,,
37.472305,-105.887375,310,450,200,84883,,1000,1,1,UMTS,,,,,,
37.472305297852,-105.88691711426,310,450,200,2287107,,1000,1,1,UMTS,,,,,,
37.472305297852,-105.88554382324,310,260,898,80106495,,1000,1,1,UMTS,,,,,,
37.472305297852,-105.88554382324,310,260,11089,80106495,,1000,1,1,UMTS,,,,,,
37.472305297852,-105.88279724121,310,410,38408,40571816,,1000,1,1,LTE,,,38408,,,
37.472522,-105.887893,310,490,3,5074,,1920,1,1,CDMA,,,,490,3,5074
37.473083,-105.884848,310,450,10,2287107,,2612,1,1,LTE,,,10,,,
37.473678588867,-105.88691711426,310,450,2222,19373,,1000,1,1,GSM,,,,,,
37.476362,-105.884374,310,410,38408,98868746,,3481,1,1,LTE,,,38408,,,
37.476427,-105.886228,310,487,45871,502,,2140,1,1,CDMA,,,,487,45871,502
