lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.457534790039,-84.254837036133,310,260,43999,8978881,,1000,1,1,UMTS,,,,,,
30.458908081055,-84.254837036133,311,480,36608,113620748,,1000,1,1,LTE,,,36608,,,
30.458908081055,-84.252090454102,310,260,43999,8978880,,1000,1,1,UMTS,,,,,,
30.459846,-84.248192,310,410,12552,178438243,,1000,1,1,LTE,,,12552,,,
30.46028137207,-84.254837036133,310,260,43999,230594937,,1000,1,1,UMTS,,,,,,
30.460968,-84.250031,310,260,43971,443,,1000,1,1,GSM,,,,,,
30.461118,-84.252694,310,410,12552,177158060,,3743,1,1,LTE,,,12552,,,
30.462128,-84.251522,310,410,27578,230595917,,2193,1,1,UMTS,,,,,,
30.464401245117,-84.257583618164,311,870,13842,77699075,,1000,1,1,LTE,,,13842,,,
30.46569,-84.256969,310,260,43971,1872,,2100,1,1,GSM,,,,,,
30.46626,-84.253744,310,410,12552,178951185,,4136,1,1,LTE,,,12552,,,
