lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.950128,-85.620891,310,260,42500,5566721,,1620,1,1,LTE,,,42500,,,
42.95036315918,-85.622634887695,310,260,11217,60173,,1000,1,1,GSM,,,,,,
42.95036315918,-85.62126159668,310,120,22802,186702082,,1000,1,1,LTE,,,22802,,,
42.95036315918,-85.619888305664,310,120,22802,188033285,,1000,1,1,LTE,,,22802,,,
42.950778,-85.622409,311,480,58368,58510339,,3259,1,1,LTE,,,58368,,,
42.950821,-85.618973,310,260,11295,33128161,,1000,1,1,UMTS,,,,,,
42.951015,-85.623212,310,260,11295,33128202,,1218,1,1,UMTS,,,,,,
42.951736,-85.624466,310,410,25121,45173,,1000,1,1,GSM,,,,,,
42.951736,-85.619064,310,120,22802,188033282,,1000,1,1,LTE,,,22802,,,
42.951736450195,-85.625381469727,311,490,22802,186702082,,1000,1,1,LTE,,,22802,,,
42.951737,-85.628868,310,120,22790,186657792,,3641,1,1,LTE,,,22790,,,
42.95237,-85.628022,310,260,11217,60212,,1000,1,1,GSM,,,,,,
42.952595,-85.623837,310,120,22790,188033282,,1000,1,1,LTE,,,22790,,,
42.953109741211,-85.625381469727,310,120,22790,186702082,,1000,1,1,LTE,,,22790,,,
42.953109741211,-85.624008178711,310,120,22790,188033288,,1000,1,1,LTE,,,22790,,,
42.953109741211,-85.622634887695,310,410,25121,45171,,1000,1,1,GSM,,,,,,
42.953109741211,-85.622634887695,310,410,25122,45151,,1000,1,1,GSM,,,,,,
42.95311,-85.623093,310,120,22790,188033285,,1000,1,1,LTE,,,22790,,,
42.953812,-85.62318,311,480,58368,135238156,,2146,1,1,LTE,,,58368,,,
42.954025,-85.628586,310,260,11295,33128207,,1000,1,1,UMTS,,,,,,
42.954483,-85.628643,310,260,11295,33155892,,1000,1,1,UMTS,,,,,,
42.954483032227,-85.624008178711,310,120,22802,186702097,,1000,1,1,LTE,,,22802,,,
42.954483032227,-85.624008178711,310,410,25121,45302,,1000,1,1,GSM,,,,,,
42.954483032227,-85.622634887695,310,410,20491,74952821,,1000,1,1,LTE,,,20491,,,
42.954483032227,-85.62126159668,310,410,20491,74952953,,1000,1,1,LTE,,,20491,,,
42.954586,-85.622612,310,260,42745,5566741,,1000,1,1,LTE,,,42745,,,
42.954586,-85.622612,310,260,42745,5572609,,1000,1,1,LTE,,,42745,,,
42.955364,-85.624496,310,260,42745,5567766,,1000,1,1,LTE,,,42745,,,
42.956305,-85.62347,311,480,58368,58604822,,1417,1,1,LTE,,,58368,,,
42.95668,-85.619614,311,15,12,8897,,1000,1,1,LTE,,,12,,,
42.957116,-85.623432,310,260,11295,33155851,,2446,1,1,UMTS,,,,,,
42.958389,-85.621603,311,480,58368,58466592,,1220,1,1,LTE,,,58368,,,
