lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.860367,-76.026566,311,480,28930,28943362,,1000,1,1,LTE,,,28930,,,
36.861190795898,-76.028823852539,310,410,10930,190383226,,1000,1,1,UMTS,,,,,,
36.861190795898,-76.027450561523,310,260,37497,85858175,,1000,1,1,UMTS,,,,,,
36.861190795898,-76.026077270508,311,480,28930,105743382,,1000,1,1,LTE,,,28930,,,
36.8612,-76.0264,310,260,5567744,5471609134,,1000,1,1,NR,,,5567744,,,
36.86134,-76.029508,310,410,5646,25629201,,1610,1,1,LTE,,,5646,,,
36.8615,-76.0297,310,410,5646,25629194,,3332,1,1,LTE,,,5646,,,
36.8615,-76.0277,311,480,28930,28992539,,2403,1,1,LTE,,,28930,,,
36.8616,-76.0271,311,480,28930,28943382,,1000,1,1,LTE,,,28930,,,
36.86179,-76.02813,311,870,403,541,,1000,1,1,LTE,,,403,,,
36.861877,-76.028824,310,260,32451,3652,,1000,1,1,GSM,,,,,,
36.862011,-76.027641,310,260,21507,13966083,,1000,1,1,LTE,,,21507,,,
36.862106,-76.027451,310,260,21506,13966082,,1000,1,1,LTE,,,21506,,,
36.862106,-76.027451,310,120,2563,22326834,,1000,1,1,LTE,,,2563,,,
36.862564,-76.027794,310,120,2563,22326842,,1000,1,1,LTE,,,2563,,,
36.8628,-76.0269,310,410,5646,27677334,,1000,1,1,LTE,,,5646,,,
36.8632,-76.03,310,260,21747,228108094,,1000,1,1,LTE,,,21747,,,
36.8632,-76.0292,310,260,5567744,5471609144,,1000,1,1,NR,,,5567744,,,
36.8634,-76.0291,310,260,21747,228108054,,1000,1,1,LTE,,,21747,,,
36.86348,-76.028366,310,4982,130,2482,,1000,1,1,CDMA,,,,4982,130,2482
36.8636,-76.0305,310,260,21747,13966088,,1000,1,1,LTE,,,21747,,,
36.8636,-76.0299,310,260,5567744,5471604738,,1000,1,1,NR,,,5567744,,,
36.8636,-76.0291,310,260,5567744,5565239318,,1000,1,1,NR,,,5567744,,,
36.8637,-76.031,310,260,21747,13966082,,1000,1,1,LTE,,,21747,,,
36.8639,-76.0276,310,410,5646,25629412,,1000,1,1,LTE,,,5646,,,
36.86393737793,-76.028823852539,310,410,10930,190385115,,1000,1,1,UMTS,,,,,,
36.863941,-76.026436,310,120,403,541,,1000,1,1,LTE,,,403,,,
36.8642,-76.0277,311,480,28930,28943384,,1000,1,1,LTE,,,28930,,,
36.8642,-76.0276,313,340,42296,1724432585,,1000,1,1,NR,,,42296,,,
36.864286,-76.02888,310,260,21507,13966085,,1000,1,1,LTE,,,21507,,,
36.8643,-76.0273,310,410,5646,27677335,,1000,1,1,LTE,,,5646,,,
36.8643,-76.0271,311,480,28930,28943386,,1000,1,1,LTE,,,28930,,,
36.8645,-76.0306,313,340,42296,1724448802,,1000,1,1,NR,,,42296,,,
36.8646,-76.0263,311,480,28930,29133836,,1000,1,1,LTE,,,28930,,,
36.864773,-76.027565,310,260,37496,105518975,,1000,1,1,UMTS,,,,,,
36.8648,-76.0292,310,260,5567744,5565239319,,1000,1,1,NR,,,5567744,,,
36.8648,-76.0265,311,480,28930,29133825,,1000,1,1,LTE,,,28930,,,
36.864956,-76.029102,310,260,21507,13966082,,1000,1,1,LTE,,,21507,,,
36.864967,-76.026764,310,120,2563,20995610,,1000,1,1,LTE,,,2563,,,
36.8653,-76.0301,310,260,21747,228108095,,1000,1,1,LTE,,,21747,,,
36.865310668945,-76.030197143555,310,4982,130,2483,,1000,1,1,CDMA,,,,4982,130,2483
36.865310668945,-76.028823852539,310,260,37497,85856795,,1000,1,1,UMTS,,,,,,
36.865310668945,-76.024703979492,310,260,21508,13966081,,1000,1,1,LTE,,,21508,,,
36.865311,-76.028366,310,410,5646,25629199,,1000,1,1,LTE,,,5646,,,
36.8654,-76.03,310,260,21747,228108055,,1000,1,1,LTE,,,21747,,,
36.8656,-76.0279,310,410,5646,25629411,,1000,1,1,LTE,,,5646,,,
36.8657,-76.0301,310,260,5567744,5471609145,,1000,1,1,NR,,,5567744,,,
36.8657,-76.0284,310,260,21747,13966083,,1000,1,1,LTE,,,21747,,,
36.8659,-76.0292,310,260,5567744,5471609135,,1000,1,1,NR,,,5567744,,,
36.866285,-76.031331,310,410,10930,190383227,,1839,1,1,UMTS,,,,,,
36.866573,-76.025162,310,260,21508,13966087,,1000,1,1,LTE,,,21508,,,
36.866683959961,-76.028823852539,310,120,2563,22326841,,1000,1,1,LTE,,,2563,,,
36.867,-76.0304,310,260,21747,13966089,,1000,1,1,LTE,,,21747,,,
36.867652,-76.030259,311,480,28930,28943372,,1658,1,1,LTE,,,28930,,,
36.86784,-76.030441,310,260,21507,10859271,,1000,1,1,LTE,,,21507,,,
36.868,-76.0295,310,260,5567744,5471604739,,1000,1,1,NR,,,5567744,,,
36.868057,-76.030655,310,120,2563,22326833,,1000,1,1,LTE,,,2563,,,
36.868057,-76.030426,310,410,5646,25629192,,1000,1,1,LTE,,,5646,,,
36.868057250977,-76.030197143555,310,410,10930,190383224,,1000,1,1,UMTS,,,,,,
36.868744,-76.03157,310,260,37497,85858176,,1000,1,1,UMTS,,,,,,
36.868881,-76.030472,311,480,28930,28943361,,1000,1,1,LTE,,,28930,,,
