lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.332229614258,-76.742935180664,310,410,10920,190251133,,1000,1,1,LTE,,,10920,,,
37.332229614258,-76.742935180664,310,410,10920,190255954,,1000,1,1,LTE,,,10920,,,
37.333198,-76.738059,310,260,21509,14628611,,13025,1,1,LTE,,,21509,,,
37.334307,-76.744615,310,260,21509,37443903,,1921,1,1,LTE,,,21509,,,
37.335578,-76.740217,310,260,21509,14628614,,5035,1,1,LTE,,,21509,,,
37.335663,-76.739273,310,260,37499,33425566,,1299,1,1,UMTS,,,,,,
37.335848,-76.736955,311,490,21747,14259971,,1000,1,1,LTE,,,21747,,,
37.335869,-76.736533,311,490,21747,14628611,,1193,1,1,LTE,,,21747,,,
37.336269,-76.741432,310,260,21749,228873359,,1000,1,1,LTE,,,21749,,,
37.336269,-76.741432,310,260,21749,227913791,,1000,1,1,LTE,,,21749,,,
37.336349,-76.741287,311,480,28928,29126668,,1000,1,1,LTE,,,28928,,,
37.336349487305,-76.741561889648,311,480,28930,29126657,,1000,1,1,LTE,,,28930,,,
37.336349487305,-76.741561889648,311,480,28930,29126668,,1000,1,1,LTE,,,28930,,,
37.33643,-76.736758,311,490,21509,14628617,,1720,1,1,LTE,,,21509,,,
37.336726,-76.737208,310,260,21509,224833679,,1000,1,1,LTE,,,21509,,,
37.336728,-76.737728,310,260,21509,14628617,,5407,1,1,LTE,,,21509,,,
37.337133,-76.738564,310,410,5639,25726486,,1438,1,1,LTE,,,5639,,,
37.3374,-76.739,311,480,28928,28969217,,3576,1,1,LTE,,,28928,,,
37.33772277832,-76.741561889648,310,410,5649,2979912,,1000,1,1,UMTS,,,,,,
37.33772277832,-76.741561889648,310,410,5649,2979913,,1000,1,1,UMTS,,,,,,
37.33772277832,-76.736068725586,310,410,5649,25726479,,1000,1,1,LTE,,,5649,,,
37.338307,-76.738032,310,260,21509,14259977,,2154,1,1,LTE,,,21509,,,
37.33835,-76.741531,310,260,21509,14259974,,5353,1,1,LTE,,,21509,,,
37.339096,-76.738129,310,410,5649,2979907,,1000,1,1,UMTS,,,,,,
37.339096069336,-76.737442016602,310,410,10920,4947,,1000,1,1,CDMA,,,,410,10920,4947
37.339173,-76.739199,311,490,21509,14259971,,1000,1,1,LTE,,,21509,,,
37.339203,-76.739493,311,490,21509,14259977,,1000,1,1,LTE,,,21509,,,
37.339259,-76.737812,310,260,21509,14259971,,12527,1,1,LTE,,,21509,,,
37.339752,-76.740417,311,170,3,417,,1000,1,1,LTE,,,3,,,
37.339832,-76.739601,311,490,21509,54422034,,1000,1,1,LTE,,,21509,,,
37.339955,-76.743965,310,170,3,417,,2290,1,1,CDMA,,,,170,3,417
37.3401,-76.7439,311,480,28928,28969230,,9861,1,1,LTE,,,28928,,,
37.340395,-76.736549,311,490,21747,33335439,,1000,1,1,LTE,,,21747,,,
37.340483,-76.736386,311,490,21747,37443846,,1000,1,1,LTE,,,21747,,,
37.34053,-76.73584,310,260,21747,36819718,,1000,1,1,LTE,,,21747,,,
37.340744,-76.736458,311,490,21747,33335429,,1000,1,1,LTE,,,21747,,,
37.340804,-76.743973,311,490,21753,223982849,,1000,1,1,LTE,,,21753,,,
37.3409,-76.7457,311,480,28928,28969228,,7622,1,1,LTE,,,28928,,,
37.341007,-76.736176,311,490,21509,37443846,,1000,1,1,LTE,,,21509,,,
