lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.776553,-117.001886,310,260,12170,22615555,,1805,1,1,LTE,,,12170,,,
32.776562,-117.00457,311,480,10241,87147788,,5220,1,1,LTE,,,10241,,,
32.776566,-117.002335,310,410,31996,36244565,,1000,1,1,UMTS,,,,,,
32.776619,-117.00395,310,4,40,6737,,1000,1,1,CDMA,,,,4,40,6737
32.776774,-117.006704,311,480,10241,10355983,,1000,1,1,LTE,,,10241,,,
32.776889,-117.004004,310,120,25356,209061169,,1000,1,1,LTE,,,25356,,,
32.776962,-117.005053,311,480,10241,10447638,,2859,1,1,LTE,,,10241,,,
32.776981,-117.008401,310,120,25356,209061690,,1000,1,1,LTE,,,25356,,,
32.776995,-117.00289,310,260,12173,22242818,,16253,1,1,LTE,,,12173,,,
32.776996,-117.004664,310,260,12173,49970830,,1000,1,1,LTE,,,12173,,,
32.777023,-117.004395,310,410,65534,79440655,,1000,1,1,UMTS,,,,,,
32.777023,-117.004354,310,410,31996,36274559,,1000,1,1,UMTS,,,,,,
32.77702331543,-117.01057434082,310,410,31996,2268240,,1000,1,1,UMTS,,,,,,
32.77702331543,-117.0092010498,310,410,31993,2284630,,1000,1,1,UMTS,,,,,,
32.77702331543,-117.0092010498,310,410,31996,3152,,1000,1,1,CDMA,,,,410,31996,3152
32.77702331543,-117.0092010498,310,410,31996,36947079,,1000,1,1,UMTS,,,,,,
32.77702331543,-117.00370788574,310,410,31996,33157,,1000,1,1,CDMA,,,,410,31996,33157
32.777074,-117.003784,310,120,25356,209061177,,1000,1,1,LTE,,,25356,,,
32.777101,-117.001821,311,480,10241,87147790,,1000,1,1,LTE,,,10241,,,
32.777115,-117.005417,310,260,12170,48693014,,1000,1,1,LTE,,,12170,,,
32.777115,-117.005417,310,260,12170,46493503,,1000,1,1,LTE,,,12170,,,
32.777115,-117.005417,310,260,12170,48693055,,1000,1,1,LTE,,,12170,,,
32.77747,-117.011414,310,260,12173,22320958,,1000,1,1,LTE,,,12173,,,
32.777603,-117.009293,310,410,33536,80208816,,1000,1,1,LTE,,,33536,,,
32.777705,-117.002875,310,410,33536,80720822,,2237,1,1,LTE,,,33536,,,
32.777732,-117.011432,310,260,12173,22320898,,3940,1,1,LTE,,,12173,,,
32.77774,-117.012184,310,260,12173,47557181,,1000,1,1,LTE,,,12173,,,
32.77774,-117.012184,310,260,12173,47557141,,1000,1,1,LTE,,,12173,,,
32.777757,-117.001871,310,410,33536,79440648,,15539,1,1,LTE,,,33536,,,
32.777802,-117.003052,310,410,33536,80054961,,1000,1,1,LTE,,,33536,,,
32.777885,-117.003697,311,480,10241,10347795,,1000,1,1,LTE,,,10241,,,
32.777901,-117.004545,310,410,33536,79440789,,2256,1,1,LTE,,,33536,,,
32.777939,-117.010574,311,480,10241,87053068,,1000,1,1,LTE,,,10241,,,
32.777994,-117.0106,310,260,12173,22320919,,1874,1,1,LTE,,,12173,,,
32.778396606445,-117.0092010498,310,4145,86,664,,1000,1,1,CDMA,,,,4145,86,664
32.778396606445,-117.00782775879,310,410,31996,36733532,,1000,1,1,UMTS,,,,,,
32.778396606445,-117.00233459473,310,410,31993,2284629,,1000,1,1,UMTS,,,,,,
32.778397,-117.005539,310,120,25356,209058354,,1000,1,1,LTE,,,25356,,,
32.778397,-117.002335,310,410,31993,3151,,1000,1,1,CDMA,,,,410,31993,3151
32.778407,-117.008446,310,260,12173,22155522,,10142,1,1,LTE,,,12173,,,
32.778515,-117.006895,310,260,12101,45298704,,1000,1,1,LTE,,,12101,,,
32.778747,-117.009203,310,260,40292,127323525,,6744,1,1,UMTS,,,,,,
32.778957,-117.012129,310,260,40292,127325190,,1005,1,1,UMTS,,,,,,
32.778992,-117.007912,310,410,33536,80208656,,1000,1,1,LTE,,,33536,,,
32.779076,-117.002075,310,260,12173,49957644,,1000,1,1,LTE,,,12173,,,
32.779244,-117.007592,310,260,12140,45298694,,5770,1,1,LTE,,,12140,,,
32.779301,-117.008339,312,530,12173,209061691,,1000,1,1,LTE,,,12173,,,
32.779301,-117.008339,312,530,12173,209061689,,1000,1,1,LTE,,,12173,,,
32.779339,-117.008575,310,410,33536,80208793,,1000,1,1,LTE,,,33536,,,
32.779395,-117.011948,310,410,31997,32967767,,1000,1,1,UMTS,,,,,,
32.779436,-117.004253,311,480,10241,87147793,,1000,1,1,LTE,,,10241,,,
32.77957,-117.005135,311,480,10241,87147802,,1279,1,1,LTE,,,10241,,,
32.779701,-117.007919,310,410,33536,80720650,,1000,1,1,LTE,,,33536,,,
32.779715,-117.011257,310,260,40289,146992065,,1000,1,1,UMTS,,,,,,
32.779724,-117.004494,311,480,10241,87147812,,1000,1,1,LTE,,,10241,,,
32.779742,-117.009613,310,260,12169,22242827,,1000,1,1,LTE,,,12169,,,
32.779769897461,-117.00508117676,310,260,40292,127321267,,1000,1,1,UMTS,,,,,,
32.779789,-117.010582,310,260,40292,127322089,,6634,1,1,UMTS,,,,,,
