lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.932113647461,-77.110977172852,310,120,6151,50397186,,1000,1,1,LTE,,,6151,,,
38.932113647461,-77.109603881836,310,410,10018,2705,,1000,1,1,CDMA,,,,410,10018,2705
38.932113647461,-77.10823059082,311,480,27395,27205889,,1000,1,1,LTE,,,27395,,,
38.932369,-77.108963,311,490,20242,11394829,,1000,1,1,LTE,,,20242,,,
38.932632,-77.109215,311,490,20242,36483389,,1000,1,1,LTE,,,20242,,,
38.932636,-77.1092,310,260,20242,36219779,,1000,1,1,LTE,,,20242,,,
38.932663,-77.10998,310,260,20242,10776176,,1000,1,1,LTE,,,20242,,,
38.932668,-77.111886,310,260,20242,36473094,,2965,1,1,LTE,,,20242,,,
38.932825,-77.108098,311,480,27147,27202828,,1853,1,1,LTE,,,27147,,,
38.932991,-77.113404,310,410,4637,166734609,,2817,1,1,LTE,,,4637,,,
38.933095,-77.110389,310,260,46197,20355852,,1000,1,1,UMTS,,,,,,
38.933486938477,-77.109603881836,310,260,46197,20376202,,1000,1,1,UMTS,,,,,,
38.933486938477,-77.10823059082,310,4195,3,516,,1000,1,1,CDMA,,,,4195,3,516
38.933886,-77.114196,310,260,46187,112103071,,1000,1,1,UMTS,,,,,,
38.934246,-77.110641,311,490,20242,10776176,,1000,1,1,LTE,,,20242,,,
38.934664,-77.104856,311,480,27147,27202838,,1000,1,1,LTE,,,27147,,,
38.934860229492,-77.106857299805,310,260,46197,60042,,1000,1,1,CDMA,,,,260,46197,60042
38.934895,-77.111122,311,490,20242,10776175,,1000,1,1,LTE,,,20242,,,
38.935053,-77.104386,310,410,4637,166469129,,1722,1,1,LTE,,,4637,,,
38.935511,-77.104038,310,260,20242,228090767,,1000,1,1,LTE,,,20242,,,
38.935654,-77.113976,312,530,2,12680,,1000,1,1,LTE,,,2,,,
38.935707,-77.106766,311,490,20440,36474118,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,10296841,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,228090755,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,36473092,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,12087817,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,35403397,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,12087816,,1000,1,1,LTE,,,20440,,,
38.935707,-77.106766,311,490,20440,35399300,,1000,1,1,LTE,,,20440,,,
38.935726,-77.105331,311,490,20242,228090431,,1000,1,1,LTE,,,20242,,,
38.935726,-77.105331,311,490,20242,228090755,,1000,1,1,LTE,,,20242,,,
38.935726,-77.105331,311,490,20242,10296843,,1000,1,1,LTE,,,20242,,,
38.93576,-77.105682,310,260,20440,10271491,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,38181893,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,10292488,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,10296841,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,10271499,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,35403397,,1000,1,1,LTE,,,20440,,,
38.93576,-77.105682,310,260,20440,35403407,,1000,1,1,LTE,,,20440,,,
38.935776,-77.105942,310,410,7988,160568512,,1000,1,1,UMTS,,,,,,
38.935787,-77.111336,311,490,20242,10776077,,1000,1,1,LTE,,,20242,,,
38.935802,-77.109192,310,260,20242,36483332,,1000,1,1,LTE,,,20242,,,
38.935917,-77.106422,311,490,20242,228090765,,1000,1,1,LTE,,,20242,,,
38.935917,-77.106422,311,490,20242,36473149,,1000,1,1,LTE,,,20242,,,
38.935961,-77.107394,310,410,7998,20898,,10312,1,1,CDMA,,,,410,7998,20898
38.936233520508,-77.106857299805,310,410,7988,10037902,,1000,1,1,UMTS,,,,,,
38.936234,-77.110977,310,4,2,4869,,1000,1,1,LTE,,,2,,,
38.936478,-77.105515,311,490,20440,11318025,,1000,1,1,LTE,,,20440,,,
38.936921,-77.112859,310,410,7998,21069,,10054,1,1,CDMA,,,,410,7998,21069
38.936934,-77.109159,310,260,20240,10776065,,2375,1,1,LTE,,,20240,,,
38.937039,-77.108076,310,260,20242,10776068,,1000,1,1,LTE,,,20242,,,
38.937098,-77.103727,311,480,27138,27202818,,1000,1,1,LTE,,,27138,,,
38.937323,-77.10984,310,26,46165,60041,,1328,1,1,CDMA,,,,26,46165,60041
38.937427,-77.108131,310,260,20240,10776068,,1000,1,1,LTE,,,20240,,,
38.937606811523,-77.113723754883,310,410,7988,160614383,,1000,1,1,UMTS,,,,,,
38.937606811523,-77.106857299805,310,120,6151,51728441,,1000,1,1,LTE,,,6151,,,
38.937606811523,-77.106857299805,310,120,6151,50397193,,1000,1,1,LTE,,,6151,,,
38.938762,-77.110529,310,260,20242,10776065,,2488,1,1,LTE,,,20242,,,
38.938980102539,-77.104110717773,310,260,46197,98999283,,1000,1,1,UMTS,,,,,,
38.939209,-77.109375,310,120,6151,50397185,,1000,1,1,LTE,,,6151,,,
38.939495,-77.107315,310,260,20226,10776065,,1000,1,1,LTE,,,20226,,,
38.939757,-77.114906,310,260,20242,11318019,,8734,1,1,LTE,,,20242,,,
38.939804,-77.109054,310,260,20226,10776068,,1000,1,1,LTE,,,20226,,,
