lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.393789,-122.821653,310,120,21256,174186501,,5404,1,1,LTE,,,21256,,,
38.393932,-122.818497,311,480,7705,84639515,,1000,1,1,LTE,,,7705,,,
38.39406,-122.818758,311,480,7705,7839510,,1000,1,1,LTE,,,7705,,,
38.394715,-122.81989,311,40,7,8815,,1000,1,1,LTE,,,7,,,
38.394828,-122.819725,311,480,7705,7839512,,1227,1,1,LTE,,,7705,,,
38.396275,-122.824631,310,120,21256,174104836,,3070,1,1,LTE,,,21256,,,
38.397903442383,-122.8182220459,310,260,40482,157572736,,1000,1,1,UMTS,,,,,,
38.398705,-122.821541,310,410,35651,169639703,,1000,1,1,LTE,,,35651,,,
38.398887,-122.818956,310,410,56949,5662611,,1626,1,1,UMTS,,,,,,
38.399276733398,-122.82234191895,310,260,14420,22755843,,1000,1,1,LTE,,,14420,,,
38.399276733398,-122.82234191895,310,410,56949,5662648,,1000,1,1,UMTS,,,,,,
38.399276733398,-122.82096862793,310,410,56949,5662608,,1000,1,1,UMTS,,,,,,
38.399277,-122.823257,310,260,40482,157573253,,1000,1,1,UMTS,,,,,,
38.399963,-122.822342,310,260,40494,46162050,,1000,1,1,UMTS,,,,,,
38.40032,-122.813884,310,410,35651,169054487,,4103,1,1,LTE,,,35651,,,
38.400544,-122.82456,310,410,56949,5662651,,1000,1,1,UMTS,,,,,,
38.40065,-122.824402,310,410,56949,5639788,,1000,1,1,UMTS,,,,,,
38.400651,-122.823096,310,410,35651,169072533,,1178,1,1,LTE,,,35651,,,
