lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.745057,-87.570127,310,260,7173,105074519,,5123,1,1,UMTS,,,,,,
41.745424,-87.574802,310,260,41724,27617669,,1228,1,1,LTE,,,41724,,,
41.745986938477,-87.568588256836,310,260,41472,5430530,,1000,1,1,UMTS,,,,,,
41.746674,-87.563782,310,410,21208,6612,,1000,1,1,GSM,,,,,,
41.746902,-87.569046,310,120,16164,132478209,,1000,1,1,LTE,,,16164,,,
41.746968,-87.568092,310,260,41497,7867139,,1976,1,1,LTE,,,41497,,,
41.747027,-87.563311,310,260,41495,9326604,,2929,1,1,LTE,,,41495,,,
41.747114,-87.569584,311,870,2,8465,,1000,1,1,LTE,,,2,,,
41.74736,-87.566159,310,260,41472,7867137,,1000,1,1,LTE,,,41472,,,
41.747360229492,-87.565841674805,310,260,7159,19866784,,1000,1,1,UMTS,,,,,,
41.74786,-87.563407,310,410,16669,53929232,,1000,1,1,LTE,,,16669,,,
41.74791,-87.574631,311,870,16164,10489609,,1000,1,1,LTE,,,16164,,,
41.748051,-87.569443,311,870,2,690,,1000,1,1,CDMA,,,,870,2,690
41.748051,-87.569443,311,870,2,691,,1000,1,1,CDMA,,,,870,2,691
41.748696,-87.575077,310,260,41724,5430539,,3040,1,1,LTE,,,41724,,,
41.748733520508,-87.56721496582,311,480,52314,129134870,,1000,1,1,LTE,,,52314,,,
41.748733520508,-87.565841674805,310,120,16164,132125956,,1000,1,1,LTE,,,16164,,,
41.748734,-87.566528,310,260,7159,19866779,,1000,1,1,UMTS,,,,,,
41.748734,-87.565842,310,120,16164,132125953,,1000,1,1,LTE,,,16164,,,
41.748812,-87.569916,310,260,7108,33382,,1000,1,1,GSM,,,,,,
41.749085,-87.569664,310,260,41724,27617667,,1000,1,1,LTE,,,41724,,,
41.749175,-87.572244,310,260,41724,7867149,,2022,1,1,LTE,,,41724,,,
41.749292,-87.569849,310,260,7108,6563,,1000,1,1,GSM,,,,,,
41.749613,-87.56789,310,260,41497,5430540,,1000,1,1,LTE,,,41497,,,
41.749824,-87.56386,310,260,41497,5448471,,1723,1,1,LTE,,,41497,,,
41.74984,-87.564247,310,260,7108,68688340,,1000,1,1,UMTS,,,,,,
41.749935,-87.568932,310,260,41472,5430540,,1000,1,1,LTE,,,41472,,,
41.750106811523,-87.56721496582,310,260,7159,19910790,,1000,1,1,UMTS,,,,,,
41.750106811523,-87.565841674805,310,410,21967,67967450,,1000,1,1,UMTS,,,,,,
41.750106811523,-87.564468383789,311,480,52314,52334850,,1000,1,1,LTE,,,52314,,,
41.750107,-87.569046,310,260,7159,33382,,1000,1,1,CDMA,,,,260,7159,33382
41.750107,-87.567019,310,260,7159,33387,,1000,1,1,CDMA,,,,260,7159,33387
41.750381,-87.57518,310,120,16164,133809409,,1000,1,1,LTE,,,16164,,,
41.750382,-87.574651,310,260,41724,26560003,,1254,1,1,LTE,,,41724,,,
41.750626,-87.572001,310,260,41724,5430540,,1032,1,1,LTE,,,41724,,,
41.750793,-87.571335,310,260,7159,19910795,,1000,1,1,UMTS,,,,,,
41.750793,-87.565842,310,120,16164,133759236,,1000,1,1,LTE,,,16164,,,
41.750794,-87.574768,310,4384,2,8467,,1000,1,1,CDMA,,,,4384,2,8467
41.750856,-87.564578,310,260,41724,9721611,,1000,1,1,LTE,,,41724,,,
41.751194,-87.56662,310,260,41497,5394965,,1000,1,1,LTE,,,41497,,,
41.75148,-87.569275,310,410,21960,68688340,,1000,1,1,UMTS,,,,,,
41.751480102539,-87.568588256836,310,260,7159,19890790,,1000,1,1,UMTS,,,,,,
41.751480102539,-87.568588256836,310,260,7174,19910795,,1000,1,1,UMTS,,,,,,
41.751480102539,-87.565841674805,310,6534,1,3620,,1000,1,1,CDMA,,,,6534,1,3620
41.751480102539,-87.565841674805,310,120,16164,132125968,,1000,1,1,LTE,,,16164,,,
41.751676,-87.574866,310,260,7174,105074686,,1000,1,1,UMTS,,,,,,
41.751791,-87.565998,310,260,41495,5430530,,1000,1,1,LTE,,,41495,,,
41.751826,-87.570831,311,870,2,8498,,1741,1,1,CDMA,,,,870,2,8498
41.75189,-87.565274,310,260,41724,26671118,,1000,1,1,LTE,,,41724,,,
41.752136,-87.567596,310,260,41724,26670091,,1000,1,1,LTE,,,41724,,,
