lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.142211,-115.219554,310,260,13145,20487177,,5008,1,1,LTE,,,13145,,,
36.142788,-115.210976,310,410,33804,94240611,,1000,1,1,LTE,,,33804,,,
36.14291,-115.217602,310,260,13145,20487176,,5012,1,1,LTE,,,13145,,,
36.142959594727,-115.21842956543,310,410,36988,34112892,,1000,1,1,UMTS,,,,,,
36.14324,-115.212577,310,260,13145,20550403,,3135,1,1,LTE,,,13145,,,
36.143552,-115.220995,310,410,33804,92266775,,1408,1,1,LTE,,,33804,,,
36.143646,-115.21843,310,410,36988,34082892,,1000,1,1,UMTS,,,,,,
36.14373,-115.22041,310,260,13104,20487170,,4358,1,1,LTE,,,13104,,,
36.143763,-115.220133,310,260,24595,242677760,,1000,1,1,UMTS,,,,,,
36.143901,-115.220288,310,260,145,62132,,4298,1,1,GSM,,,,,,
36.143905,-115.211548,310,260,13104,20487176,,3321,1,1,LTE,,,13104,,,
36.143978,-115.216457,311,480,5120,81965836,,1812,1,1,LTE,,,5120,,,
36.144196,-115.210861,310,260,24594,20539651,,1000,1,1,UMTS,,,,,,
36.144214,-115.218073,310,260,24595,242677754,,1000,1,1,UMTS,,,,,,
36.144332885742,-115.21980285645,310,120,24324,199324946,,1000,1,1,LTE,,,24324,,,
36.144332885742,-115.21842956543,310,40,49,2275,,1000,1,1,CDMA,,,,40,49,2275
36.144332885742,-115.21842956543,310,260,24595,242667760,,1000,1,1,UMTS,,,,,,
36.144332885742,-115.2156829834,310,410,36988,2085941,,1000,1,1,UMTS,,,,,,
36.144332885742,-115.21430969238,310,410,36988,34079215,,1000,1,1,UMTS,,,,,,
36.144332885742,-115.21293640137,310,40,49,2273,,1000,1,1,CDMA,,,,40,49,2273
36.144332885742,-115.21156311035,310,410,36988,34079216,,1000,1,1,UMTS,,,,,,
36.144332885742,-115.21156311035,311,480,5120,81956364,,1000,1,1,LTE,,,5120,,,
36.144332885742,-115.21156311035,310,410,36988,34109213,,1000,1,1,UMTS,,,,,,
36.144333,-115.219999,310,120,24330,199324930,,1000,1,1,LTE,,,24330,,,
36.144333,-115.21946,310,410,31033,97,,1000,1,1,CDMA,,,,410,31033,97
36.144333,-115.214996,310,410,31022,497,,1000,1,1,CDMA,,,,410,31022,497
36.144333,-115.210739,310,410,31022,496,,1000,1,1,CDMA,,,,410,31022,496
36.144338,-115.211564,310,260,150,62501,,4442,1,1,CDMA,,,,260,150,62501
36.144497,-115.217941,310,260,13125,47966340,,1000,1,1,LTE,,,13125,,,
36.144539,-115.214897,310,260,13125,24711170,,1000,1,1,LTE,,,13125,,,
36.144745,-115.217331,310,120,24330,200656178,,1000,1,1,LTE,,,24330,,,
36.144941,-115.210834,310,260,24595,242674479,,1000,1,1,UMTS,,,,,,
36.145032,-115.213239,310,260,13145,20509956,,3077,1,1,LTE,,,13145,,,
36.145238,-115.217939,310,410,33804,92172560,,1571,1,1,LTE,,,33804,,,
