lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.085625,-115.242699,310,120,13145,200660033,,1000,1,1,LTE,,,13145,,,
36.085721,-115.244106,310,260,13145,20512520,,3431,1,1,LTE,,,13145,,,
36.085999,-115.240151,310,260,13101,20512519,,1000,1,1,LTE,,,13101,,,
36.086312,-115.235825,310,410,36986,34144403,,1842,1,1,UMTS,,,,,,
36.086662,-115.243314,310,260,13145,45877249,,1114,1,1,LTE,,,13145,,,
36.086792,-115.241776,310,120,24330,200660025,,1000,1,1,LTE,,,24330,,,
36.087064,-115.245879,310,260,24594,81456653,,1819,1,1,UMTS,,,,,,
36.087158,-115.242304,310,120,6,4945,,5399,1,1,LTE,,,6,,,
36.087341,-115.243149,310,260,24595,242675216,,1000,1,1,UMTS,,,,,,
36.087685,-115.237999,310,120,24330,199328769,,1000,1,1,LTE,,,24330,,,
36.088027954102,-115.24314880371,310,410,36984,34174398,,1000,1,1,UMTS,,,,,,
36.088027954102,-115.2417755127,310,120,24330,200660017,,1000,1,1,LTE,,,24330,,,
36.088371,-115.243149,310,260,24595,242665219,,1000,1,1,UMTS,,,,,,
36.088402,-115.242843,310,260,13101,20512513,,1000,1,1,LTE,,,13101,,,
36.088486,-115.243122,310,260,24594,81459175,,1239,1,1,UMTS,,,,,,
36.088756,-115.239966,310,260,13104,20512513,,8194,1,1,LTE,,,13104,,,
36.088867,-115.236565,310,410,33805,92163599,,5515,1,1,LTE,,,33805,,,
36.088902,-115.245021,310,120,24330,199326466,,1000,1,1,LTE,,,24330,,,
36.088909,-115.243202,311,490,6,4517,,1000,1,1,CDMA,,,,490,6,4517
36.088923,-115.242804,310,260,13145,20512519,,3697,1,1,LTE,,,13145,,,
36.088943,-115.243446,311,490,6,667,,1000,1,1,CDMA,,,,490,6,667
36.088954,-115.243461,310,260,13145,24297729,,3281,1,1,LTE,,,13145,,,
36.089108,-115.242821,310,260,65534,20541442,,1000,1,1,LTE,,,65534,,,
36.089131,-115.241335,311,870,13145,199698449,,2812,1,1,LTE,,,13145,,,
36.089311,-115.242584,310,410,33805,92163600,,8851,1,1,LTE,,,33805,,,
36.089401245117,-115.2417755127,310,260,150,60941,,1000,1,1,CDMA,,,,260,150,60941
36.089542,-115.241816,310,260,13145,20512623,,1000,1,1,LTE,,,13145,,,
36.089676,-115.240402,310,410,33805,92364932,,1000,1,1,LTE,,,33805,,,
36.090088,-115.242461,310,260,24595,242669040,,2029,1,1,UMTS,,,,,,
36.090294,-115.242795,310,260,13145,48417933,,1338,1,1,LTE,,,13145,,,
36.090502,-115.241915,310,260,24595,242675219,,1705,1,1,UMTS,,,,,,
36.090661,-115.244797,310,260,13145,20512516,,3126,1,1,LTE,,,13145,,,
36.090698,-115.240379,310,260,24595,20512519,,1000,1,1,UMTS,,,,,,
36.090774536133,-115.24314880371,311,870,24330,199328769,,1000,1,1,LTE,,,24330,,,
36.090774536133,-115.2417755127,311,480,5121,82006796,,1000,1,1,LTE,,,5121,,,
36.090774536133,-115.24040222168,310,410,36986,34152257,,1000,1,1,UMTS,,,,,,
36.090775,-115.239715,310,120,24330,199328793,,1182,1,1,LTE,,,24330,,,
36.090828,-115.240685,310,260,24595,20512513,,1000,1,1,UMTS,,,,,,
36.090832,-115.240593,310,260,24595,22437385,,1000,1,1,UMTS,,,,,,
36.090839,-115.240448,310,260,24595,20548099,,1000,1,1,UMTS,,,,,,
36.090885,-115.241041,311,490,6,792,,2974,1,1,LTE,,,6,,,
36.090931,-115.240593,310,260,24595,20517125,,1000,1,1,UMTS,,,,,,
36.090942,-115.242973,310,410,13145,20512519,,1000,1,1,LTE,,,13145,,,
36.090942,-115.242973,310,410,13145,20512521,,1000,1,1,LTE,,,13145,,,
36.090964,-115.239834,310,260,13145,23875901,,1000,1,1,LTE,,,13145,,,
36.09119,-115.241424,311,480,5121,5206796,,1000,1,1,LTE,,,5121,,,
36.091347,-115.241341,311,870,6,4689,,1000,1,1,LTE,,,6,,,
36.091348,-115.24557,310,260,13104,20512519,,4839,1,1,LTE,,,13104,,,
36.091427,-115.238197,310,410,33805,92163767,,1000,1,1,LTE,,,33805,,,
36.09166,-115.241913,310,260,13101,47969667,,1000,1,1,LTE,,,13101,,,
36.091743,-115.242027,310,260,13101,23875847,,1000,1,1,LTE,,,13101,,,
36.091752,-115.239539,310,260,13145,22437382,,1081,1,1,LTE,,,13145,,,
36.091843,-115.24398,310,410,33796,92163593,,1000,1,1,LTE,,,33796,,,
36.091898,-115.240402,311,40,49,5425,,1000,1,1,LTE,,,49,,,
36.091988,-115.235874,311,480,49,5425,,1000,1,1,CDMA,,,,480,49,5425
36.092316,-115.243202,310,120,13145,200660025,,1000,1,1,LTE,,,13145,,,
36.09247,-115.237411,311,870,6,793,,1000,1,1,CDMA,,,,870,6,793
36.092483,-115.244629,310,260,13145,20517129,,6123,1,1,LTE,,,13145,,,
36.092736,-115.244893,310,260,24594,81404984,,1874,1,1,UMTS,,,,,,
36.092951,-115.241045,310,260,13145,20512573,,4501,1,1,LTE,,,13145,,,
36.093016,-115.245365,310,260,24595,242679040,,1000,1,1,UMTS,,,,,,
36.093246,-115.236008,310,120,24330,200655155,,1000,1,1,LTE,,,24330,,,
36.093369,-115.245439,310,410,36986,34144404,,4240,1,1,UMTS,,,,,,
36.093474,-115.24254,310,260,13145,20512513,,8270,1,1,LTE,,,13145,,,
36.093616,-115.240736,310,260,13145,20548354,,5978,1,1,LTE,,,13145,,,
36.093781,-115.242332,311,870,6,793,,1000,1,1,LTE,,,6,,,
36.093781,-115.242332,311,870,13145,199323921,,1000,1,1,LTE,,,13145,,,
36.093781,-115.242332,311,870,13145,200655161,,1000,1,1,LTE,,,13145,,,
36.093965,-115.245701,310,260,13104,20548354,,5654,1,1,LTE,,,13104,,,
36.094084,-115.242287,311,870,13145,199323931,,1000,1,1,LTE,,,13145,,,
