lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.530428,-82.479027,310,260,44081,11921,,3172,1,1,GSM,,,,,,
28.533097,-82.479171,310,410,27794,230947439,,1661,1,1,UMTS,,,,,,
28.533417,-82.487094,310,410,13319,179945366,,2096,1,1,LTE,,,13319,,,
28.533554077148,-82.487411499023,310,260,34122,20524689,,1000,1,1,LTE,,,34122,,,
28.534319,-82.48526,310,410,13319,179735753,,1000,1,1,LTE,,,13319,,,
28.534341,-82.485214,310,120,13779,98685442,,2205,1,1,LTE,,,13779,,,
28.534927368164,-82.47917175293,310,410,27794,230947442,,1000,1,1,UMTS,,,,,,
28.535883,-82.486814,310,120,13584,98685442,,1000,1,1,LTE,,,13584,,,
28.536301,-82.488098,310,5116,20,7218,,1409,1,1,CDMA,,,,5116,20,7218
28.536426,-82.487606,310,410,13319,179945418,,1654,1,1,LTE,,,13319,,,
