lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.063553,-121.263107,310,120,20481,169159684,,1000,1,1,LTE,,,20481,,,
44.063843,-121.272418,311,870,13666,167828499,,1000,1,1,LTE,,,13666,,,
44.063899,-121.27431,310,410,36891,86094104,,3631,1,1,LTE,,,36891,,,
44.064102172852,-121.26502990723,310,120,20481,169159681,,1000,1,1,LTE,,,20481,,,
44.065201,-121.264206,310,410,33988,13760083,,1000,1,1,UMTS,,,,,,
44.065476,-121.27327,310,1610,1,24066,,1000,1,1,CDMA,,,,1610,1,24066
44.06575,-121.263817,311,870,245,37954,,1000,1,1,CDMA,,,,870,245,37954
44.065913,-121.269023,310,410,36891,86094097,,5528,1,1,LTE,,,36891,,,
44.066391,-121.275101,310,120,20481,169159685,,1000,1,1,LTE,,,20481,,,
44.066848754883,-121.27464294434,310,4174,87,37923,,1000,1,1,CDMA,,,,4174,87,37923
44.066848754883,-121.27326965332,310,410,33988,13760332,,1000,1,1,UMTS,,,,,,
44.066848754883,-121.2718963623,310,410,33988,13760329,,1000,1,1,UMTS,,,,,,
44.066849,-121.26709,310,410,33988,13760080,,1000,1,1,UMTS,,,,,,
44.067039,-121.262756,310,260,35896,22537237,,1000,1,1,UMTS,,,,,,
44.067265,-121.268158,310,260,13666,25531138,,1000,1,1,LTE,,,13666,,,
44.06868,-121.271896,311,480,1572,1571619,,1000,1,1,LTE,,,1572,,,
44.069595336914,-121.26777648926,310,260,35895,35891,,1000,1,1,CDMA,,,,260,35895,35891
44.069599,-121.273697,310,410,36891,86094298,,1000,1,1,LTE,,,36891,,,
44.069777,-121.273533,310,410,36891,86100496,,1552,1,1,LTE,,,36891,,,
44.07003,-121.273109,311,480,1572,78379276,,1000,1,1,LTE,,,1572,,,
44.070168,-121.272659,311,480,1572,1571618,,1000,1,1,LTE,,,1572,,,
44.07032,-121.273903,310,260,13803,226085763,,1000,1,1,LTE,,,13803,,,
44.070339,-121.273872,310,260,13803,226085765,,1000,1,1,LTE,,,13803,,,
44.070423,-121.273865,310,260,13803,226063117,,1000,1,1,LTE,,,13803,,,
44.070473,-121.273788,310,260,13803,226085775,,1000,1,1,LTE,,,13803,,,
44.070751,-121.273964,310,410,36891,86100697,,1000,1,1,LTE,,,36891,,,
44.070969,-121.263946,311,480,1572,78371596,,1000,1,1,LTE,,,1572,,,
44.07119,-121.27236,311,480,1572,1571616,,1000,1,1,LTE,,,1572,,,
44.07195,-121.264245,311,480,1572,1571596,,1000,1,1,LTE,,,1572,,,
44.072474,-121.263977,311,580,1,24065,,1132,1,1,LTE,,,1,,,
