lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.972183227539,-121.29661560059,310,260,43496,177255215,,1000,1,1,UMTS,,,,,,
37.972183227539,-121.29524230957,310,260,396,20082,,1000,1,1,GSM,,,,,,
37.972183227539,-121.28974914551,310,260,396,2431,,1000,1,1,GSM,,,,,,
37.972694,-121.296519,310,410,35625,171952144,,3899,1,1,LTE,,,35625,,,
37.972769,-121.290017,310,260,16122,24562831,,2611,1,1,LTE,,,16122,,,
37.972917,-121.294464,310,260,16122,20912897,,2626,1,1,LTE,,,16122,,,
37.97336,-121.290926,311,480,9475,9688578,,1000,1,1,LTE,,,9475,,,
37.973479,-121.291805,310,260,15905,46219376,,1066,1,1,LTE,,,15905,,,
37.973556518555,-121.29661560059,310,120,22027,181718534,,1000,1,1,LTE,,,22027,,,
37.973557,-121.295929,310,410,56873,3752434,,1000,1,1,UMTS,,,,,,
37.97376,-121.294947,310,410,35625,171952137,,4018,1,1,LTE,,,35625,,,
37.973898,-121.287055,310,410,35625,172248471,,7471,1,1,LTE,,,35625,,,
37.974478,-121.290348,310,410,35625,171945366,,1000,1,1,LTE,,,35625,,,
37.974556,-121.291498,310,260,43499,65800603,,3568,1,1,UMTS,,,,,,
37.974792,-121.293024,310,260,16122,20912900,,1789,1,1,LTE,,,16122,,,
37.975075,-121.292915,310,260,15910,20825603,,1000,1,1,LTE,,,15910,,,
37.975159,-121.29364,310,120,22027,180387328,,1000,1,1,LTE,,,22027,,,
37.97538,-121.293551,312,530,16122,180383252,,3426,1,1,LTE,,,16122,,,
37.975464,-121.291202,311,870,16122,180387075,,2318,1,1,LTE,,,16122,,,
37.975588,-121.294097,310,260,15905,46219276,,1043,1,1,LTE,,,15905,,,
37.975946,-121.294891,310,260,43496,177211781,,1000,1,1,UMTS,,,,,,
37.976387,-121.295631,310,120,248,28513,,1000,1,1,CDMA,,,,120,248,28513
37.976682,-121.296596,310,260,16122,20850180,,2062,1,1,LTE,,,16122,,,
37.976761,-121.293411,310,260,43499,65800575,,1000,1,1,UMTS,,,,,,
37.977676391602,-121.29661560059,310,120,22027,180387343,,1000,1,1,LTE,,,22027,,,
37.977676391602,-121.29112243652,310,260,15910,20912897,,1000,1,1,LTE,,,15910,,,
37.978824,-121.286937,310,260,43422,216553361,,3623,1,1,UMTS,,,,,,
37.979049682617,-121.29661560059,310,260,43499,65861586,,1000,1,1,UMTS,,,,,,
37.979049682617,-121.29249572754,310,260,43496,177272865,,1000,1,1,UMTS,,,,,,
37.979049682617,-121.29249572754,310,260,43499,65861665,,1000,1,1,UMTS,,,,,,
37.979307,-121.292567,310,260,15905,46219522,,1000,1,1,LTE,,,15905,,,
37.979631,-121.292996,310,260,16122,44819721,,1742,1,1,LTE,,,16122,,,
37.981056,-121.295349,310,260,15905,46219521,,1000,1,1,LTE,,,15905,,,
