lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.477631,-112.080231,310,120,12300,100784385,,1000,1,1,LTE,,,12300,,,
33.477694,-112.075911,311,480,6151,6171160,,1560,1,1,LTE,,,6151,,,
33.477802,-112.083179,311,870,12300,102115633,,1000,1,1,LTE,,,12300,,,
33.477815,-112.078175,310,260,13417,20605205,,4893,1,1,LTE,,,13417,,,
33.477889,-112.075523,310,120,12300,100784401,,1000,1,1,LTE,,,12300,,,
33.478324,-112.081987,310,260,13404,20595724,,1839,1,1,LTE,,,13404,,,
33.478699,-112.084058,310,260,13417,45534981,,4484,1,1,LTE,,,13417,,,
33.478775,-112.080263,310,120,12300,100784393,,1000,1,1,LTE,,,12300,,,
33.478775,-112.074182,310,410,48993,27722652,,1000,1,1,UMTS,,,,,,
33.478775024414,-112.08320617676,311,870,12300,100784387,,1000,1,1,LTE,,,12300,,,
33.478775024414,-112.08045959473,311,480,6150,6233857,,1000,1,1,LTE,,,6150,,,
33.478775024414,-112.07496643066,310,410,48999,1682175,,1000,1,1,UMTS,,,,,,
33.478775024414,-112.07496643066,310,410,48981,1776383,,1000,1,1,UMTS,,,,,,
33.478895,-112.073922,310,260,13417,20605195,,3993,1,1,LTE,,,13417,,,
33.478914,-112.07624,310,260,13442,20596738,,20207,1,1,LTE,,,13442,,,
33.479061,-112.082672,310,120,13417,101379377,,1000,1,1,LTE,,,13417,,,
33.47921,-112.083103,310,260,34748,21433428,,3181,1,1,UMTS,,,,,,
33.479302,-112.075486,310,410,32774,122951945,,1593,1,1,LTE,,,32774,,,
33.479551,-112.076219,310,410,32774,122951952,,2566,1,1,LTE,,,32774,,,
33.479759,-112.083515,310,260,13417,24547595,,2876,1,1,LTE,,,13417,,,
33.47984,-112.083716,310,260,13417,20596741,,9061,1,1,LTE,,,13417,,,
33.479963,-112.081915,311,480,6151,6199554,,1000,1,1,LTE,,,6151,,,
33.479967,-112.07748,310,120,12300,102115641,,1000,1,1,LTE,,,12300,,,
33.480061,-112.074844,310,260,34742,14888419,,1000,1,1,UMTS,,,,,,
33.480148,-112.078478,310,120,12300,102115633,,1000,1,1,LTE,,,12300,,,
33.480148,-112.074153,310,410,32774,122903701,,1094,1,1,LTE,,,32774,,,
33.48014831543,-112.08320617676,311,870,12300,100784385,,1000,1,1,LTE,,,12300,,,
33.48014831543,-112.08183288574,310,410,64847,28111482,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.08045959473,310,410,48993,28111485,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.08045959473,310,260,13404,27986235,,1000,1,1,LTE,,,13404,,,
33.48014831543,-112.08045959473,310,260,34753,10301,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.07908630371,310,410,48993,2812,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.07908630371,310,410,48993,31553,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.07908630371,310,410,48993,27724543,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.07908630371,310,260,34753,11753,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.0777130127,311,480,5640,6171138,,1000,1,1,LTE,,,5640,,,
33.48014831543,-112.07633972168,310,410,48993,28377320,,1000,1,1,UMTS,,,,,,
33.48014831543,-112.07633972168,310,260,13404,28015801,,1000,1,1,LTE,,,13404,,,
33.48014831543,-112.07496643066,310,410,48999,2818,,1000,1,1,CDMA,,,,410,48999,2818
33.48014831543,-112.07496643066,310,410,48981,2815,,1000,1,1,CDMA,,,,410,48981,2815
33.48014831543,-112.07496643066,310,410,48993,27724540,,1000,1,1,UMTS,,,,,,
33.480207,-112.08233,311,30,4,729,,1000,1,1,LTE,,,4,,,
33.480228,-112.075692,310,120,8,628,,2960,1,1,CDMA,,,,120,8,628
33.480228,-112.07444,310,260,13417,25192462,,1000,1,1,LTE,,,13417,,,
33.480339,-112.082588,310,260,13415,25109647,,1000,1,1,LTE,,,13415,,,
33.480366,-112.074135,311,870,12300,100784401,,1000,1,1,LTE,,,12300,,,
33.48037,-112.074013,310,410,32774,122885896,,1000,1,1,LTE,,,32774,,,
33.480423,-112.082771,312,530,13417,101370673,,1000,1,1,LTE,,,13417,,,
33.480423,-112.082771,312,530,13417,100684059,,1000,1,1,LTE,,,13417,,,
33.480423,-112.082771,312,530,13417,102733107,,1000,1,1,LTE,,,13417,,,
33.480446,-112.079681,312,530,13417,102663985,,1000,1,1,LTE,,,13417,,,
33.480507,-112.073973,310,410,32774,124028183,,1543,1,1,LTE,,,32774,,,
33.480574,-112.083501,311,480,6151,6199574,,500,1,1,LTE,,,6151,,,
33.480606,-112.074509,310,410,48981,1776380,,1000,1,1,UMTS,,,,,,
33.480775,-112.075506,310,410,32774,122903574,,5314,1,1,LTE,,,32774,,,
33.480791,-112.077647,310,410,65534,122951952,,1176,1,1,UMTS,,,,,,
33.480835,-112.07428,310,410,48981,2812,,1000,1,1,CDMA,,,,410,48981,2812
33.480907,-112.073799,310,410,32786,124468939,,1000,1,1,LTE,,,32786,,,
33.480907,-112.073799,310,410,32786,122886090,,1000,1,1,LTE,,,32786,,,
33.480972,-112.073935,310,260,13417,25192452,,1000,1,1,LTE,,,13417,,,
33.481039,-112.075073,311,490,13331,20623116,,5286,1,1,LTE,,,13331,,,
33.481068,-112.074651,311,480,6151,6233857,,1000,1,1,LTE,,,6151,,,
33.481071,-112.079453,310,410,32786,124068501,,1000,1,1,LTE,,,32786,,,
33.48114,-112.073677,311,480,6151,6160143,,1000,1,1,LTE,,,6151,,,
33.481182,-112.083092,310,410,32774,124596938,,1000,1,1,LTE,,,32774,,,
33.481521606445,-112.08320617676,310,30,4,729,,1000,1,1,CDMA,,,,30,4,729
33.481521606445,-112.08183288574,310,410,48999,27760805,,1000,1,1,UMTS,,,,,,
33.481521606445,-112.07633972168,310,260,34753,24547590,,1000,1,1,LTE,,,34753,,,
33.481521606445,-112.07496643066,310,410,48981,2818,,1000,1,1,CDMA,,,,410,48981,2818
33.481521606445,-112.07496643066,310,410,3037,2833,,1000,1,1,GSM,,,,,,
33.481522,-112.082748,310,260,34775,21744,,1000,1,1,GSM,,,,,,
33.481558,-112.074203,310,260,13417,20596738,,4444,1,1,LTE,,,13417,,,
33.481603,-112.083032,310,410,32774,124596771,,1000,1,1,LTE,,,32774,,,
33.481654,-112.073632,310,410,48993,27722655,,5303,1,1,UMTS,,,,,,
33.481666,-112.073878,310,260,13417,22056727,,2808,1,1,LTE,,,13417,,,
33.482208,-112.083206,310,260,34753,27987029,,1000,1,1,UMTS,,,,,,
33.482208,-112.081146,310,260,34753,27987028,,1000,1,1,UMTS,,,,,,
33.482275,-112.073642,310,120,13417,102687555,,1000,1,1,LTE,,,13417,,,
33.482433,-112.083131,310,260,13417,20595724,,8041,1,1,LTE,,,13417,,,
33.482675,-112.075961,311,480,6151,6171158,,5480,1,1,LTE,,,6151,,,
33.482712,-112.073928,310,260,13417,24253070,,3491,1,1,LTE,,,13417,,,
33.482882,-112.075064,310,260,13417,20596740,,3672,1,1,LTE,,,13417,,,
33.482894897461,-112.08320617676,310,260,13404,24253032,,1000,1,1,LTE,,,13404,,,
33.482895,-112.077255,310,410,48993,27724542,,1000,1,1,UMTS,,,,,,
33.482957,-112.079332,310,260,13442,25208076,,4647,1,1,LTE,,,13442,,,
33.483098,-112.082651,310,410,32774,122951953,,4826,1,1,LTE,,,32774,,,
33.483118,-112.08128,310,410,32774,122952087,,1000,1,1,LTE,,,32774,,,
33.48317,-112.084305,310,410,48993,27724547,,1000,1,1,UMTS,,,,,,
33.483341,-112.073952,311,480,6151,6285068,,1000,1,1,LTE,,,6151,,,
33.483597,-112.080392,310,410,32774,124028184,,1000,1,1,LTE,,,32774,,,
33.484163,-112.080248,310,30,48,556,,2931,1,1,CDMA,,,,30,48,556
33.484268,-112.076683,310,48,48,874,,1000,1,1,CDMA,,,,48,48,874
33.484268,-112.07634,310,4170,8,769,,1000,1,1,CDMA,,,,4170,8,769
33.484268188477,-112.08045959473,311,870,12300,100785667,,1000,1,1,LTE,,,12300,,,
33.484268188477,-112.0777130127,310,410,48981,111084,,1000,1,1,UMTS,,,,,,
33.484268188477,-112.07496643066,310,48,48,618,,1000,1,1,CDMA,,,,48,48,618
33.484268188477,-112.07496643066,311,480,6150,6208268,,1000,1,1,LTE,,,6150,,,
33.484371,-112.07684,310,260,13417,20596758,,9328,1,1,LTE,,,13417,,,
33.484488,-112.073868,311,480,6151,6208268,,1258,1,1,LTE,,,6151,,,
33.484564,-112.081078,310,410,32774,122951946,,1000,1,1,LTE,,,32774,,,
33.484716,-112.07761,310,260,13442,25208075,,20763,1,1,LTE,,,13442,,,
33.484955,-112.083893,310,260,34753,28015425,,1000,1,1,UMTS,,,,,,
33.485226,-112.079321,310,260,13417,20586006,,5165,1,1,LTE,,,13417,,,
33.485267,-112.07455,310,120,12300,102116923,,1000,1,1,LTE,,,12300,,,
33.485497,-112.07813,310,120,8,769,,1711,1,1,LTE,,,8,,,
33.48554,-112.075119,310,260,34773,31552,,1000,1,1,GSM,,,,,,
33.485641,-112.083893,310,260,34753,28015428,,1000,1,1,UMTS,,,,,,
33.485641479492,-112.08320617676,310,410,48993,28379911,,1000,1,1,UMTS,,,,,,
33.485641479492,-112.08183288574,310,260,34721,31553,,1000,1,1,CDMA,,,,260,34721,31553
33.485641479492,-112.08183288574,310,410,48993,27724544,,1000,1,1,UMTS,,,,,,
33.485641479492,-112.08183288574,310,260,13404,20596839,,1000,1,1,LTE,,,13404,,,
33.485641479492,-112.0777130127,310,260,34753,28014907,,1000,1,1,UMTS,,,,,,
33.48571,-112.07991,310,120,12300,100785675,,1000,1,1,LTE,,,12300,,,
33.485783,-112.083229,310,410,32774,122952139,,1000,1,1,LTE,,,32774,,,
33.485804,-112.078138,310,410,48993,27724546,,4705,1,1,UMTS,,,,,,
33.485813,-112.082691,310,260,34773,10032,,1000,1,1,GSM,,,,,,
33.485842,-112.081232,311,30,4,874,,1000,1,1,LTE,,,4,,,
33.485906,-112.084183,311,480,6151,6171170,,1000,1,1,LTE,,,6151,,,
33.485913,-112.080037,310,410,48981,27724547,,1119,1,1,UMTS,,,,,,
33.486031,-112.077579,310,260,13404,24252932,,4240,1,1,LTE,,,13404,,,
33.486101,-112.074819,310,120,12300,102116915,,1000,1,1,LTE,,,12300,,,
33.48613,-112.077332,310,260,13442,45379857,,1000,1,1,LTE,,,13442,,,
