lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.68161,-111.862717,310,120,22277,183101499,,1000,1,1,LTE,,,22277,,,
40.681686401367,-111.86073303223,310,94,48,615,,1000,1,1,CDMA,,,,94,48,615
40.681686401367,-111.8579864502,311,490,17939,73459714,,1000,1,1,LTE,,,17939,,,
40.681746,-111.862644,310,120,22277,183101491,,1000,1,1,LTE,,,22277,,,
40.682292,-111.858308,310,410,45999,20327108,,1000,1,1,UMTS,,,,,,
40.682367,-111.860211,310,260,11620,21577227,,10640,1,1,LTE,,,11620,,,
40.682373,-111.856613,310,410,45999,20379663,,1000,1,1,UMTS,,,,,,
40.682685,-111.856613,310,410,45999,20323176,,1000,1,1,UMTS,,,,,,
40.68317,-111.859935,310,410,45999,20327105,,1342,1,1,UMTS,,,,,,
40.68377,-111.854236,311,480,1,4978,,2170,1,1,LTE,,,1,,,
40.683983,-111.857301,310,260,11620,21539842,,5082,1,1,LTE,,,11620,,,
40.68407,-111.859204,310,260,11620,21539845,,1456,1,1,LTE,,,11620,,,
40.684353,-111.861827,310,410,39173,115480073,,6443,1,1,LTE,,,39173,,,
40.684418,-111.854378,310,410,39173,115464120,,1000,1,1,LTE,,,39173,,,
40.68453,-111.857568,310,410,39173,115379977,,8002,1,1,LTE,,,39173,,,
40.685082,-111.851749,310,410,39173,115480065,,1000,1,1,LTE,,,39173,,,
40.68514,-111.853627,310,410,45999,20336776,,1000,1,1,UMTS,,,,,,
40.685483,-111.856613,310,410,45999,20327102,,1000,1,1,UMTS,,,,,,
40.685618,-111.861145,310,410,39173,115480066,,1000,1,1,LTE,,,39173,,,
40.685806274414,-111.8579864502,310,410,45999,10948,,1000,1,1,CDMA,,,,410,45999,10948
40.685806274414,-111.85386657715,311,490,22277,73404929,,1000,1,1,LTE,,,22277,,,
40.685927,-111.853746,311,480,3073,3098370,,1000,1,1,LTE,,,3073,,,
40.686321,-111.854134,311,480,3073,3077660,,1000,1,1,LTE,,,3073,,,
40.686913,-111.862236,310,260,11620,182586898,,1000,1,1,LTE,,,11620,,,
40.686913,-111.862236,312,250,11620,182586898,,1000,1,1,LTE,,,11620,,,
40.686981,-111.854034,310,260,11545,21592097,,1000,1,1,LTE,,,11545,,,
40.687048,-111.85356,310,260,11620,21593864,,6828,1,1,LTE,,,11620,,,
40.68717956543,-111.85523986816,310,260,49026,10945,,1000,1,1,CDMA,,,,260,49026,10945
40.68717956543,-111.85386657715,310,260,39994,35157322,,1000,1,1,UMTS,,,,,,
40.68717956543,-111.85386657715,310,410,45999,20327101,,1000,1,1,UMTS,,,,,,
40.68717956543,-111.85386657715,311,490,22277,73404928,,1000,1,1,LTE,,,22277,,,
40.68717956543,-111.85249328613,310,260,39904,30292,,1000,1,1,CDMA,,,,260,39904,30292
40.68717956543,-111.85249328613,311,490,17940,73404929,,1000,1,1,LTE,,,17940,,,
40.68718,-111.855632,311,490,43027,73404928,,1000,1,1,LTE,,,43027,,,
40.68718,-111.854937,311,480,3073,3098390,,1000,1,1,LTE,,,3073,,,
40.68718,-111.854553,310,120,22277,183101241,,1000,1,1,LTE,,,22277,,,
40.68718,-111.851578,310,410,65534,115480079,,1000,1,1,UMTS,,,,,,
40.687214,-111.853683,310,260,11620,21532949,,1000,1,1,LTE,,,11620,,,
40.687293,-111.862688,310,260,11620,21593918,,1000,1,1,LTE,,,11620,,,
40.687491,-111.86127,310,260,11620,21592067,,6255,1,1,LTE,,,11620,,,
40.687637,-111.854782,310,260,39994,35157319,,1000,1,1,UMTS,,,,,,
40.687788,-111.85495,310,410,45999,20327104,,1000,1,1,LTE,,,45999,,,
40.687867,-111.858674,310,410,45999,20785246,,1056,1,1,UMTS,,,,,,
40.688552856445,-111.8579864502,311,490,17939,73404928,,1000,1,1,LTE,,,17939,,,
40.688552856445,-111.85661315918,311,490,17940,73404928,,1000,1,1,LTE,,,17940,,,
40.688803,-111.861289,311,480,1,615,,1381,1,1,LTE,,,1,,,
40.689677,-111.854312,310,260,39994,35157594,,7670,1,1,UMTS,,,,,,
40.689901,-111.855441,310,410,39173,115480235,,1313,1,1,LTE,,,39173,,,
40.689926,-111.85112,310,260,39994,35187319,,1000,1,1,UMTS,,,,,,
40.690336,-111.851939,310,410,45999,20327107,,1000,1,1,UMTS,,,,,,
40.690356,-111.858133,310,260,11620,21593878,,1000,1,1,LTE,,,11620,,,
