lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.034298,-114.988317,310,120,24327,200667187,,1000,1,1,LTE,,,24327,,,
36.034725,-114.985161,312,250,13105,20525575,,1000,1,1,LTE,,,13105,,,
36.034863,-114.987477,311,480,49,4449,,1000,1,1,LTE,,,49,,,
36.03516,-114.986465,312,530,13105,199296281,,1000,1,1,LTE,,,13105,,,
36.03516,-114.986465,312,530,13105,199296273,,1000,1,1,LTE,,,13105,,,
36.035308,-114.982392,311,480,5222,5171990,,1860,1,1,LTE,,,5222,,,
36.035369,-114.989086,310,260,13105,20509442,,3128,1,1,LTE,,,13105,,,
36.035583,-114.98613,312,530,13105,199300114,,1000,1,1,LTE,,,13105,,,
36.035842895508,-114.98497009277,310,260,24594,81460646,,1000,1,1,UMTS,,,,,,
36.035885,-114.986862,310,260,24594,81460649,,4930,1,1,UMTS,,,,,,
36.035924,-114.980638,312,530,13105,200667203,,2953,1,1,LTE,,,13105,,,
36.036331,-114.978706,310,260,13105,60626545,,1000,1,1,LTE,,,13105,,,
36.036424,-114.98909,310,120,24327,200667195,,1000,1,1,LTE,,,24327,,,
36.036449,-114.981372,311,480,5222,5171970,,4218,1,1,LTE,,,5222,,,
36.036629,-114.988335,310,120,13105,200667203,,1000,1,1,LTE,,,13105,,,
36.036659,-114.987076,312,250,13105,200667187,,1000,1,1,LTE,,,13105,,,
36.036728,-114.987099,310,260,13201,227007857,,1000,1,1,LTE,,,13201,,,
36.036799,-114.979447,310,410,33807,92285976,,2360,1,1,LTE,,,33807,,,
36.036911,-114.982529,311,40,49,3250,,1000,1,1,LTE,,,49,,,
36.036987,-114.986465,311,490,13105,20525569,,1000,1,1,LTE,,,13105,,,
36.037216186523,-114.98908996582,311,870,24327,199335939,,1000,1,1,LTE,,,24327,,,
36.037216186523,-114.9877166748,310,40,49,3251,,1000,1,1,CDMA,,,,40,49,3251
36.037216186523,-114.98497009277,310,260,24597,98500003,,1000,1,1,UMTS,,,,,,
36.037383,-114.983487,311,870,6,896,,1000,1,1,LTE,,,6,,,
36.037399,-114.980469,310,260,13105,23227654,,1000,1,1,LTE,,,13105,,,
36.037433,-114.986487,310,260,13105,47708676,,1000,1,1,LTE,,,13105,,,
36.037605,-114.987885,310,410,33807,92222472,,1000,1,1,LTE,,,33807,,,
36.037674,-114.982681,310,410,36993,33755966,,1000,1,1,UMTS,,,,,,
36.037704,-114.984863,310,260,13105,227007857,,1000,1,1,LTE,,,13105,,,
36.038088,-114.980392,310,260,13105,227007746,,1000,1,1,LTE,,,13105,,,
36.038132,-114.988474,310,410,33807,92285969,,4029,1,1,LTE,,,33807,,,
36.038246,-114.982224,310,40,49,3250,,1000,1,1,CDMA,,,,40,49,3250
36.038276,-114.985546,310,120,6,896,,1000,1,1,LTE,,,6,,,
36.038386,-114.987927,310,410,33807,92286129,,1963,1,1,LTE,,,33807,,,
36.038393,-114.983401,310,410,36983,34280257,,1000,1,1,UMTS,,,,,,
36.038465,-114.988765,310,260,24594,81450649,,2755,1,1,UMTS,,,,,,
36.038516,-114.988591,310,260,13105,20531971,,6854,1,1,LTE,,,13105,,,
36.038719,-114.982329,310,410,36983,34280251,,2453,1,1,UMTS,,,,,,
36.038839,-114.979727,310,260,24594,81447910,,1018,1,1,UMTS,,,,,,
36.039047,-114.981766,310,410,36993,33755969,,1000,1,1,UMTS,,,,,,
36.039052,-114.982765,310,260,13105,20525569,,8433,1,1,LTE,,,13105,,,
36.039104,-114.980164,310,120,24327,200667186,,1000,1,1,LTE,,,24327,,,
36.039276,-114.98291,310,410,36993,4929,,1000,1,1,CDMA,,,,410,36993,4929
36.039276,-114.98291,310,410,36993,33755963,,1000,1,1,UMTS,,,,,,
36.039281,-114.984671,310,410,33807,92285962,,5525,1,1,LTE,,,33807,,,
