lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.052933,-115.276947,310,410,36996,33561301,,3286,1,1,UMTS,,,,,,
36.052964,-115.266803,310,260,13145,23689732,,4024,1,1,LTE,,,13145,,,
36.053695678711,-115.27610778809,310,410,65534,92335633,,1000,1,1,UMTS,,,,,,
36.053695678711,-115.26924133301,310,4145,6,747,,1000,1,1,CDMA,,,,4145,6,747
36.053696,-115.266494,310,410,31028,6486,,1000,1,1,CDMA,,,,410,31028,6486
36.054817,-115.272007,310,260,13104,24274434,,18424,1,1,LTE,,,13104,,,
36.055068969727,-115.27610778809,311,870,24329,199322882,,1000,1,1,LTE,,,24329,,,
36.055068969727,-115.27336120605,310,260,24595,81398827,,1000,1,1,UMTS,,,,,,
36.055068969727,-115.27061462402,311,480,5372,262170897,,1000,1,1,LTE,,,5372,,,
36.055069,-115.266495,310,120,24329,199320851,,1000,1,1,LTE,,,24329,,,
36.05558,-115.276436,310,,49,1537,,1000,1,1,LTE,,,49,,,
36.05579,-115.272423,310,260,24595,242617384,,1000,1,1,UMTS,,,,,,
36.055885,-115.274071,310,260,24594,81458595,,1000,1,1,UMTS,,,,,,
36.055914,-115.271062,310,410,33796,92335640,,2675,1,1,LTE,,,33796,,,
36.055957,-115.268223,310,260,24595,242675291,,2343,1,1,UMTS,,,,,,
36.05624,-115.275795,310,260,24595,22436101,,1000,1,1,UMTS,,,,,,
36.056442260742,-115.2774810791,310,260,24594,81398827,,1000,1,1,UMTS,,,,,,
36.056595,-115.267548,310,260,24595,242675285,,2404,1,1,UMTS,,,,,,
36.056726,-115.267312,310,260,13104,23689729,,8553,1,1,LTE,,,13104,,,
36.056811,-115.271753,310,260,13104,24274440,,5328,1,1,LTE,,,13104,,,
36.057312,-115.272403,310,120,6,200654131,,1000,1,1,LTE,,,6,,,
36.057815551758,-115.26924133301,310,410,31028,6337,,1000,1,1,GSM,,,,,,
36.057815551758,-115.26924133301,310,410,31028,557,,1000,1,1,GSM,,,,,,
36.057815551758,-115.26924133301,310,410,31028,4977,,1000,1,1,GSM,,,,,,
36.057815551758,-115.26924133301,310,410,31022,4747,,1000,1,1,GSM,,,,,,
36.057815551758,-115.26786804199,310,260,51282,256070310,,1000,1,1,LTE,,,51282,,,
36.057815551758,-115.26786804199,310,260,51273,256073950,,1000,1,1,LTE,,,51273,,,
36.058502,-115.276108,310,260,24595,81408827,,1000,1,1,UMTS,,,,,,
36.059742,-115.273785,311,480,5121,5190936,,1412,1,1,LTE,,,5121,,,
36.060786,-115.274809,311,480,5121,5190914,,2215,1,1,LTE,,,5121,,,
36.060917,-115.272854,311,480,5121,5263394,,1000,1,1,LTE,,,5121,,,
36.061488,-115.273963,311,480,49,1537,,1217,1,1,LTE,,,49,,,
