lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.000137,-115.119095,310,260,24594,81447191,,1000,1,1,UMTS,,,,,,
36.000137329102,-115.1195526123,311,40,49,4914,,1000,1,1,LTE,,,49,,,
36.000189,-115.117832,311,480,5222,5198614,,1141,1,1,LTE,,,5222,,,
36.000574,-115.118255,311,480,5222,5198594,,1000,1,1,LTE,,,5222,,,
36.000912,-115.118073,311,480,5222,5234976,,1141,1,1,LTE,,,5222,,,
36.001099,-115.116909,310,260,13201,48416899,,1000,1,1,LTE,,,13201,,,
36.001342,-115.118544,311,480,5222,5198616,,1000,1,1,LTE,,,5222,,,
36.00149,-115.117863,312,530,13105,199283730,,1000,1,1,LTE,,,13105,,,
36.001510620117,-115.11817932129,310,410,36992,2114981,,1000,1,1,UMTS,,,,,,
36.001510620117,-115.1099395752,310,410,36992,2114985,,1000,1,1,UMTS,,,,,,
36.001785,-115.119553,310,260,24594,81448470,,1000,1,1,UMTS,,,,,,
36.001887,-115.116964,310,260,13105,20484868,,1000,1,1,LTE,,,13105,,,
36.002395,-115.112913,312,530,6,4777,,1405,1,1,LTE,,,6,,,
36.002792,-115.111045,310,260,153,62072,,1000,1,1,CDMA,,,,260,153,62072
36.003035,-115.110257,312,530,6,4621,,1673,1,1,LTE,,,6,,,
36.00312,-115.120262,311,490,13105,48414863,,1000,1,1,LTE,,,13105,,,
36.00314,-115.118942,310,260,13105,48416899,,1000,1,1,LTE,,,13105,,,
36.003262,-115.120079,311,490,13105,48416909,,1000,1,1,LTE,,,13105,,,
36.003479,-115.119614,310,260,13105,48416909,,1000,1,1,LTE,,,13105,,,
36.003571,-115.119553,310,120,24326,199285251,,1000,1,1,LTE,,,24326,,,
36.003571,-115.112427,310,260,13105,47016454,,1000,1,1,LTE,,,13105,,,
36.003571,-115.112427,310,260,13105,47005189,,1000,1,1,LTE,,,13105,,,
36.003916,-115.120121,310,260,13105,20516101,,1000,1,1,LTE,,,13105,,,
36.00402,-115.119037,310,260,153,62073,,1534,1,1,CDMA,,,,260,153,62073
36.004027,-115.119374,311,490,13105,20514057,,3642,1,1,LTE,,,13105,,,
36.004033,-115.110584,312,530,6,4976,,1577,1,1,LTE,,,6,,,
36.004059,-115.114086,310,410,33800,92353660,,1000,1,1,LTE,,,33800,,,
36.004066,-115.113953,310,410,33800,92353676,,1000,1,1,LTE,,,33800,,,
36.004257202148,-115.11268615723,310,410,36992,2114979,,1000,1,1,UMTS,,,,,,
36.004257202148,-115.11131286621,310,4145,6,321,,1000,1,1,CDMA,,,,4145,6,321
36.004585,-115.110909,310,260,13105,20516158,,1000,1,1,LTE,,,13105,,,
