lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.460308,-83.260063,311,490,213,35010,,1000,1,1,LTE,,,213,,,
42.460887,-83.258347,310,120,213,35555,,4852,1,1,LTE,,,213,,,
42.460961,-83.26063,311,480,57345,57573378,,1733,1,1,LTE,,,57345,,,
42.461472,-83.260574,310,260,65534,6718465,,1000,1,1,LTE,,,65534,,,
42.461914,-83.260063,310,260,42516,5510677,,1000,1,1,LTE,,,42516,,,
42.46198,-83.260746,310,260,42516,5510678,,2635,1,1,LTE,,,42516,,,
42.462844848633,-83.26057434082,310,410,26515,76830241,,1000,1,1,UMTS,,,,,,
42.462988,-83.262249,310,260,42516,6718467,,2314,1,1,LTE,,,42516,,,
42.463336,-83.258792,310,260,11293,46248688,,1000,1,1,UMTS,,,,,,
42.464345,-83.261152,310,260,42516,5510658,,3955,1,1,LTE,,,42516,,,
42.464363,-83.261869,310,260,42516,6718487,,1000,1,1,LTE,,,42516,,,
42.464905,-83.261948,310,120,17943,148259844,,1000,1,1,LTE,,,17943,,,
42.465698,-83.260673,311,870,213,35010,,1000,1,1,CDMA,,,,870,213,35010
42.466642,-83.261544,310,120,17943,146928644,,1000,1,1,LTE,,,17943,,,
42.46696472168,-83.26057434082,311,870,17943,148259844,,1000,1,1,LTE,,,17943,,,
42.466965,-83.260025,310,120,17943,148259841,,1000,1,1,LTE,,,17943,,,
42.467422,-83.261948,310,120,17943,146928641,,1000,1,1,LTE,,,17943,,,
42.467992,-83.26419,310,410,19470,182027786,,1068,1,1,LTE,,,19470,,,
42.468213,-83.261573,310,120,17942,146928647,,1000,1,1,LTE,,,17942,,,
42.468338012695,-83.261947631836,310,410,26509,76904266,,1000,1,1,UMTS,,,,,,
42.468338012695,-83.26057434082,311,870,17943,148259841,,1000,1,1,LTE,,,17943,,,
42.468338012695,-83.26057434082,310,410,26509,76830235,,1000,1,1,UMTS,,,,,,
42.468338012695,-83.26057434082,310,260,11293,46219232,,1000,1,1,UMTS,,,,,,
42.468495,-83.260241,310,260,42516,5510657,,4423,1,1,LTE,,,42516,,,
42.468521,-83.262039,310,120,17942,146928641,,1000,1,1,LTE,,,17942,,,
42.468927,-83.260574,310,260,65534,5510658,,1000,1,1,LTE,,,65534,,,
42.469025,-83.261261,310,4126,89,657,,1000,1,1,CDMA,,,,4126,89,657
