lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
21.298356,-157.851624,310,260,12870,49175172,,1029,1,1,LTE,,,12870,,,
21.298383,-157.852368,310,260,12870,21874949,,3991,1,1,LTE,,,12870,,,
21.298538,-157.853469,310,260,12870,21874946,,8366,1,1,LTE,,,12870,,,
21.298571,-157.846579,310,260,19215,24452,,1000,1,1,GSM,,,,,,
21.29872,-157.846594,311,480,1793,1848354,,3262,1,1,LTE,,,1793,,,
21.298791,-157.849605,311,480,1793,1848332,,1000,1,1,LTE,,,1793,,,
21.299031,-157.853975,310,260,12870,21874955,,3266,1,1,LTE,,,12870,,,
21.299057,-157.846756,310,120,23809,195040019,,1000,1,1,LTE,,,23809,,,
21.299057006836,-157.85362243652,310,410,50995,231895,,1000,1,1,UMTS,,,,,,
21.299057006836,-157.85362243652,310,410,50995,3708285,,1000,1,1,UMTS,,,,,,
21.299057006836,-157.85362243652,310,410,50995,3708289,,1000,1,1,UMTS,,,,,,
21.299057006836,-157.85362243652,310,410,50995,215,,1000,1,1,CDMA,,,,410,50995,215
21.299057006836,-157.85224914551,310,7,1793,1843468,,1000,1,1,LTE,,,1793,,,
21.299057006836,-157.84675598145,310,410,50995,1264,,1000,1,1,CDMA,,,,410,50995,1264
21.29906,-157.853049,310,410,34052,130131459,,1000,1,1,LTE,,,34052,,,
21.299166,-157.849161,310,260,12870,49175171,,1001,1,1,LTE,,,12870,,,
21.299332,-157.853622,310,410,50995,59340295,,1000,1,1,UMTS,,,,,,
21.299631,-157.852997,311,480,1793,1860381,,1000,1,1,LTE,,,1793,,,
21.299631,-157.852997,311,480,1793,1860376,,1000,1,1,LTE,,,1793,,,
21.299659,-157.845447,310,260,12870,21870601,,3093,1,1,LTE,,,12870,,,
21.299728,-157.852082,310,260,19216,25132,,1000,1,1,GSM,,,,,,
21.299744,-157.853622,310,260,19216,25151,,1000,1,1,CDMA,,,,260,19216,25151
21.299755,-157.852444,310,260,52229,256611340,,1420,1,1,LTE,,,52229,,,
21.299795,-157.845813,310,410,34052,128032405,,1002,1,1,LTE,,,34052,,,
21.299803,-157.847628,310,260,12870,21870703,,1135,1,1,LTE,,,12870,,,
21.300071,-157.853167,311,870,402,4624,,1584,1,1,LTE,,,402,,,
21.300156,-157.851974,311,480,1793,1848334,,1000,1,1,LTE,,,1793,,,
21.300221,-157.853546,311,480,1793,1886488,,1000,1,1,LTE,,,1793,,,
21.30024,-157.854654,310,260,12870,21874952,,8152,1,1,LTE,,,12870,,,
21.300278,-157.850845,310,410,34052,128005601,,1187,1,1,LTE,,,34052,,,
21.300293,-157.853622,310,120,23809,196375097,,1000,1,1,LTE,,,23809,,,
21.300306,-157.845447,310,410,50994,,,3824,1,1,UMTS,,,,,,
21.300308,-157.847042,310,410,34052,128032281,,1471,1,1,LTE,,,34052,,,
21.30043,-157.854137,310,260,19296,29324675,,1000,1,1,UMTS,,,,,,
21.30043,-157.853189,310,120,23809,196375089,,1000,1,1,LTE,,,23809,,,
21.300430297852,-157.84675598145,310,260,12850,21870595,,1000,1,1,LTE,,,12850,,,
21.300430297852,-157.84538269043,310,260,19296,29304675,,1000,1,1,UMTS,,,,,,
21.300447,-157.851624,310,260,12870,49175181,,1000,1,1,LTE,,,12870,,,
21.300465,-157.851654,310,410,34052,128017921,,1000,1,1,LTE,,,34052,,,
21.300514,-157.84807,310,260,12870,21869680,,1224,1,1,LTE,,,12870,,,
21.300577,-157.84613,310,410,34052,128009218,,1000,1,1,LTE,,,34052,,,
21.300599,-157.848995,310,410,34052,128005385,,2183,1,1,LTE,,,34052,,,
21.30061,-157.850771,310,410,34052,128133600,,2912,1,1,LTE,,,34052,,,
