lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.118709,-77.621253,311,480,18696,18735617,,1000,1,1,LTE,,,18696,,,
43.119277954102,-77.627334594727,310,260,43899,46421912,,1000,1,1,UMTS,,,,,,
43.119277954102,-77.620468139648,310,410,11508,65327,,1000,1,1,CDMA,,,,410,11508,65327
43.119277954102,-77.620468139648,311,480,18696,95535628,,1000,1,1,LTE,,,18696,,,
43.119278,-77.62914,310,120,20995,171978496,,1000,1,1,LTE,,,20995,,,
43.11929,-77.626565,310,410,11508,144570442,,2837,1,1,UMTS,,,,,,
43.119614,-77.623238,310,260,22277,10438404,,1000,1,1,LTE,,,22277,,,
43.11967,-77.623215,310,410,11508,144572204,,1000,1,1,UMTS,,,,,,
43.119806,-77.621849,311,480,18696,18735628,,4204,1,1,LTE,,,18696,,,
43.120122,-77.623381,310,410,3336,205704214,,3489,1,1,LTE,,,3336,,,
43.120651245117,-77.630081176758,310,260,22272,13739781,,1000,1,1,LTE,,,22272,,,
43.120651245117,-77.627334594727,310,154,6,442,,1000,1,1,CDMA,,,,154,6,442
43.120651245117,-77.624588012695,310,260,43806,22452,,1000,1,1,GSM,,,,,,
43.120783,-77.61985,310,260,22527,228788611,,1000,1,1,LTE,,,22527,,,
43.120794,-77.619493,310,410,3336,205704207,,2393,1,1,LTE,,,3336,,,
43.121092,-77.619516,310,410,11508,144572201,,1000,1,1,UMTS,,,,,,
43.121338,-77.619782,310,4107,1,354,,1000,1,1,CDMA,,,,4107,1,354
43.121696,-77.623749,310,260,22527,228788621,,1000,1,1,LTE,,,22527,,,
43.122024536133,-77.619094848633,311,480,18696,18749698,,1000,1,1,LTE,,,18696,,,
43.122149,-77.619969,310,260,37901,22421,,1000,1,1,CDMA,,,,260,37901,22421
43.122574,-77.619781,310,260,37901,22463,,1000,1,1,CDMA,,,,260,37901,22463
43.122734,-77.624733,310,120,6,688,,1000,1,1,LTE,,,6,,,
43.122887,-77.62442,311,490,216,4881,,1000,1,1,LTE,,,216,,,
43.123021,-77.630717,310,410,3336,205659152,,1000,1,1,LTE,,,3336,,,
43.123055,-77.619781,310,260,43899,46461912,,1000,1,1,UMTS,,,,,,
43.123184,-77.6287,311,480,18696,18735633,,1000,1,1,LTE,,,18696,,,
43.12324,-77.623567,311,480,18689,18942465,,1000,1,1,LTE,,,18689,,,
43.123253,-77.622926,311,480,18689,18942476,,1000,1,1,LTE,,,18689,,,
43.123397827148,-77.624588012695,310,410,3336,144572207,,1000,1,1,LTE,,,3336,,,
43.123397827148,-77.620468139648,310,260,43899,46421909,,1000,1,1,UMTS,,,,,,
43.123409,-77.623276,310,,6,442,,1000,1,1,LTE,,,6,,,
43.123703,-77.63089,310,260,22527,36506756,,1000,1,1,LTE,,,22527,,,
43.123711,-77.619774,310,410,3336,206861362,,1000,1,1,LTE,,,3336,,,
43.123723,-77.62283,310,120,216,4610,,1486,1,1,LTE,,,216,,,
43.123886,-77.620777,310,120,216,4641,,1390,1,1,LTE,,,216,,,
43.124023,-77.62635,310,260,22277,36506756,,1000,1,1,LTE,,,22277,,,
43.124084,-77.628021,311,480,18689,18735617,,1000,1,1,LTE,,,18689,,,
43.124118,-77.630158,310,260,22272,10766850,,6742,1,1,LTE,,,22272,,,
43.124298,-77.630318,310,260,43899,46421943,,1173,1,1,UMTS,,,,,,
43.124533,-77.623675,310,120,216,4545,,1560,1,1,LTE,,,216,,,
43.124771118164,-77.630081176758,310,260,43899,46421940,,1000,1,1,UMTS,,,,,,
43.124771118164,-77.621841430664,310,260,43806,22421,,1000,1,1,GSM,,,,,,
43.124771118164,-77.620468139648,310,410,11508,144570445,,1000,1,1,UMTS,,,,,,
43.125515,-77.625693,311,480,18696,18733058,,1000,1,1,LTE,,,18696,,,
43.125975,-77.627869,311,480,18689,18942496,,1000,1,1,LTE,,,18689,,,
43.12614440918,-77.630081176758,310,120,20995,171983617,,1000,1,1,LTE,,,20995,,,
43.12614440918,-77.630081176758,310,410,3336,144572203,,1000,1,1,LTE,,,3336,,,
43.12614440918,-77.630081176758,310,410,11508,205659152,,1000,1,1,UMTS,,,,,,
43.126145,-77.624588,310,410,3336,144570582,,1000,1,1,LTE,,,3336,,,
43.12682,-77.619429,310,260,22272,11093001,,2494,1,1,LTE,,,22272,,,
43.126988,-77.626328,310,260,22272,10766853,,1000,1,1,LTE,,,22272,,,
43.127393,-77.630331,310,120,20995,173314817,,1000,1,1,LTE,,,20995,,,
43.127517700195,-77.630081176758,310,120,20995,173314820,,1000,1,1,LTE,,,20995,,,
