lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.177029,-115.319797,310,260,24599,52620854,,2207,1,1,UMTS,,,,,,
36.177291870117,-115.31867980957,311,870,24324,199264001,,1000,1,1,LTE,,,24324,,,
36.177291870117,-115.31593322754,310,260,24599,52620248,,1000,1,1,UMTS,,,,,,
36.177291870117,-115.31455993652,310,410,36995,6075,,1000,1,1,CDMA,,,,410,36995,6075
36.177663,-115.320833,310,120,24324,199270913,,1008,1,1,LTE,,,24324,,,
36.177753,-115.320222,310,120,6,773,,1000,1,1,LTE,,,6,,,
36.178126,-115.321989,310,260,13101,22608387,,3035,1,1,LTE,,,13101,,,
36.17815,-115.318665,310,410,13135,22339074,,1000,1,1,LTE,,,13135,,,
36.17815,-115.318665,310,410,13135,23190530,,1000,1,1,LTE,,,13135,,,
36.17815,-115.318665,310,410,13135,22497037,,1000,1,1,LTE,,,13135,,,
36.17815,-115.318665,310,410,13135,22339094,,1000,1,1,LTE,,,13135,,,
36.17815,-115.318665,310,410,13145,23191553,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,22847233,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,22847235,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,23715841,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,22436097,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,20520194,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,20516609,,1000,1,1,LTE,,,13145,,,
36.17815,-115.318665,310,410,13145,20518659,,1000,1,1,LTE,,,13145,,,
36.178665161133,-115.31730651855,310,410,36995,6078,,1000,1,1,CDMA,,,,410,36995,6078
36.178787,-115.317947,310,410,13135,22608387,,1000,1,1,LTE,,,13135,,,
36.178944,-115.317078,310,260,13135,50887301,,1000,1,1,LTE,,,13135,,,
36.180003,-115.316862,310,260,13102,23065859,,1000,1,1,LTE,,,13102,,,
36.180038452148,-115.31593322754,310,410,36995,2088410,,1000,1,1,UMTS,,,,,,
36.180645,-115.318687,310,410,33793,92170645,,1000,1,1,LTE,,,33793,,,
36.180687,-115.314079,310,260,13135,50887300,,1000,1,1,LTE,,,13135,,,
36.18088,-115.321235,310,410,33793,92170520,,1650,1,1,LTE,,,33793,,,
36.180958,-115.313164,311,480,49,1329,,1000,1,1,LTE,,,49,,,
36.180965,-115.318138,310,410,33793,92170647,,1000,1,1,LTE,,,33793,,,
36.181213,-115.315521,310,260,13102,22363649,,1000,1,1,LTE,,,13102,,,
36.181379,-115.312455,310,120,6,664,,5918,1,1,LTE,,,6,,,
36.181411743164,-115.31867980957,310,260,65534,22339073,,1000,1,1,UMTS,,,,,,
36.181411743164,-115.31730651855,311,870,24324,199264003,,1000,1,1,LTE,,,24324,,,
36.181411743164,-115.31318664551,310,260,24599,52610250,,1000,1,1,UMTS,,,,,,
36.181412,-115.3125,310,260,24599,52620247,,1000,1,1,UMTS,,,,,,
36.182098,-115.3125,310,260,24599,52579511,,1000,1,1,UMTS,,,,,,
36.18278503418,-115.31455993652,310,410,36998,2104794,,1000,1,1,UMTS,,,,,,
36.183035,-115.32018,310,260,13135,22608390,,3348,1,1,LTE,,,13135,,,
36.183529,-115.320614,310,260,24599,52623599,,7739,1,1,UMTS,,,,,,
36.184158325195,-115.31593322754,310,4145,6,261,,1000,1,1,CDMA,,,,4145,6,261
36.184158325195,-115.31455993652,310,410,36995,33358241,,1000,1,1,UMTS,,,,,,
36.184177,-115.311676,310,410,13135,23065859,,1000,1,1,LTE,,,13135,,,
36.184508,-115.320549,310,410,36988,33621100,,3324,1,1,UMTS,,,,,,
36.185177,-115.321988,310,260,13135,22608385,,7529,1,1,LTE,,,13135,,,
