lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.938042,-83.993149,310,260,30471,222313740,,1000,1,1,LTE,,,30471,,,
33.938042,-83.993149,310,260,30471,222314126,,1000,1,1,LTE,,,30471,,,
33.938565,-83.986697,310,260,30588,41672079,,1000,1,1,LTE,,,30588,,,
33.939184,-83.986994,310,260,23799,7286795,,1000,1,1,UMTS,,,,,,
33.939586,-83.987164,310,260,30588,16306189,,4231,1,1,LTE,,,30588,,,
33.939682,-83.987707,310,260,30573,39785739,,4889,1,1,LTE,,,30573,,,
33.940200805664,-83.988418579102,310,260,16071,12293,,1000,1,1,GSM,,,,,,
33.940569,-83.993437,310,260,30472,222595329,,1000,1,1,LTE,,,30472,,,
33.940902,-83.990056,310,260,30588,15939349,,1111,1,1,LTE,,,30588,,,
33.941083,-83.990701,310,260,30571,17069078,,6494,1,1,LTE,,,30571,,,
33.941264,-83.993158,310,260,30573,16306199,,3590,1,1,LTE,,,30573,,,
33.941509,-83.992414,310,410,11323,188643391,,1000,1,1,LTE,,,11323,,,
33.941574,-83.991825,310,260,23799,7296030,,1000,1,1,UMTS,,,,,,
33.941715,-83.985415,310,260,30511,16306179,,2357,1,1,LTE,,,30511,,,
33.941949,-83.988911,310,260,30588,16306179,,4408,1,1,LTE,,,30588,,,
33.942655,-83.991447,310,260,30472,222595725,,1000,1,1,LTE,,,30472,,,
33.942947387695,-83.992538452148,310,260,23799,21531,,1000,1,1,CDMA,,,,260,23799,21531
33.942947387695,-83.988418579102,310,260,2493,46639478,,1000,1,1,UMTS,,,,,,
33.943474,-83.991853,310,260,30511,15939329,,2633,1,1,LTE,,,30511,,,
33.943515,-83.992621,310,410,11323,188643398,,1000,1,1,LTE,,,11323,,,
33.943517,-83.988084,310,260,30573,16306179,,9635,1,1,LTE,,,30573,,,
33.944019,-83.989639,310,410,4546,225382285,,1000,1,1,UMTS,,,,,,
33.944019,-83.989639,310,410,11323,187220994,,1000,1,1,LTE,,,11323,,,
33.944152,-83.989602,310,120,7643,61292315,,1000,1,1,LTE,,,7643,,,
33.944320678711,-83.989791870117,310,120,7481,61292315,,1000,1,1,LTE,,,7481,,,
33.944320678711,-83.98567199707,310,120,7431,62310971,,1000,1,1,LTE,,,7431,,,
33.944321,-83.993225,310,260,2493,46639483,,1000,1,1,UMTS,,,,,,
33.944321,-83.989105,310,260,23799,46639424,,1000,1,1,UMTS,,,,,,
33.9449,-83.988281,310,260,23799,7296027,,1000,1,1,UMTS,,,,,,
33.945007,-83.990479,310,260,16071,21531,,1000,1,1,GSM,,,,,,
33.945025,-83.98848,310,260,2493,46649421,,1000,1,1,UMTS,,,,,,
33.945034,-83.988495,310,260,2493,7296027,,1000,1,1,UMTS,,,,,,
33.945389,-83.985214,310,120,7643,62310979,,1000,1,1,LTE,,,7643,,,
33.945622,-83.987262,310,410,11287,187832577,,1331,1,1,LTE,,,11287,,,
33.945693969727,-83.988418579102,310,120,7431,60979715,,1000,1,1,LTE,,,7431,,,
33.945693969727,-83.987045288086,310,410,65534,187227663,,1000,1,1,UMTS,,,,,,
33.945693969727,-83.987045288086,310,260,63324,46639424,,1000,1,1,UMTS,,,,,,
33.945693969727,-83.984298706055,310,260,2493,7286788,,1000,1,1,UMTS,,,,,,
33.945816,-83.985764,310,260,9202,39785739,,1000,1,1,UMTS,,,,,,
33.946086,-83.992735,310,260,2493,46639481,,1000,1,1,UMTS,,,,,,
33.946205,-83.992283,310,120,7643,60979715,,1000,1,1,LTE,,,7643,,,
33.946246,-83.986294,310,120,7643,62310963,,1000,1,1,LTE,,,7643,,,
33.946336,-83.989851,310,260,30573,15939329,,5493,1,1,LTE,,,30573,,,
33.946381,-83.985672,310,260,48393,46639424,,1000,1,1,UMTS,,,,,,
33.94653,-83.986418,310,120,7643,62310971,,1000,1,1,LTE,,,7643,,,
