lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.770506,-124.193849,310,410,56992,926915,,1045,1,1,UMTS,,,,,,
41.770706176758,-124.19013977051,310,410,33000,33031,,1000,1,1,GSM,,,,,,
41.770706176758,-124.19013977051,311,580,5378,15363585,,1000,1,1,LTE,,,5378,,,
41.771156,-124.188377,310,260,14444,22982147,,1000,1,1,LTE,,,14444,,,
41.771377,-124.188085,310,260,14444,22982146,,4652,1,1,LTE,,,14444,,,
41.773452758789,-124.19151306152,311,580,5378,15366913,,1000,1,1,LTE,,,5378,,,
41.774029,-124.190345,310,410,35662,169195286,,2438,1,1,LTE,,,35662,,,
41.774578,-124.190926,311,580,1,17715,,1000,1,1,CDMA,,,,580,1,17715
41.775056,-124.199983,310,260,14420,22982145,,1037,1,1,LTE,,,14420,,,
41.775557,-124.18845,310,,5,5561,,1980,1,1,LTE,,,5,,,
41.776406,-124.190889,311,480,9225,9393932,,7430,1,1,LTE,,,9225,,,
