lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.567514,-121.463284,310,410,36108,171903510,,5421,1,1,LTE,,,36108,,,
38.567517,-121.46864,310,410,36108,173418425,,1000,1,1,LTE,,,36108,,,
38.567556,-121.46782,311,480,9216,86210584,,8233,1,1,LTE,,,9216,,,
38.567579,-121.467146,310,260,16950,45480205,,6199,1,1,LTE,,,16950,,,
38.567581,-121.467888,311,490,16950,180361990,,1342,1,1,LTE,,,16950,,,
38.567587,-121.468497,310,120,22025,180361985,,1000,1,1,LTE,,,22025,,,
38.567618,-121.46891,310,410,36108,171903659,,1000,1,1,LTE,,,36108,,,
38.567714,-121.46446,310,260,16945,45479683,,4879,1,1,LTE,,,16945,,,
38.567764,-121.469276,312,530,16950,180375298,,1000,1,1,LTE,,,16950,,,
38.567782,-121.47135,311,870,230,26273,,6425,1,1,LTE,,,230,,,
38.567805,-121.468645,310,260,16950,23321868,,2067,1,1,LTE,,,16950,,,
38.567828,-121.468048,312,530,16950,180361988,,1000,1,1,LTE,,,16950,,,
38.567878,-121.467301,311,490,16950,20966915,,2923,1,1,LTE,,,16950,,,
38.567886,-121.472262,310,260,16950,45480193,,1000,1,1,LTE,,,16950,,,
38.567902,-121.470497,310,260,16971,49466372,,1000,1,1,LTE,,,16971,,,
38.56799,-121.468681,310,260,16950,20966933,,8973,1,1,LTE,,,16950,,,
38.568,-121.467871,311,480,9216,86035990,,3878,1,1,LTE,,,9216,,,
38.568112,-121.468696,310,410,36108,173851415,,3513,1,1,LTE,,,36108,,,
38.568129,-121.465398,310,260,16950,20967432,,9611,1,1,LTE,,,16950,,,
38.56819152832,-121.4737701416,310,410,56875,3619462,,1000,1,1,UMTS,,,,,,
38.56819152832,-121.4737701416,310,410,56875,3624388,,1000,1,1,UMTS,,,,,,
38.56819152832,-121.47102355957,311,870,22030,180362497,,1000,1,1,LTE,,,22030,,,
38.56819152832,-121.46965026855,310,410,56867,5073774,,1000,1,1,UMTS,,,,,,
38.56819152832,-121.46965026855,310,260,16950,138018782,,1000,1,1,LTE,,,16950,,,
38.56819152832,-121.46827697754,310,410,27582,19901,,1000,1,1,CDMA,,,,410,27582,19901
38.56819152832,-121.46827697754,310,4183,87,541,,1000,1,1,CDMA,,,,4183,87,541
38.56819152832,-121.46827697754,310,260,62617,205917742,,1000,1,1,UMTS,,,,,,
38.56819152832,-121.46690368652,310,120,22030,181693188,,1000,1,1,LTE,,,22030,,,
38.56819152832,-121.46690368652,310,260,51353,256017669,,1000,1,1,LTE,,,51353,,,
38.56819152832,-121.46553039551,311,870,22030,181693185,,1000,1,1,LTE,,,22030,,,
38.56819152832,-121.46415710449,310,410,65534,3045856,,1000,1,1,UMTS,,,,,,
38.568192,-121.469101,310,120,22025,180361988,,1000,1,1,LTE,,,22025,,,
38.568192,-121.468277,310,410,56875,19901,,1000,1,1,CDMA,,,,410,56875,19901
38.568195,-121.470184,311,870,16950,180361998,,1000,1,1,LTE,,,16950,,,
38.568195,-121.470184,311,870,16950,180362003,,1000,1,1,LTE,,,16950,,,
38.568195,-121.470184,311,870,16950,180361992,,1000,1,1,LTE,,,16950,,,
38.568195,-121.470184,311,870,16950,180374789,,1000,1,1,LTE,,,16950,,,
38.568273,-121.47036,310,410,56875,3619468,,1000,1,1,UMTS,,,,,,
38.568279,-121.469292,311,490,16950,46678789,,1000,1,1,LTE,,,16950,,,
38.568319,-121.46569,310,260,16950,20967429,,9663,1,1,LTE,,,16950,,,
38.56832,-121.46833,310,260,16950,45480195,,8230,1,1,LTE,,,16950,,,
38.568535,-121.468986,311,490,16952,181062962,,1000,1,1,LTE,,,16952,,,
38.568575,-121.467287,311,70,5,4602,,1000,1,1,LTE,,,5,,,
38.56872,-121.469712,312,530,16950,180361995,,1000,1,1,LTE,,,16950,,,
38.568747,-121.465068,310,410,36108,171891351,,7259,1,1,LTE,,,36108,,,
38.568809,-121.472796,310,260,38995,138013317,,2976,1,1,UMTS,,,,,,
38.568829,-121.466587,310,410,36108,173657098,,1000,1,1,LTE,,,36108,,,
38.568878,-121.472397,310,70,5,4602,,1000,1,1,CDMA,,,,70,5,4602
38.568982,-121.470585,311,480,9466,263216341,,1000,1,1,LTE,,,9466,,,
38.569035,-121.469254,310,410,36108,173662998,,1000,1,1,LTE,,,36108,,,
38.569042,-121.469402,311,490,16950,48802704,,1000,1,1,LTE,,,16950,,,
38.569126,-121.47039,311,480,9466,263215681,,1000,1,1,LTE,,,9466,,,
38.569134,-121.466473,311,480,9216,9235990,,1000,1,1,LTE,,,9216,,,
38.569138,-121.469719,310,260,16950,24511767,,1000,1,1,LTE,,,16950,,,
38.56916,-121.46888,310,410,36108,173657275,,1000,1,1,LTE,,,36108,,,
38.569183,-121.469284,310,260,16945,97406731,,1000,1,1,LTE,,,16945,,,
38.569187,-121.463265,310,120,230,26642,,6903,1,1,LTE,,,230,,,
38.569199,-121.469009,310,120,22025,180362000,,1000,1,1,LTE,,,22025,,,
38.569219,-121.468374,311,480,9216,9235970,,2260,1,1,LTE,,,9216,,,
38.569229,-121.469803,311,490,16950,180361994,,1000,1,1,LTE,,,16950,,,
38.569229,-121.469803,311,490,16950,180362505,,1000,1,1,LTE,,,16950,,,
38.569287,-121.474435,310,410,36108,171893399,,1988,1,1,LTE,,,36108,,,
38.569309,-121.464714,310,410,36108,173489358,,4124,1,1,LTE,,,36108,,,
38.569347,-121.469168,310,260,38995,137955170,,1000,1,1,UMTS,,,,,,
38.569401,-121.473747,311,490,57546,262178361,,1000,1,1,LTE,,,57546,,,
38.569424,-121.466492,310,260,16945,23310863,,1000,1,1,LTE,,,16945,,,
38.569477,-121.466545,311,490,230,26721,,1000,1,1,LTE,,,230,,,
38.569489,-121.468735,310,410,36108,171891373,,1000,1,1,LTE,,,36108,,,
38.569498,-121.468741,310,410,36108,173663161,,1000,1,1,LTE,,,36108,,,
38.569564819336,-121.46965026855,311,870,22030,180362511,,1000,1,1,LTE,,,22030,,,
38.569564819336,-121.46827697754,311,870,22030,180375311,,1000,1,1,LTE,,,22030,,,
38.569564819336,-121.46827697754,311,870,22030,180362000,,1000,1,1,LTE,,,22030,,,
38.569564819336,-121.46827697754,310,120,22030,180362000,,1000,1,1,LTE,,,22030,,,
38.569607,-121.468704,310,410,36108,173657292,,1000,1,1,LTE,,,36108,,,
38.569742,-121.471648,310,260,16950,20966913,,8271,1,1,LTE,,,16950,,,
38.569769,-121.465043,310,260,16950,20967426,,7620,1,1,LTE,,,16950,,,
38.569886,-121.465148,310,260,16945,20967426,,7495,1,1,LTE,,,16945,,,
38.569908,-121.466904,310,4183,5,541,,1000,1,1,CDMA,,,,4183,5,541
38.56993,-121.471104,310,410,36108,171903497,,4681,1,1,LTE,,,36108,,,
38.570002,-121.468651,310,410,36108,171902993,,1000,1,1,LTE,,,36108,,,
38.570034,-121.473869,310,260,16945,48802437,,1000,1,1,LTE,,,16945,,,
38.570034,-121.473869,310,260,16945,49289092,,1000,1,1,LTE,,,16945,,,
38.570034,-121.473869,310,260,16945,20848751,,1000,1,1,LTE,,,16945,,,
38.570086,-121.464977,310,410,36108,173241635,,1000,1,1,LTE,,,36108,,,
38.570168,-121.470843,311,490,16950,180375296,,1045,1,1,LTE,,,16950,,,
38.570172,-121.46901,311,490,16950,48802446,,1000,1,1,LTE,,,16950,,,
38.570172,-121.466534,310,260,16950,23310860,,1000,1,1,LTE,,,16950,,,
38.57024,-121.468346,311,490,16945,23321868,,1000,1,1,LTE,,,16945,,,
38.570251,-121.474336,310,410,36108,173456138,,5913,1,1,LTE,,,36108,,,
38.570264,-121.465661,310,260,16950,23310852,,1649,1,1,LTE,,,16950,,,
38.570354,-121.466217,311,490,16950,181063995,,1000,1,1,LTE,,,16950,,,
38.570354,-121.466217,311,490,16950,181137715,,1000,1,1,LTE,,,16950,,,
38.570362,-121.467825,312,530,16950,180361994,,1000,1,1,LTE,,,16950,,,
38.570382,-121.472098,311,490,16950,20831234,,3000,1,1,LTE,,,16950,,,
38.570511,-121.469505,311,480,5,4577,,1000,1,1,CDMA,,,,480,5,4577
38.570572,-121.470718,310,260,16952,20967429,,1000,1,1,LTE,,,16952,,,
38.57062,-121.470664,311,480,9216,86036002,,1000,1,1,LTE,,,9216,,,
38.570689,-121.466592,310,410,65534,2962845,,2792,1,1,UMTS,,,,,,
38.570748,-121.472595,310,260,16950,20966923,,8316,1,1,LTE,,,16950,,,
38.570854,-121.46814,310,410,36108,171891372,,1000,1,1,LTE,,,36108,,,
38.570873,-121.474228,311,480,9216,162836002,,1000,1,1,LTE,,,9216,,,
38.570923,-121.468483,311,490,16945,48802704,,1000,1,1,LTE,,,16945,,,
38.570938110352,-121.47239685059,310,410,36108,171903511,,1000,1,1,LTE,,,36108,,,
38.570938110352,-121.47239685059,310,410,56875,173420049,,1000,1,1,UMTS,,,,,,
38.570938110352,-121.47102355957,310,260,38995,138013311,,1000,1,1,UMTS,,,,,,
38.570938110352,-121.47102355957,311,870,22030,181693186,,1000,1,1,LTE,,,22030,,,
38.570938110352,-121.47102355957,311,870,22030,181692673,,1000,1,1,LTE,,,22030,,,
38.570938110352,-121.47102355957,311,870,15360,63054081,,1000,1,1,LTE,,,15360,,,
38.570938110352,-121.46965026855,310,410,36108,3618988,,1000,1,1,LTE,,,36108,,,
38.570938110352,-121.46965026855,311,870,22030,180362001,,1000,1,1,LTE,,,22030,,,
38.570938110352,-121.46965026855,311,870,15364,63050242,,1000,1,1,LTE,,,15364,,,
38.570938110352,-121.46827697754,310,260,38999,33032039,,1000,1,1,UMTS,,,,,,
38.570938110352,-121.46827697754,310,410,6424,18428,,1000,1,1,GSM,,,,,,
38.570938110352,-121.46553039551,310,410,36108,3618989,,1000,1,1,LTE,,,36108,,,
38.570938110352,-121.46553039551,311,870,15360,62923521,,1000,1,1,LTE,,,15360,,,
38.570938110352,-121.46415710449,310,260,38995,33094425,,1000,1,1,UMTS,,,,,,
38.570972,-121.470581,311,490,230,26643,,1000,1,1,CDMA,,,,490,230,26643
38.571041,-121.465569,311,490,16950,181063481,,1000,1,1,LTE,,,16950,,,
38.571041,-121.465569,311,490,16950,181137723,,1000,1,1,LTE,,,16950,,,
38.571068,-121.465591,311,490,16950,181063738,,1000,1,1,LTE,,,16950,,,
38.571075,-121.465632,310,260,16945,23321866,,7412,1,1,LTE,,,16945,,,
38.571088,-121.466849,310,260,16950,20967427,,3489,1,1,LTE,,,16950,,,
38.571106,-121.468063,310,410,36108,173657293,,1000,1,1,LTE,,,36108,,,
38.571159,-121.468353,311,490,16945,48802694,,1000,1,1,LTE,,,16945,,,
38.571167,-121.472741,310,260,38995,138018781,,3741,1,1,UMTS,,,,,,
38.571198,-121.469315,310,260,380,31,,1005,1,1,GSM,,,,,,
38.571217,-121.465998,311,480,9216,9314060,,2384,1,1,LTE,,,9216,,,
38.571302,-121.473848,310,410,36108,173683722,,1340,1,1,LTE,,,36108,,,
38.571306,-121.471877,310,260,16945,23099394,,1419,1,1,LTE,,,16945,,,
38.571329,-121.466665,310,410,36108,171928065,,1000,1,1,LTE,,,36108,,,
38.571372,-121.469021,311,490,16950,48802694,,1000,1,1,LTE,,,16950,,,
38.571391,-121.473331,310,260,16950,23089160,,1466,1,1,LTE,,,16950,,,
38.571396,-121.467278,310,410,36108,173420054,,1000,1,1,LTE,,,36108,,,
38.571415,-121.473251,310,260,16950,46678847,,1000,1,1,LTE,,,16950,,,
38.571562,-121.473895,310,410,56875,3632499,,1000,1,1,UMTS,,,,,,
38.57159,-121.46682,311,490,16945,46678795,,1000,1,1,LTE,,,16945,,,
38.57159,-121.46682,311,490,16945,23310860,,1000,1,1,LTE,,,16945,,,
38.5716,-121.474417,310,410,36108,171928080,,2770,1,1,LTE,,,36108,,,
38.571625,-121.466217,310,260,38999,1892,,1000,1,1,CDMA,,,,260,38999,1892
38.571632,-121.469604,310,260,16945,49288766,,1000,1,1,LTE,,,16945,,,
38.571632,-121.469604,310,260,16945,23099400,,1000,1,1,LTE,,,16945,,,
38.571632,-121.46904,311,490,16950,46678848,,1000,1,1,LTE,,,16950,,,
38.571636,-121.468956,311,490,16950,23321866,,1000,1,1,LTE,,,16950,,,
38.571644,-121.468948,311,490,16950,46678795,,1000,1,1,LTE,,,16950,,,
38.571663,-121.466728,310,260,16952,20967432,,1000,1,1,LTE,,,16952,,,
38.57169,-121.469643,311,490,16950,23099394,,1000,1,1,LTE,,,16950,,,
38.571709,-121.46936,310,260,16945,49288726,,1000,1,1,LTE,,,16945,,,
38.571716,-121.46933,310,260,16945,46678848,,1000,1,1,LTE,,,16945,,,
38.571846,-121.469467,310,410,36108,171552636,,1000,1,1,LTE,,,36108,,,
38.57185,-121.469398,310,260,16945,46678847,,1000,1,1,LTE,,,16945,,,
38.57188,-121.46949,311,490,16950,20967433,,1000,1,1,LTE,,,16950,,,
38.57189,-121.463674,310,410,36108,171891209,,9566,1,1,LTE,,,36108,,,
38.571903,-121.4692,311,490,16950,23099400,,1000,1,1,LTE,,,16950,,,
38.571914,-121.464507,312,530,16950,180362500,,4550,1,1,LTE,,,16950,,,
38.571922,-121.465818,310,260,38995,137955178,,4537,1,1,UMTS,,,,,,
38.57193,-121.469482,312,530,16950,180361989,,1000,1,1,LTE,,,16950,,,
38.571933,-121.466747,311,480,9216,9362450,,2254,1,1,LTE,,,9216,,,
38.571938,-121.469985,311,490,16950,180361998,,1000,1,1,LTE,,,16950,,,
38.572006,-121.471939,310,120,22025,181693192,,1000,1,1,LTE,,,22025,,,
38.572011,-121.467067,310,260,16950,23310861,,3598,1,1,LTE,,,16950,,,
38.572039,-121.472495,310,120,22028,180462352,,25328,1,1,LTE,,,22028,,,
38.572044,-121.463979,310,260,16945,23321868,,7241,1,1,LTE,,,16945,,,
38.572128,-121.46785,312,530,230,26642,,1000,1,1,LTE,,,230,,,
38.572178,-121.469536,311,490,16950,180362002,,1000,1,1,LTE,,,16950,,,
38.572178,-121.465637,310,260,380,9783,,1000,1,1,GSM,,,,,,
38.572226,-121.471796,310,120,22025,181693189,,1000,1,1,LTE,,,22025,,,
38.572249,-121.465618,310,260,16945,48802446,,2174,1,1,LTE,,,16945,,,
38.57229,-121.471584,311,480,9216,9235971,,1374,1,1,LTE,,,9216,,,
38.5723,-121.467005,310,410,36108,173657097,,1000,1,1,LTE,,,36108,,,
38.572311,-121.473083,310,120,22030,181693192,,1000,1,1,LTE,,,22030,,,
38.572311,-121.470852,311,480,9216,9236000,,1000,1,1,LTE,,,9216,,,
38.572311,-121.466904,310,260,38999,2066279,,1000,1,1,UMTS,,,,,,
38.572311,-121.464691,310,260,38995,138017902,,1000,1,1,UMTS,,,,,,
38.572311,-121.464157,310,260,38995,137967612,,1000,1,1,UMTS,,,,,,
38.572311401367,-121.4737701416,311,490,15360,63054081,,1000,1,1,LTE,,,15360,,,
38.572311401367,-121.47102355957,310,260,38995,138017903,,1000,1,1,UMTS,,,,,,
38.572311401367,-121.47102355957,311,870,22030,180361986,,1000,1,1,LTE,,,22030,,,
38.572311401367,-121.46965026855,310,410,65534,171928072,,1000,1,1,UMTS,,,,,,
38.572311401367,-121.46827697754,310,410,36108,3624078,,1000,1,1,LTE,,,36108,,,
38.572311401367,-121.46827697754,310,410,56875,226186,,1000,1,1,UMTS,,,,,,
38.572311401367,-121.46553039551,310,410,38996,137938415,,1000,1,1,UMTS,,,,,,
38.572388,-121.46965,310,410,56875,3020575,,2452,1,1,UMTS,,,,,,
38.572437,-121.467873,311,480,5,4602,,1000,1,1,LTE,,,5,,,
38.572464,-121.473618,310,120,22025,180362001,,1000,1,1,LTE,,,22025,,,
38.572472,-121.467773,311,490,16950,48802436,,1000,1,1,LTE,,,16950,,,
