lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.566842,-97.140518,310,410,27177,133303817,,11746,1,1,LTE,,,27177,,,
32.566909790039,-97.148666381836,310,260,10194,105320430,,1000,1,1,UMTS,,,,,,
32.567241,-97.149053,310,410,27177,134459921,,7242,1,1,LTE,,,27177,,,
32.567398,-97.147314,310,410,27177,134459914,,2914,1,1,LTE,,,27177,,,
32.568283081055,-97.145919799805,310,410,52852,52346,,1000,1,1,GSM,,,,,,
32.568741,-97.146149,311,870,7944,23630859,,1025,1,1,LTE,,,7944,,,
32.569467,-97.145276,310,410,27177,134459907,,3255,1,1,LTE,,,27177,,,
32.569654,-97.145652,310,410,27177,134459935,,1409,1,1,LTE,,,27177,,,
32.56965637207,-97.148666381836,310,410,52850,49993,,1000,1,1,CDMA,,,,410,52850,49993
32.570221,-97.146279,310,410,27177,133650178,,4970,1,1,LTE,,,27177,,,
32.57086,-97.145174,310,260,31921,2579981,,1000,1,1,LTE,,,31921,,,
32.571029663086,-97.143173217773,311,870,30877,23630859,,1000,1,1,LTE,,,30877,,,
32.571201,-97.143345,311,870,7944,23630850,,1000,1,1,LTE,,,7944,,,
32.571716,-97.14592,310,260,10194,105320425,,1000,1,1,UMTS,,,,,,
32.572102,-97.147339,310,260,10189,138098423,,1000,1,1,UMTS,,,,,,
32.572402954102,-97.143173217773,310,4120,2,435,,1000,1,1,CDMA,,,,4120,2,435
32.572746,-97.147293,310,410,27177,134399895,,1000,1,1,LTE,,,27177,,,
32.572753,-97.149709,311,480,7,12986,,1961,1,1,LTE,,,7,,,
32.573296,-97.144806,310,260,31866,2579981,,1000,1,1,LTE,,,31866,,,
32.573776245117,-97.145919799805,310,410,52850,52349,,1000,1,1,CDMA,,,,410,52850,52349
32.574165,-97.145271,310,260,31921,2767119,,1700,1,1,LTE,,,31921,,,
32.574208,-97.147872,312,530,31866,66830147,,1754,1,1,LTE,,,31866,,,
32.57438,-97.147684,312,530,31866,65114115,,2185,1,1,LTE,,,31866,,,
