lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.184703,-97.805753,311,870,30841,64384571,,1000,1,1,LTE,,,30841,,,
30.18512,-97.806595,311,870,30841,64384563,,1000,1,1,LTE,,,30841,,,
30.18515,-97.806562,311,870,30841,63039243,,1000,1,1,LTE,,,30841,,,
30.185265,-97.806625,311,870,30841,62921227,,1000,1,1,LTE,,,30841,,,
30.185265,-97.806569,311,870,30841,64432947,,1000,1,1,LTE,,,30841,,,
30.185289,-97.806678,311,870,30841,63039235,,1000,1,1,LTE,,,30841,,,
30.185452,-97.808018,311,870,7703,5255682,,1000,1,1,LTE,,,7703,,,
30.185623,-97.810135,311,870,7703,5255691,,1000,1,1,LTE,,,7703,,,
30.185623,-97.806015,310,410,28989,102306348,,1000,1,1,UMTS,,,,,,
30.185623168945,-97.809219360352,310,260,2791,92220694,,1000,1,1,UMTS,,,,,,
30.186288,-97.805929,310,410,28684,209960201,,7820,1,1,LTE,,,28684,,,
30.186846,-97.808425,310,260,30891,16476439,,1029,1,1,LTE,,,30891,,,
30.18715,-97.803567,310,260,30841,16999938,,8223,1,1,LTE,,,30841,,,
30.187455,-97.80441,310,410,28004,20082,,4910,1,1,GSM,,,,,,
30.188973,-97.806641,311,480,35079,35115558,,4684,1,1,LTE,,,35079,,,
30.189093,-97.800754,310,260,30841,40910605,,3916,1,1,LTE,,,30841,,,
30.189743041992,-97.800979614258,310,260,2791,4112,,1000,1,1,UMTS,,,,,,
30.189743041992,-97.800979614258,311,870,1291,5255682,,1000,1,1,LTE,,,1291,,,
30.189761,-97.808801,310,410,28682,211063063,,1685,1,1,LTE,,,28682,,,
30.190202,-97.805557,310,4120,95,1761,,2001,1,1,CDMA,,,,4120,95,1761
30.190801,-97.809342,310,260,30954,222861058,,1000,1,1,LTE,,,30954,,,
30.191062,-97.802076,310,260,30841,16476519,,3731,1,1,LTE,,,30841,,,
30.191317,-97.80225,310,410,28682,210039049,,1390,1,1,LTE,,,28682,,,
30.193104,-97.80492,310,260,2796,39803844,,2320,1,1,UMTS,,,,,,
