lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.615868,-83.611794,310,120,21762,179605249,,1000,1,1,LTE,,,21762,,,
41.616114,-83.622046,311,480,62720,62773772,,7905,1,1,LTE,,,62720,,,
41.617266,-83.612888,310,260,42501,5920023,,1853,1,1,LTE,,,42501,,,
41.618546,-83.614815,310,260,11292,39686023,,1000,1,1,UMTS,,,,,,
41.619007,-83.62133,310,260,42524,5920534,,1000,1,1,LTE,,,42524,,,
41.619186,-83.612137,310,120,21762,178274049,,1000,1,1,LTE,,,21762,,,
41.619248,-83.618772,311,480,62720,62884120,,4758,1,1,LTE,,,62720,,,
41.619493,-83.614385,310,120,214,14305,,1000,1,1,LTE,,,214,,,
41.619644165039,-83.616256713867,310,260,11234,64173,,1000,1,1,CDMA,,,,260,11234,64173
41.619733,-83.61216,310,120,214,15203,,1000,1,1,CDMA,,,,120,214,15203
41.620598,-83.616455,310,120,214,14194,,1000,1,1,CDMA,,,,120,214,14194
41.621017456055,-83.616256713867,310,260,11219,64212,,1000,1,1,GSM,,,,,,
41.621538,-83.614608,311,480,15,3361,,4358,1,1,LTE,,,15,,,
41.622047,-83.619003,310,15,15,10258,,1000,1,1,CDMA,,,,15,15,10258
41.622125,-83.620377,310,120,21762,178274050,,1000,1,1,LTE,,,21762,,,
41.622599,-83.611958,310,260,42524,5919253,,1252,1,1,LTE,,,42524,,,
41.622905,-83.622116,311,480,62720,62884098,,1000,1,1,LTE,,,62720,,,
41.623764038086,-83.62174987793,310,15,32,795,,1000,1,1,CDMA,,,,15,32,795
41.624585,-83.615101,310,410,17530,80929837,,10017,1,1,UMTS,,,,,,
